Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Added first version of work log,07/06/2021,TRUE,,,GrosjeanJoel,
Added pep8 formatting,07/06/2021,TRUE,,,GrosjeanJoel,
updated requirements.txt,07/06/2021,TRUE,,,GrosjeanJoel,
Updated requirements.txt,31/05/2021,TRUE,,,GrosjeanJoel,
Minor changes,31/05/2021,TRUE,,,GrosjeanJoel,
Solved merge conflicts,31/05/2021,TRUE,,,GrosjeanJoel,
Removed file from gitignore,31/05/2021,TRUE,,,GrosjeanJoel,
Added rain plot,31/05/2021,TRUE,,,GrosjeanJoel,
Fixed wrangling for bar plots,31/05/2021,TRUE,,,GrosjeanJoel,
Fixed wrangling for scatter plot,31/05/2021,TRUE,,,GrosjeanJoel,
Simplified data wrangling,31/05/2021,TRUE,,,GrosjeanJoel,
Simplified data wrangling,31/05/2021,TRUE,,,GrosjeanJoel,
Made naming changes,31/05/2021,TRUE,,,GrosjeanJoel,
Added CRUD to the project,31/05/2021,TRUE,,,GrosjeanJoel,
Minor changes,29/05/2021,TRUE,,,GrosjeanJoel,
Added callback for extreme rain plot,29/05/2021,TRUE,,,GrosjeanJoel,
Changed data wrangling for extreme rain,29/05/2021,TRUE,,,GrosjeanJoel,
More naming changes,29/05/2021,TRUE,,,GrosjeanJoel,
Naming changes,29/05/2021,TRUE,,,GrosjeanJoel,
Added an element for description,29/05/2021,TRUE,,,GrosjeanJoel,
Simplified callback of snow plot,29/05/2021,TRUE,,,GrosjeanJoel,
Created functions for plot creation,29/05/2021,TRUE,,,GrosjeanJoel,
Created functions to structure data wrangling,29/05/2021,TRUE,,,GrosjeanJoel,
Formatted plots,28/05/2021,TRUE,,,GrosjeanJoel,
Simplified data wrangling for scatter plot,28/05/2021,TRUE,,,GrosjeanJoel,
Fixed data frame name & removed rows with na-value,28/05/2021,TRUE,,,GrosjeanJoel,
Minor changes in annotation,28/05/2021,TRUE,,,GrosjeanJoel,
Changed snow scatter plot title & alignment,28/05/2021,TRUE,,,GrosjeanJoel,
Fixed small problem,28/05/2021,TRUE,,,GrosjeanJoel,
Added data wrangling for averaging all stations,28/05/2021,TRUE,,,GrosjeanJoel,
Changed plot order & shadow color,28/05/2021,TRUE,,,GrosjeanJoel,
Changed map markers,28/05/2021,TRUE,,,GrosjeanJoel,
Filtered stations on map,28/05/2021,TRUE,,,GrosjeanJoel,
Added query to select the stations with best data,28/05/2021,TRUE,,,GrosjeanJoel,
Added data,28/05/2021,TRUE,,,GrosjeanJoel,
Added capability to add yearly data,27/05/2021,TRUE,,,GrosjeanJoel,
Added new data,18/05/2021,TRUE,,,GrosjeanJoel,
Fixed background height,14/05/2021,TRUE,,,GrosjeanJoel,
Removed duplicates from map,14/05/2021,TRUE,,,GrosjeanJoel,
Changed background color,14/05/2021,TRUE,,,GrosjeanJoel,
Changed color and boldness of navigation bar text,14/05/2021,TRUE,,,GrosjeanJoel,
Changed map markers,14/05/2021,TRUE,,,GrosjeanJoel,
Removed border from map,14/05/2021,TRUE,,,GrosjeanJoel,
Minor changes,13/05/2021,TRUE,,,GrosjeanJoel,
Made visual changes to map,13/05/2021,TRUE,,,GrosjeanJoel,
Added my own map style,13/05/2021,TRUE,,,GrosjeanJoel,
Changed map to more stylish one,13/05/2021,TRUE,,,GrosjeanJoel,
Changed navigation bar,12/05/2021,TRUE,,,GrosjeanJoel,
Changed button position,12/05/2021,TRUE,,,GrosjeanJoel,
Changed titles,11/05/2021,TRUE,,,GrosjeanJoel,
Added button and made changes to layout,11/05/2021,TRUE,,,GrosjeanJoel,
Removed plot and made minor changes to snow plot,11/05/2021,TRUE,,,GrosjeanJoel,
Created snow scatter plot for all stations,11/05/2021,TRUE,,,GrosjeanJoel,
Removed stations with too little data from map,11/05/2021,TRUE,,,GrosjeanJoel,
Created data wrangling for station selection,11/05/2021,TRUE,,,GrosjeanJoel,
Changed name of data frame,11/05/2021,TRUE,,,GrosjeanJoel,
Fixed queries,11/05/2021,TRUE,,,GrosjeanJoel,
Made minor changes,10/05/2021,TRUE,,,GrosjeanJoel,
Changed line chart to bar chart,10/05/2021,TRUE,,,GrosjeanJoel,
Changed hover- to click data,10/05/2021,TRUE,,,GrosjeanJoel,
Changed unit of measurement of snow plot,10/05/2021,TRUE,,,GrosjeanJoel,
fixed regression line calculation,10/05/2021,TRUE,,,GrosjeanJoel,
Changed line layout to spline,10/05/2021,TRUE,,,GrosjeanJoel,
Changed parameters in config list,10/05/2021,TRUE,,,GrosjeanJoel,
Added formatting to snow plot,07/05/2021,TRUE,,,GrosjeanJoel,
Added regression line to rain plot,07/05/2021,TRUE,,,GrosjeanJoel,
Fixed problem with regression line,07/05/2021,TRUE,,,GrosjeanJoel,
Formatted one scatterplot,07/05/2021,TRUE,,,GrosjeanJoel,
Added new stylesheets,07/05/2021,TRUE,,,GrosjeanJoel,
Removed markers,07/05/2021,TRUE,,,GrosjeanJoel,
Added params to config file for eventual download,06/05/2021,TRUE,,,GrosjeanJoel,
Added parameter descriptions,06/05/2021,TRUE,,,GrosjeanJoel,
Fixed map pop-up and point coordinates,05/05/2021,TRUE,,,GrosjeanJoel,
Changed color scale for map markers,05/05/2021,TRUE,,,GrosjeanJoel,
Improved map pop-up,03/05/2021,TRUE,,,GrosjeanJoel,
Added background colors to list,03/05/2021,TRUE,,,GrosjeanJoel,
Formatted the dashboard titles,03/05/2021,TRUE,,,GrosjeanJoel,
Formatted the code,03/05/2021,TRUE,,,GrosjeanJoel,
Added scatterplot for extreme rain,03/05/2021,TRUE,,,GrosjeanJoel,
Removed map data with too few data points,03/05/2021,TRUE,,,GrosjeanJoel,
Made tweaks to dashboard layout,01/05/2021,TRUE,,,GrosjeanJoel,
Added geojson file,01/05/2021,TRUE,,,GrosjeanJoel,
Made small changes to map layout,01/05/2021,TRUE,,,GrosjeanJoel,
Added query for snow scatterplot with all stations,01/05/2021,TRUE,,,GrosjeanJoel,
Added config file with new parameters,01/05/2021,TRUE,,,GrosjeanJoel,
Changed legend position / name,01/05/2021,TRUE,,,GrosjeanJoel,
Added simple regression line to scatterplot,01/05/2021,TRUE,,,GrosjeanJoel,
Changed structure to make callback faster,01/05/2021,TRUE,,,GrosjeanJoel,
Scatterplot callback working - changed structure,01/05/2021,TRUE,,,GrosjeanJoel,
Scatterplot callback work in progress,01/05/2021,TRUE,,,GrosjeanJoel,
Added basic structure of scatterplot to dashboard,01/05/2021,TRUE,,,GrosjeanJoel,
minor changes & changed position of scatterplot,01/05/2021,TRUE,,,GrosjeanJoel,
Fixed link to datastory,01/05/2021,TRUE,,,GrosjeanJoel,
Added styling,30/04/2021,TRUE,,,GrosjeanJoel,
Added datapoints to map,30/04/2021,TRUE,,,GrosjeanJoel,
Fixed problem with pop-up Text,30/04/2021,TRUE,,,GrosjeanJoel,
Added pop-up text,29/04/2021,TRUE,,,GrosjeanJoel,
Added swiss coordinates,29/04/2021,TRUE,,,GrosjeanJoel,
Added basic map,29/04/2021,TRUE,,,GrosjeanJoel,
Small layout changes,28/04/2021,TRUE,,,GrosjeanJoel,
Added regression line to plot and changed design,28/04/2021,TRUE,,,GrosjeanJoel,
Made dashboard code pep8 compliant,27/04/2021,TRUE,,,GrosjeanJoel,
Improved the visuals of the scatterplot,27/04/2021,TRUE,,,GrosjeanJoel,
Fixed bug with callback,27/04/2021,TRUE,,,GrosjeanJoel,
Added some formatting,27/04/2021,TRUE,,,GrosjeanJoel,
Worked on first plot callback,27/04/2021,TRUE,,,GrosjeanJoel,
Changed dashboard layout,27/04/2021,TRUE,,,GrosjeanJoel,
Added pep8 to dashboard code,27/04/2021,TRUE,,,GrosjeanJoel,
Embedded Dash differently to allow for callbacks,27/04/2021,TRUE,,,GrosjeanJoel,
Added first plot to dashboard,27/04/2021,TRUE,,,GrosjeanJoel,
Started creating layout for dashboard,27/04/2021,TRUE,,,GrosjeanJoel,
Changed dashboard,26/04/2021,TRUE,,,GrosjeanJoel,
test commit,26/04/2021,TRUE,,,GrosjeanJoel,
Connection between dash and flask - not yet working,16/04/2021,TRUE,,,GrosjeanJoel,
Working on connection between flask server and dash app,15/04/2021,TRUE,,,GrosjeanJoel,
Started creating dashboard,15/04/2021,TRUE,,,GrosjeanJoel,
Webscraping now selects data according to height data,15/04/2021,TRUE,,,GrosjeanJoel,
fixed logic of webscraping,13/04/2021,TRUE,,,GrosjeanJoel,
added some comments and new login,01/04/2021,TRUE,,,GrosjeanJoel,
added short names of parameters,23/03/2021,TRUE,,,GrosjeanJoel,
extended webscraping of idaweb to be able to scrape all of lightning_daily,19/03/2021,TRUE,,,GrosjeanJoel,
extended webscraping of idaweb to be able to scrape the first 10 pages of lightning_daily,19/03/2021,TRUE,,,GrosjeanJoel,
worked on webscraping of idaweb,18/03/2021,TRUE,,,GrosjeanJoel,
data selection on idaweb website,18/03/2021,TRUE,,,GrosjeanJoel,
made login more robust,18/03/2021,TRUE,,,GrosjeanJoel,
created login for idaweb,18/03/2021,TRUE,,,GrosjeanJoel,
wrote data into database,18/03/2021,TRUE,,,GrosjeanJoel,
changed data types in pd dataframe,18/03/2021,TRUE,,,GrosjeanJoel,
Fixed str casting problem,18/03/2021,TRUE,,,GrosjeanJoel,
removed launch.json from github,17/03/2021,TRUE,,,GrosjeanJoel,
deleted json file,17/03/2021,TRUE,,,GrosjeanJoel,
worked on selenium webscraping script and created json file,17/03/2021,TRUE,,,GrosjeanJoel,
added the file apiCommands to be able to scrape from the ide,17/03/2021,TRUE,,,GrosjeanJoel,
added api the file commands to be able to scrape from the ide,17/03/2021,TRUE,,,GrosjeanJoel,
changed structure of webscraping,17/03/2021,TRUE,,,GrosjeanJoel,
created selenium webscraping script for meteoschweiz,17/03/2021,TRUE,,,GrosjeanJoel,
added configuration,11/03/2021,TRUE,,,GrosjeanJoel,
added download.py,11/03/2021,TRUE,,,GrosjeanJoel,
Update gitignore,05/06/2021,TRUE,,,Julien Kellerhals,
Implemented connection string page in back end,04/06/2021,TRUE,,,Julien Kellerhals,
Added connection string page,04/06/2021,TRUE,,,Julien Kellerhals,
Added connectionString test,04/06/2021,TRUE,,,Julien Kellerhals,
Added connection string page,04/06/2021,TRUE,,,Julien Kellerhals,
Added daily precipitation data,04/06/2021,TRUE,,,Julien Kellerhals,
Added new precipitation,04/06/2021,TRUE,,,Julien Kellerhals,
Corrected spelling mistakes,04/06/2021,TRUE,,,Julien Kellerhals,
Added dashboard and story link,04/06/2021,TRUE,,,Julien Kellerhals,
Updated build file,02/06/2021,TRUE,,,Julien Kellerhals,
Added build,02/06/2021,TRUE,,,Julien Kellerhals,
Update codecov.yml,31/05/2021,TRUE,,,Julien Kellerhals,
Update codecov.yml,31/05/2021,TRUE,,,Julien Kellerhals,
Update codecov.yml,31/05/2021,TRUE,,,Julien Kellerhals,
Added requirements.txt,31/05/2021,TRUE,,,Julien Kellerhals,
Added requirements.txt,31/05/2021,TRUE,,,Julien Kellerhals,
Update codecov.yml,31/05/2021,TRUE,,,Julien Kellerhals,
Create codecov.yml,31/05/2021,TRUE,,,Julien Kellerhals,
Added schema actions,31/05/2021,TRUE,,,Julien Kellerhals,
Removed datamart implementation,31/05/2021,TRUE,,,Julien Kellerhals,
Fixed running services bug on admin page,31/05/2021,TRUE,,,Julien Kellerhals,
Made FE more responsive,30/05/2021,TRUE,,,Julien Kellerhals,
Fixed enabled action button on refresh,30/05/2021,TRUE,,,Julien Kellerhals,
Fixed previous row update problem,30/05/2021,TRUE,,,Julien Kellerhals,
Removed schema update,29/05/2021,TRUE,,,Julien Kellerhals,
Fixed last refresh date,28/05/2021,TRUE,,,Julien Kellerhals,
Added schema to refresh mv,28/05/2021,TRUE,,,Julien Kellerhals,
Added row count and last update,28/05/2021,TRUE,,,Julien Kellerhals,
Added progress bar,28/05/2021,TRUE,,,Julien Kellerhals,
Added doc string to functions,28/05/2021,TRUE,,,Julien Kellerhals,
Added increment scrapping back,28/05/2021,TRUE,,,Julien Kellerhals,
Added mv refresh,28/05/2021,TRUE,,,Julien Kellerhals,
Removed db echo,28/05/2021,TRUE,,,Julien Kellerhals,
Removed triggers and fixed recreate table problem,28/05/2021,TRUE,,,Julien Kellerhals,
Added progress bar place holders,27/05/2021,TRUE,,,Julien Kellerhals,
Added year parsing,27/05/2021,TRUE,,,Julien Kellerhals,
Added button disable,16/05/2021,TRUE,,,Julien Kellerhals,
Added responseDict class,16/05/2021,TRUE,,,Julien Kellerhals,
Removed manual download,15/05/2021,TRUE,,,Julien Kellerhals,
Changed engine to queue pool,14/05/2021,TRUE,,,Julien Kellerhals,
