 

stn;time;brefard0
UEB;20060415;0
UEB;20060416;0
UEB;20060417;0
UEB;20060418;0
UEB;20060419;0
UEB;20060420;0
UEB;20060421;0
UEB;20060422;162
UEB;20060423;6
UEB;20060424;42
UEB;20060425;0
UEB;20060426;8
UEB;20060427;0
UEB;20060428;0
UEB;20060429;0
UEB;20060430;0
UEB;20060501;0
UEB;20060502;0
UEB;20060503;0
UEB;20060504;0
UEB;20060505;100
UEB;20060506;20
UEB;20060507;0
UEB;20060508;0
UEB;20060509;0
UEB;20060510;0
UEB;20060511;0
UEB;20060512;12
UEB;20060513;123
UEB;20060514;2
UEB;20060515;0
UEB;20060516;11
UEB;20060517;3
UEB;20060518;10
UEB;20060519;0
UEB;20060520;0
UEB;20060521;0
UEB;20060522;0
UEB;20060523;0
UEB;20060524;0
UEB;20060525;0
UEB;20060526;0
UEB;20060527;0
UEB;20060528;0
UEB;20060529;7
UEB;20060530;35
UEB;20060531;0
UEB;20060601;1
UEB;20060602;0
UEB;20060603;0
UEB;20060604;0
UEB;20060605;0
UEB;20060606;0
UEB;20060607;0
UEB;20060608;0
UEB;20060609;0
UEB;20060610;0
UEB;20060611;0
UEB;20060612;0
UEB;20060613;0
UEB;20060614;1
UEB;20060615;0
UEB;20060616;44
UEB;20060617;92
UEB;20060618;83
UEB;20060619;67
UEB;20060620;0
UEB;20060621;127
UEB;20060622;0
UEB;20060623;0
UEB;20060624;7
UEB;20060625;203
UEB;20060626;0
UEB;20060627;149
UEB;20060628;539
UEB;20060629;211
UEB;20060630;0
UEB;20060701;0
UEB;20060702;0
UEB;20060703;2
UEB;20060704;0
UEB;20060705;611
UEB;20060706;0
UEB;20060707;3
UEB;20060708;1
UEB;20060709;3
UEB;20060710;0
UEB;20060711;1
UEB;20060712;32
UEB;20060713;375
UEB;20060714;32
UEB;20060715;0
UEB;20060716;0
UEB;20060717;0
UEB;20060718;0
UEB;20060719;0
UEB;20060720;0
UEB;20060721;5
UEB;20060722;46
UEB;20060723;2
UEB;20060724;0
UEB;20060725;1
UEB;20060726;2
UEB;20060727;136
UEB;20060728;41
UEB;20060729;4
UEB;20060730;2
UEB;20060731;19
UEB;20060801;0
UEB;20060802;0
UEB;20060803;80
UEB;20060804;9
UEB;20060805;1
UEB;20060806;2
UEB;20060807;0
UEB;20060808;12
UEB;20060809;0
UEB;20060810;3
UEB;20060811;4
UEB;20060812;1
UEB;20060813;0
UEB;20060814;1
UEB;20060815;0
UEB;20060816;0
UEB;20060817;1
UEB;20060818;29
UEB;20060819;4
UEB;20060820;25
UEB;20060821;0
UEB;20060822;0
UEB;20060823;0
UEB;20060824;161
UEB;20060825;0
UEB;20060826;3
UEB;20060827;0
UEB;20060828;0
UEB;20060829;8
UEB;20060830;12
UEB;20060831;0
