 

stn;time;fu3010m1
RAG;199712;87.1
RAG;199801;83.2
RAG;199802;66.6
RAG;199803;79.6
RAG;199804;90.7
RAG;199805;61.2
RAG;199806;88.9
RAG;199807;70.2
RAG;199808;70.2
RAG;199809;63.0
RAG;199810;98.3
RAG;199811;72.4
RAG;199812;70.2
RAG;199901;77.8
RAG;199902;96.5
RAG;199903;81.4
RAG;199904;81.4
RAG;199905;59.4
RAG;199906;107.3
RAG;199907;51.8
RAG;199908;68.4
RAG;199909;96.5
RAG;199910;77.8
RAG;199911;74.2
RAG;199912;98.3
RAG;200001;64.8
RAG;200002;85.3
RAG;200003;66.6
RAG;200004;77.8
RAG;200005;77.8
RAG;200006;94.3
RAG;200007;74.2
RAG;200008;66.6
RAG;200009;64.8
RAG;200010;85.3
RAG;200011;92.5
RAG;200012;77.8
RAG;200101;85.3
RAG;200102;92.5
RAG;200103;85.3
RAG;200104;74.2
RAG;200105;96.5
RAG;200106;77.8
RAG;200107;92.5
RAG;200108;59.4
RAG;200109;59.4
RAG;200110;68.4
RAG;200111;77.8
RAG;200112;81.4
RAG;200201;81.4
RAG;200202;88.9
RAG;200203;77.8
RAG;200204;77.8
RAG;200205;77.8
RAG;200206;88.9
RAG;200207;77.8
RAG;200208;51.8
RAG;200209;55.4
RAG;200210;96.5
RAG;200211;88.9
RAG;200212;77.8
RAG;200301;83.2
RAG;200302;72.4
RAG;200303;96.5
RAG;200304;77.8
RAG;200305;81.4
RAG;200306;66.6
RAG;200307;77.8
RAG;200308;63.0
RAG;200309;68.4
RAG;200310;96.5
RAG;200311;77.8
RAG;200312;111.2
RAG;200401;81.4
RAG;200402;101.9
RAG;200403;81.4
RAG;200404;70.2
RAG;200405;50.0
RAG;200406;55.4
RAG;200407;64.8
RAG;200408;85.3
RAG;200409;70.2
RAG;200410;68.4
RAG;200411;85.3
RAG;200412;85.3
RAG;200501;85.3
RAG;200502;118.4
RAG;200503;74.2
RAG;200504;70.2
RAG;200505;77.8
RAG;200506;61.2
RAG;200507;77.8
RAG;200508;51.8
RAG;200509;59.4
RAG;200510;61.2
RAG;200511;66.6
RAG;200512;77.8
RAG;200601;64.8
RAG;200602;77.8
RAG;200603;81.4
RAG;200604;85.3
RAG;200605;77.8
RAG;200606;55.4
RAG;200607;68.4
RAG;200608;55.4
RAG;200609;50.0
RAG;200610;70.2
RAG;200611;81.4
RAG;200612;81.4
RAG;200701;77.8
RAG;200702;79.6
RAG;200703;72.4
RAG;200704;66.6
RAG;200705;92.5
RAG;200706;66.6
RAG;200707;72.4
RAG;200708;55.4
RAG;200709;68.4
RAG;200710;50.0
RAG;200711;100.1
RAG;200712;100.1
RAG;200801;88.9
RAG;200802;81.4
RAG;200803;103.7
RAG;200804;77.8
RAG;200805;72.4
RAG;200806;59.4
RAG;200807;81.4
RAG;200808;66.6
RAG;200809;66.6
RAG;200810;59.4
RAG;200811;96.1
RAG;200812;70.2
RAG;200901;96.1
RAG;200902;77.8
RAG;200903;96.1
RAG;200904;74.2
RAG;200905;88.9
RAG;200906;72.4
RAG;200907;74.2
RAG;200908;64.8
RAG;200909;77.8
RAG;200910;81.4
RAG;200911;77.8
RAG;200912;88.9
RAG;201001;59.4
RAG;201002;111.2
RAG;201003;100.1
RAG;201004;68.4
RAG;201005;59.4
RAG;201006;74.2
