 

stn;time;hns000y0
SMM;1970;404
SMM;1971;221
SMM;1972;235
SMM;1973;193
SMM;1974;206
SMM;1975;375
SMM;1976;96
SMM;1977;380
SMM;1978;353
SMM;1979;435
SMM;1980;186
SMM;1981;270
SMM;1982;175
SMM;1983;225
SMM;1984;224
SMM;1985;267
SMM;1986;245
SMM;1987;208
SMM;1988;166
SMM;1989;87
SMM;1990;213
SMM;1991;183
SMM;1992;247
SMM;1993;116
SMM;1994;131
SMM;1995;211
SMM;1996;201
SMM;1997;119
SMM;1998;115
SMM;1999;262
SMM;2000;163
SMM;2001;218
SMM;2002;186
SMM;2003;148
SMM;2004;239
SMM;2005;116
SMM;2006;170
SMM;2007;156
SMM;2008;329
SMM;2009;305
SMM;2010;269
SMM;2011;99
