 

stn;time;rzz150yx
REH;1981;6.4
REH;1982;6.9
REH;1983;23.0
REH;1984;9.9
REH;1985;5.3
REH;1986;12.7
REH;1987;7.5
REH;1988;30.3
REH;1989;14.2
REH;1990;15.7
REH;1991;8.0
REH;1992;7.1
REH;1993;14.3
REH;1994;12.3
REH;1995;9.4
REH;1996;8.2
REH;1997;8.9
REH;1998;10.0
REH;1999;10.5
REH;2000;8.2
REH;2001;6.1
REH;2002;21.3
REH;2003;9.6
REH;2004;8.1
REH;2005;8.4
REH;2006;10.3
REH;2007;15.4
REH;2008;10.3
REH;2009;11.3
REH;2010;19.4
REH;2011;8.7
REH;2012;8.6
REH;2013;14.1
REH;2014;11.6
REH;2015;13.8
REH;2016;10.1
REH;2017;10.3
REH;2018;13.9
REH;2019;19.1
REH;2020;4.9
