 

stn;time;rhs150m0
GRH;193201;235.6
GRH;193202;23.6
GRH;193203;168.7
GRH;193204;145.4
GRH;193205;161.1
GRH;193206;132.5
GRH;193207;146.8
GRH;193208;77.9
GRH;193209;81.2
GRH;193210;218.0
GRH;193211;111.4
GRH;193212;6.3
GRH;193301;120.1
GRH;193302;178.8
GRH;193303;98.4
GRH;193304;119.4
GRH;193305;308.6
GRH;193306;231.2
GRH;193307;85.9
GRH;193308;48.4
GRH;193309;155.4
GRH;193310;184.7
GRH;193311;149.1
GRH;193312;23.0
GRH;193401;237.3
GRH;193402;38.8
GRH;193403;140.1
GRH;193404;95.4
GRH;193405;60.8
GRH;193406;173.1
GRH;193407;110.6
GRH;193408;213.1
GRH;193409;55.9
GRH;193410;163.7
GRH;193411;121.8
GRH;193412;135.1
GRH;193501;283.2
GRH;193502;411.3
GRH;193503;251.8
GRH;193504;290.4
GRH;193505;111.0
GRH;193506;104.7
GRH;193507;64.5
GRH;193508;180.0
GRH;193509;91.3
GRH;193510;410.1
GRH;193511;178.4
GRH;193512;234.1
GRH;193601;231.3
GRH;193602;181.7
GRH;193603;122.9
GRH;193604;186.8
GRH;193605;118.8
GRH;193606;141.7
GRH;193607;208.6
GRH;193608;68.4
GRH;193609;235.5
GRH;193610;142.6
GRH;193611;56.5
GRH;193612;214.7
GRH;193701;140.9
GRH;193702;401.5
GRH;193703;266.1
GRH;193704;271.7
GRH;193705;127.2
GRH;193706;107.5
GRH;193707;113.2
GRH;193708;121.6
GRH;193709;209.1
GRH;193710;151.9
GRH;193711;105.5
GRH;193712;135.1
GRH;193801;329.8
GRH;193802;132.7
GRH;193803;103.2
GRH;193804;110.1
GRH;193805;166.7
GRH;193806;127.5
GRH;193807;178.5
GRH;193808;135.4
GRH;193809;92.8
GRH;193810;93.8
GRH;193811;54.5
GRH;193812;197.1
GRH;193901;202.4
GRH;193902;99.2
GRH;193903;373.4
GRH;193904;184.5
GRH;193905;263.0
GRH;193906;104.6
GRH;193907;162.4
GRH;193908;129.3
GRH;193909;66.1
GRH;193910;270.8
GRH;193911;309.1
GRH;193912;143.8
GRH;194001;185.9
GRH;194002;266.7
GRH;194003;194.0
GRH;194004;173.6
GRH;194005;175.1
GRH;194006;94.0
GRH;194007;180.2
GRH;194008;129.2
GRH;194009;245.4
GRH;194010;190.4
GRH;194011;222.2
GRH;194012;269.6
GRH;194101;125.2
GRH;194102;205.8
GRH;194103;106.8
GRH;194104;139.2
GRH;194105;204.2
GRH;194106;95.9
GRH;194107;104.2
GRH;194108;226.3
GRH;194109;96.6
GRH;194110;264.9
GRH;194111;117.3
GRH;194112;171.2
GRH;194201;198.9
GRH;194202;86.2
GRH;194203;130.4
GRH;194204;113.3
GRH;194205;160.8
GRH;194206;97.2
GRH;194207;117.2
GRH;194208;109.5
GRH;194209;157.2
GRH;194210;284.3
GRH;194211;119.4
GRH;194212;60.3
GRH;194301;266.6
GRH;194302;189.4
GRH;194303;107.4
GRH;194304;222.6
GRH;194305;92.0
GRH;194306;200.7
GRH;194307;110.4
GRH;194308;78.7
GRH;194309;148.8
GRH;194310;20.6
GRH;194311;187.7
GRH;194312;84.5
GRH;194401;212.9
GRH;194402;236.3
GRH;194403;346.7
GRH;194404;98.2
GRH;194405;75.5
GRH;194406;121.6
GRH;194407;161.9
GRH;194408;40.9
GRH;194409;124.1
GRH;194410;219.5
GRH;194411;419.1
GRH;194412;150.5
GRH;194501;136.6
GRH;194502;239.5
GRH;194503;248.6
GRH;194504;187.1
GRH;194505;132.9
GRH;194506;69.3
GRH;194507;110.2
GRH;194508;199.4
GRH;194509;243.0
GRH;194510;173.3
GRH;194511;117.6
GRH;194512;268.6
GRH;194601;141.1
GRH;194602;375.9
GRH;194603;128.0
GRH;194604;33.5
GRH;194605;113.5
GRH;194606;209.2
GRH;194607;155.4
GRH;194608;186.4
GRH;194609;56.0
GRH;194610;110.3
GRH;194611;129.3
GRH;194612;137.5
GRH;194701;140.5
GRH;194702;154.1
GRH;194703;256.4
GRH;194704;76.6
GRH;194705;172.7
GRH;194706;136.6
GRH;194707;88.9
GRH;194708;58.8
GRH;194709;123.0
GRH;194710;65.3
GRH;194711;368.6
GRH;194712;582.6
GRH;194801;305.1
GRH;194802;306.2
GRH;194803;85.4
GRH;194804;164.1
GRH;194805;77.7
GRH;194806;240.4
GRH;194807;259.6
GRH;194808;160.1
GRH;194809;180.3
GRH;194810;72.2
GRH;194811;62.2
GRH;194812;70.8
GRH;194901;250.5
GRH;194902;105.3
GRH;194903;267.6
GRH;194904;137.0
GRH;194905;165.4
GRH;194906;65.5
GRH;194907;41.7
GRH;194908;95.3
GRH;194909;115.4
GRH;194910;39.8
GRH;194911;205.2
GRH;194912;170.8
GRH;195001;244.6
GRH;195002;318.9
GRH;195003;47.0
GRH;195004;238.8
GRH;195005;129.5
GRH;195006;77.0
GRH;195007;126.7
GRH;195008;150.8
GRH;195009;155.0
GRH;195010;43.2
GRH;195011;348.8
GRH;195012;123.6
GRH;195101;294.8
GRH;195102;381.1
GRH;195103;231.7
GRH;195104;177.1
GRH;195105;165.7
GRH;195106;161.8
GRH;195107;66.9
GRH;195108;170.1
GRH;195109;77.3
GRH;195110;94.5
GRH;195111;330.6
GRH;195112;93.4
GRH;195201;257.2
GRH;195202;183.4
GRH;195203;250.3
GRH;195204;79.4
GRH;195205;89.6
GRH;195206;93.7
GRH;195207;82.6
GRH;195208;93.3
GRH;195209;170.4
GRH;195210;274.3
GRH;195211;396.4
GRH;195212;247.4
GRH;195301;111.6
GRH;195302;160.6
GRH;195303;32.2
GRH;195304;176.0
GRH;195305;125.3
GRH;195306;212.0
GRH;195307;161.7
GRH;195308;77.9
GRH;195309;163.2
GRH;195310;277.2
GRH;195311;40.2
GRH;195312;139.7
GRH;195401;330.5
GRH;195402;79.7
GRH;195403;70.1
GRH;195404;213.7
GRH;195405;114.0
GRH;195406;100.9
GRH;195407;152.1
GRH;195408;261.6
GRH;195409;138.3
GRH;195410;142.1
GRH;195411;118.2
GRH;195412;321.8
GRH;195501;210.5
GRH;195502;293.1
GRH;195503;80.7
GRH;195504;137.3
GRH;195505;165.8
GRH;195506;159.4
GRH;195507;168.1
GRH;195508;101.1
GRH;195509;111.6
GRH;195510;147.7
GRH;195511;57.6
GRH;195512;224.3
GRH;195601;188.5
GRH;195602;75.1
GRH;195603;236.1
GRH;195604;257.7
GRH;195605;228.0
GRH;195606;188.6
GRH;195607;199.2
GRH;195608;205.1
GRH;195609;125.6
GRH;195610;253.8
GRH;195611;153.9
GRH;195612;72.7
GRH;195701;151.0
GRH;195702;356.3
GRH;195703;38.7
GRH;195704;128.9
GRH;195705;157.5
GRH;195706;162.3
GRH;195707;135.7
GRH;195708;131.7
GRH;195709;137.9
GRH;195710;42.0
GRH;195711;71.7
GRH;195712;138.9
GRH;195801;247.4
GRH;195802;394.4
GRH;195803;235.7
GRH;195804;380.4
GRH;195805;183.9
GRH;195806;120.9
GRH;195807;145.3
GRH;195808;165.8
GRH;195809;91.4
GRH;195810;332.5
GRH;195811;114.7
GRH;195812;175.4
GRH;195901;292.3
GRH;195902;57.5
GRH;195903;112.2
GRH;195904;159.4
GRH;195905;94.0
GRH;195906;163.5
GRH;195907;153.2
GRH;195908;92.9
GRH;195909;29.3
GRH;195910;179.3
GRH;195911;180.1
GRH;195912;268.1
GRH;196001;177.6
GRH;196002;91.7
GRH;196003;137.9
GRH;196004;144.4
GRH;196005;89.0
GRH;196006;127.6
GRH;196007;254.0
GRH;196008;201.7
GRH;196009;248.1
GRH;196010;285.5
GRH;196011;184.0
GRH;196012;92.1
GRH;196101;76.5
GRH;196102;376.3
GRH;196103;134.0
GRH;196104;109.0
GRH;196105;174.3
GRH;196106;150.6
GRH;196107;157.1
GRH;196108;148.3
GRH;196109;32.0
GRH;196110;102.5
GRH;196111;104.8
GRH;196112;160.5
GRH;196201;257.4
GRH;196202;259.4
GRH;196203;227.2
GRH;196204;254.5
GRH;196205;190.0
GRH;196206;68.9
GRH;196207;86.6
GRH;196208;90.0
GRH;196209;89.5
GRH;196210;47.9
GRH;196211;112.3
GRH;196212;320.6
GRH;196301;131.1
GRH;196302;94.0
GRH;196303;254.5
GRH;196304;120.3
GRH;196305;130.0
GRH;196306;131.9
GRH;196307;74.5
GRH;196308;165.6
GRH;196309;98.1
GRH;196310;54.8
GRH;196311;145.3
GRH;196312;19.6
GRH;196401;43.7
GRH;196402;66.6
GRH;196403;160.2
GRH;196404;175.3
GRH;196405;131.5
GRH;196406;98.8
GRH;196407;52.7
GRH;196408;142.7
GRH;196409;88.6
GRH;196410;208.3
GRH;196411;136.6
GRH;196412;133.1
GRH;196501;206.1
GRH;196502;209.4
GRH;196503;241.6
GRH;196504;322.1
GRH;196505;168.6
GRH;196506;164.0
GRH;196507;195.6
GRH;196508;211.8
GRH;196509;272.4
GRH;196510;6.9
GRH;196511;240.8
GRH;196512;348.8
GRH;196601;171.2
GRH;196602;205.0
GRH;196603;356.6
GRH;196604;111.4
GRH;196605;137.9
GRH;196606;107.9
GRH;196607;156.5
GRH;196608;149.1
GRH;196609;48.2
GRH;196610;129.6
GRH;196611;288.4
GRH;196612;513.6
GRH;196701;205.2
GRH;196702;118.3
GRH;196703;306.8
GRH;196704;300.6
GRH;196705;256.4
GRH;196706;89.1
GRH;196707;80.7
GRH;196708;123.5
GRH;196709;121.9
GRH;196710;55.2
GRH;196711;91.7
GRH;196712;181.4
GRH;196801;596.5
GRH;196802;111.6
GRH;196803;165.9
GRH;196804;94.9
GRH;196805;183.6
GRH;196806;93.7
GRH;196807;152.3
GRH;196808;213.3
GRH;196809;144.8
GRH;196810;43.7
GRH;196811;84.7
GRH;196812;200.2
GRH;196901;157.6
GRH;196902;158.9
GRH;196903;41.7
GRH;196904;307.6
GRH;196905;122.7
GRH;196906;256.8
GRH;196907;121.9
GRH;196908;220.4
GRH;196909;33.7
GRH;196910;12.9
GRH;196911;163.6
GRH;196912;193.6
GRH;197001;122.3
GRH;197002;529.0
GRH;197003;270.9
GRH;197004;372.4
GRH;197005;172.1
GRH;197006;80.9
GRH;197007;158.0
GRH;197008;173.5
GRH;197009;77.4
GRH;197010;224.4
GRH;197011;125.3
GRH;197012;139.7
GRH;197101;36.7
GRH;197102;218.2
GRH;197103;184.6
GRH;197104;46.2
GRH;197105;50.5
GRH;197106;212.6
GRH;197107;48.4
GRH;197108;144.7
GRH;197109;92.0
GRH;197110;29.3
GRH;197111;216.3
GRH;197112;108.2
GRH;197201;61.4
GRH;197202;75.3
GRH;197203;68.1
GRH;197204;235.3
GRH;197205;168.6
GRH;197206;194.2
GRH;197207;84.5
GRH;197208;144.6
GRH;197209;101.2
GRH;197210;176.5
GRH;197211;266.6
GRH;197212;16.0
GRH;197301;95.5
GRH;197302;239.9
GRH;197303;107.0
GRH;197304;311.5
GRH;197305;90.4
GRH;197306;186.2
GRH;197307;199.5
GRH;197308;99.2
GRH;197309;74.7
GRH;197310;162.8
GRH;197311;203.5
GRH;197312;262.9
GRH;197401;117.3
GRH;197402;202.3
GRH;197403;95.2
GRH;197404;69.7
GRH;197405;147.0
GRH;197406;156.5
GRH;197407;125.7
GRH;197408;118.8
GRH;197409;184.4
GRH;197410;342.1
GRH;197411;256.1
GRH;197412;332.6
GRH;197501;235.4
GRH;197502;65.3
GRH;197503;216.0
GRH;197504;218.5
GRH;197505;139.8
GRH;197506;193.0
GRH;197507;116.8
GRH;197508;151.7
GRH;197509;110.0
GRH;197510;117.4
GRH;197511;220.5
GRH;197512;19.4
GRH;197601;227.2
GRH;197602;50.1
GRH;197603;43.3
GRH;197604;155.9
GRH;197605;81.4
GRH;197606;111.1
GRH;197607;149.4
GRH;197608;100.1
GRH;197609;104.7
GRH;197610;170.0
GRH;197611;183.0
GRH;197612;199.9
GRH;197701;149.7
GRH;197702;192.0
GRH;197703;134.5
GRH;197704;376.6
GRH;197705;111.4
GRH;197706;96.2
GRH;197707;167.7
GRH;197708;131.2
GRH;197709;38.0
GRH;197710;133.2
GRH;197711;255.8
GRH;197712;98.1
GRH;197801;246.7
GRH;197802;247.4
GRH;197803;291.6
GRH;197804;95.7
GRH;197805;167.5
GRH;197806;136.5
GRH;197807;160.6
GRH;197808;180.8
GRH;197809;137.0
GRH;197810;123.8
GRH;197811;44.6
GRH;197812;83.9
GRH;197901;204.9
GRH;197902;103.9
GRH;197903;293.8
GRH;197904;145.2
GRH;197905;87.2
GRH;197906;134.9
GRH;197907;55.4
GRH;197908;147.9
GRH;197909;89.4
GRH;197910;155.7
GRH;197911;206.7
GRH;197912;365.2
GRH;198001;208.5
GRH;198002;168.8
GRH;198003;125.1
GRH;198004;287.0
GRH;198005;59.5
GRH;198006;220.2
GRH;198007;181.7
GRH;198008;116.3
GRH;198009;40.3
GRH;198010;269.2
GRH;198011;101.1
GRH;198012;277.2
GRH;198101;435.7
GRH;198102;127.7
GRH;198103;218.0
GRH;198104;63.1
GRH;198105;170.5
GRH;198106;129.5
GRH;198107;253.6
GRH;198108;46.8
GRH;198109;249.2
GRH;198110;267.9
GRH;198111;240.3
GRH;198112;415.8
GRH;198201;283.1
GRH;198202;56.1
GRH;198203;221.2
GRH;198204;83.8
GRH;198205;72.5
GRH;198206;144.0
GRH;198207;177.6
GRH;198208;163.6
GRH;198209;83.6
GRH;198210;133.0
GRH;198211;103.5
GRH;198212;143.0
GRH;198301;360.9
GRH;198302;134.6
GRH;198303;118.0
GRH;198304;167.6
GRH;198305;266.6
GRH;198306;70.7
GRH;198307;29.6
GRH;198308;89.0
GRH;198309;126.8
GRH;198310;87.9
GRH;198311;157.1
GRH;198312;132.0
GRH;198401;286.0
GRH;198402;260.5
GRH;198403;104.6
GRH;198404;81.7
GRH;198405;117.4
GRH;198406;96.8
GRH;198407;103.7
GRH;198408;104.0
GRH;198409;219.1
GRH;198410;82.7
GRH;198411;69.3
GRH;198412;95.0
GRH;198501;176.0
GRH;198502;154.4
GRH;198503;165.7
GRH;198504;172.8
GRH;198505;162.0
GRH;198506;163.6
GRH;198507;94.3
GRH;198508;137.9
GRH;198509;39.1
GRH;198510;3.5
GRH;198511;150.2
GRH;198512;33.1
GRH;198601;584.2
GRH;198602;44.4
GRH;198603;169.5
GRH;198604;275.8
GRH;198605;133.6
GRH;198606;127.6
GRH;198607;127.6
GRH;198608;120.1
GRH;198609;51.1
GRH;198610;75.5
GRH;198611;94.9
GRH;198612;426.1
GRH;198701;273.5
GRH;198702;228.3
GRH;198703;237.8
GRH;198704;153.8
GRH;198705;269.3
GRH;198706;222.4
GRH;198707;156.4
GRH;198708;162.0
GRH;198709;66.0
GRH;198710;142.3
GRH;198711;189.5
GRH;198712;68.0
GRH;198801;164.8
GRH;198802;250.8
GRH;198803;582.7
GRH;198804;71.9
GRH;198805;83.1
GRH;198806;146.4
GRH;198807;128.2
GRH;198808;117.8
GRH;198809;90.5
GRH;198810;189.0
GRH;198811;92.1
GRH;198812;343.5
GRH;198901;9.6
GRH;198902;117.1
GRH;198903;134.3
GRH;198904;261.9
GRH;198905;90.6
GRH;198906;80.0
GRH;198907;172.7
GRH;198908;166.5
GRH;198909;102.0
GRH;198910;130.4
GRH;198911;97.6
GRH;198912;119.9
GRH;199001;41.6
GRH;199002;345.2
GRH;199003;127.2
GRH;199004;185.6
GRH;199005;108.9
GRH;199006;183.5
GRH;199007;95.9
GRH;199008;77.8
GRH;199009;84.1
GRH;199010;144.9
GRH;199011;297.2
GRH;199012;214.8
GRH;199101;147.5
GRH;199102;41.6
GRH;199103;89.8
GRH;199104;171.3
GRH;199105;264.8
GRH;199106;219.3
GRH;199107;140.3
GRH;199108;47.2
GRH;199109;153.7
GRH;199110;78.4
GRH;199111;103.8
GRH;199112;446.2
GRH;199201;14.6
GRH;199202;220.2
GRH;199203;276.1
GRH;199204;141.8
GRH;199205;32.7
GRH;199206;155.1
GRH;199207;87.3
GRH;199208;127.4
GRH;199209;137.5
GRH;199210;116.6
GRH;199211;265.3
GRH;199212;138.7
GRH;199301;119.0
GRH;199302;106.3
GRH;199303;83.1
GRH;199304;191.2
GRH;199305;79.3
GRH;199306;171.1
GRH;199307;164.2
GRH;199308;89.7
GRH;199309;238.3
GRH;199310;233.6
GRH;199311;80.3
GRH;199312;251.6
GRH;199401;338.9
GRH;199402;83.6
GRH;199403;138.6
GRH;199404;218.0
GRH;199405;228.0
GRH;199406;124.0
GRH;199407;75.4
GRH;199408;141.4
GRH;199409;146.6
GRH;199410;64.9
GRH;199411;125.3
GRH;199412;128.5
GRH;199501;505.1
GRH;199502;219.5
GRH;199503;387.2
GRH;199504;215.6
GRH;199505;186.9
GRH;199506;129.0
GRH;199507;68.9
GRH;199508;193.2
GRH;199509;189.2
GRH;199510;1.7
GRH;199511;152.2
GRH;199512;160.2
GRH;199601;11.5
GRH;199602;144.0
GRH;199603;117.0
GRH;199604;70.6
GRH;199605;264.8
GRH;199606;47.2
GRH;199607;170.6
GRH;199608;127.3
GRH;199609;83.7
GRH;199610;177.9
GRH;199611;445.5
GRH;199612;72.7
GRH;199701;12.8
GRH;199702;186.8
GRH;199703;172.2
GRH;199704;163.7
GRH;199705;104.8
GRH;199706;154.2
GRH;199707;220.4
GRH;199708;122.0
GRH;199709;27.1
GRH;199710;135.8
GRH;199711;71.0
GRH;199712;268.0
GRH;199801;173.3
GRH;199802;30.8
GRH;199803;141.7
GRH;199804;145.6
GRH;199805;60.0
GRH;199806;140.6
GRH;199807;112.9
GRH;199808;114.1
GRH;199809;213.8
GRH;199810;177.1
GRH;199811;165.8
GRH;199812;67.5
GRH;199901;318.8
GRH;199902;544.7
GRH;199903;61.9
GRH;199904;204.9
GRH;199905;159.6
GRH;199906;141.7
GRH;199907;89.9
GRH;199908;81.1
GRH;199909;107.8
GRH;199910;82.1
GRH;199911;200.8
GRH;199912;366.4
GRH;200001;182.1
GRH;200002;319.9
GRH;200003;263.8
GRH;200004;115.7
GRH;200005;83.0
GRH;200006;86.2
GRH;200007;201.2
GRH;200008;115.7
GRH;200009;166.7
GRH;200010;152.2
GRH;200011;189.9
GRH;200012;69.5
GRH;200101;69.3
GRH;200102;151.5
GRH;200103;209.8
GRH;200104;293.7
GRH;200105;56.0
GRH;200106;238.1
GRH;200107;106.6
GRH;200108;147.7
GRH;200109;255.8
GRH;200110;66.0
GRH;200111;284.8
GRH;200112;146.4
GRH;200201;24.9
GRH;200202;182.4
GRH;200203;193.9
GRH;200204;85.8
GRH;200205;315.3
GRH;200206;153.1
GRH;200207;194.5
GRH;200208;159.2
GRH;200209;169.5
GRH;200210;126.2
GRH;200211;416.8
GRH;200212;159.2
GRH;200301;244.5
GRH;200302;168.6
GRH;200303;49.4
GRH;200304;114.1
GRH;200305;126.9
GRH;200306;50.4
GRH;200307;123.2
GRH;200308;59.7
GRH;200309;69.4
GRH;200310;240.4
GRH;200311;108.2
GRH;200312;183.0
GRH;200401;380.5
GRH;200402;120.4
GRH;200403;119.6
GRH;200404;124.2
GRH;200405;153.8
GRH;200406;164.7
GRH;200407;87.2
GRH;200408;141.9
GRH;200409;125.9
GRH;200410;101.8
GRH;200411;116.1
GRH;200412;86.6
GRH;200501;260.9
GRH;200502;243.5
GRH;200503;61.8
GRH;200504;151.6
GRH;200505;178.8
GRH;200506;92.2
GRH;200507;105.8
GRH;200508;287.0
GRH;200509;56.4
GRH;200510;66.0
GRH;200511;56.0
GRH;200512;171.8
GRH;200601;90.8
GRH;200602;93.1
GRH;200603;166.2
GRH;200604;134.1
GRH;200605;193.8
GRH;200606;80.2
GRH;200607;54.6
GRH;200608;203.4
GRH;200609;84.8
