 

stn;time;hto000y0
EIN;1931;21
EIN;1932;3
EIN;1933;4
EIN;1934;10
EIN;1935;14
EIN;1936;4
EIN;1937;6
EIN;1938;11
EIN;1939;15
EIN;1940;14
EIN;1941;13
EIN;1942;18
EIN;1943;9
EIN;1944;16
EIN;1945;10
EIN;1946;6
EIN;1947;10
EIN;1948;2
EIN;1949;5
EIN;1950;6
EIN;1951;9
EIN;1952;22
EIN;1953;16
EIN;1954;10
EIN;1955;6
EIN;1956;4
EIN;1957;2
EIN;1958;11
EIN;1959;5
EIN;1960;3
EIN;1961;5
EIN;1962;13
EIN;1963;28
EIN;1964;3
EIN;1965;15
EIN;1966;9
EIN;1967;10
EIN;1968;26
EIN;1969;20
EIN;1970;27
EIN;1971;12
EIN;1972;3
EIN;1973;17
EIN;1974;9
EIN;1975;4
EIN;1976;8
EIN;1977;7
EIN;1978;9
EIN;1979;5
EIN;1980;12
EIN;1981;20
EIN;1982;17
EIN;1983;5
EIN;1984;10
EIN;1985;7
EIN;1986;11
EIN;1987;10
EIN;1988;11
EIN;1989;1
EIN;1990;4
EIN;1991;6
EIN;1992;4
EIN;1993;4
EIN;1994;2
EIN;1995;6
EIN;1996;9
EIN;1997;2
EIN;1998;4
EIN;1999;16
EIN;2000;7
EIN;2001;3
EIN;2002;2
EIN;2003;8
EIN;2004;7
EIN;2005;12
EIN;2006;11
EIN;2007;4
EIN;2008;5
EIN;2009;13
EIN;2010;9
EIN;2011;3
EIN;2012;9
EIN;2013;8
EIN;2014;2
EIN;2015;6
EIN;2016;3
EIN;2017;6
EIN;2018;2
EIN;2019;7
EIN;2020;2
