 

stn;time;hto000y0
GOS;1960;12
GOS;1961;14
GOS;1962;23
GOS;1963;35
GOS;1964;7
GOS;1965;19
GOS;1966;28
GOS;1967;27
GOS;1968;43
GOS;1969;27
GOS;1970;34
GOS;1971;19
GOS;1972;9
GOS;1973;23
GOS;1974;25
GOS;1975;42
GOS;1976;23
GOS;1977;13
GOS;1978;29
GOS;1979;13
GOS;1980;31
GOS;1981;43
GOS;1982;46
GOS;1983;19
GOS;1984;26
GOS;1985;19
GOS;1986;30
GOS;1987;36
GOS;1988;19
GOS;1989;11
GOS;1990;10
GOS;1991;15
GOS;1992;25
GOS;1993;12
GOS;1994;9
GOS;1995;24
GOS;1996;9
GOS;1997;6
GOS;1998;13
GOS;1999;45
GOS;2000;20
GOS;2001;7
GOS;2002;6
GOS;2003;16
GOS;2004;21
GOS;2005;23
GOS;2006;22
GOS;2007;7
GOS;2008;15
GOS;2009;28
GOS;2010;10
