 

stn;time;hns000y0
EIN;1931;418
EIN;1932;166
EIN;1933;199
EIN;1934;220
EIN;1935;552
EIN;1936;223
EIN;1937;250
EIN;1938;363
EIN;1939;420
EIN;1940;399
EIN;1941;304
EIN;1942;331
EIN;1943;228
EIN;1944;435
EIN;1945;429
EIN;1946;165
EIN;1947;280
EIN;1948;113
EIN;1949;256
EIN;1950;356
EIN;1951;296
EIN;1952;602
EIN;1953;348
EIN;1954;329
EIN;1955;271
EIN;1956;306
EIN;1957;186
EIN;1958;479
EIN;1959;245
EIN;1960;220
EIN;1961;191
EIN;1962;543
EIN;1963;323
EIN;1964;232
EIN;1965;528
EIN;1966;436
EIN;1967;405
EIN;1968;598
EIN;1969;538
EIN;1970;650
EIN;1971;279
EIN;1972;179
EIN;1973;545
EIN;1974;456
EIN;1975;297
EIN;1976;342
EIN;1977;353
EIN;1978;374
EIN;1979;454
EIN;1980;450
EIN;1981;563
EIN;1982;328
EIN;1983;282
EIN;1984;335
EIN;1985;397
EIN;1986;467
EIN;1987;317
EIN;1988;540
EIN;1989;87
EIN;1990;284
EIN;1991;229
EIN;1992;209
EIN;1993;250
EIN;1994;202
EIN;1995;472
EIN;1996;296
EIN;1997;91
EIN;1998;270
EIN;1999;647
EIN;2000;181
EIN;2001;314
EIN;2002;85
EIN;2003;337
EIN;2004;349
EIN;2005;425
EIN;2006;247
EIN;2007;279
EIN;2008;333
EIN;2009;369
EIN;2010;397
EIN;2011;162
EIN;2012;333
EIN;2013;306
EIN;2014;145
EIN;2015;150
EIN;2016;151
EIN;2017;247
EIN;2018;83
EIN;2019;202
EIN;2020;160
