 

stn;time;rre150yx
SUG;1900;26.6
SUG;1901;50.8
SUG;1902;47.2
SUG;1903;43.5
SUG;1904;41.5
SUG;1905;45.3
SUG;1906;60.5
SUG;1907;33.2
SUG;1908;44.2
SUG;1909;34.0
SUG;1910;55.4
SUG;1911;29.9
SUG;1912;42.1
SUG;1913;26.2
SUG;1914;41.5
SUG;1915;35.7
SUG;1916;32.1
SUG;1917;28.5
SUG;1918;32.7
SUG;1919;36.8
SUG;1920;32.6
SUG;1921;39.4
SUG;1922;54.4
SUG;1923;30.3
SUG;1924;35.9
SUG;1925;63.1
SUG;1926;45.3
SUG;1927;39.5
SUG;1928;39.8
SUG;1929;32.7
SUG;1930;35.1
SUG;1931;55.7
SUG;1932;48.0
SUG;1933;62.6
SUG;1934;59.6
SUG;1935;54.0
SUG;1936;35.0
SUG;1937;33.0
SUG;1938;35.8
SUG;1939;48.7
SUG;1940;58.2
SUG;1941;30.6
SUG;1942;26.4
SUG;1943;27.8
SUG;1944;53.2
SUG;1945;42.6
SUG;1946;48.8
SUG;1947;33.5
SUG;1948;31.5
SUG;1949;28.0
SUG;1950;45.9
SUG;1951;38.2
SUG;1952;26.9
SUG;1953;43.7
SUG;1954;58.3
SUG;1955;31.4
SUG;1956;74.4
SUG;1957;42.8
SUG;1958;45.2
SUG;1959;57.1
SUG;1960;42.5
SUG;1961;35.5
SUG;1962;44.0
SUG;1963;38.1
SUG;1964;74.5
SUG;1965;53.7
SUG;1966;45.6
SUG;1967;37.9
SUG;1968;98.8
SUG;1969;52.5
SUG;1970;28.7
SUG;1971;64.6
SUG;1972;52.0
SUG;1973;79.9
SUG;1974;45.9
SUG;1975;58.3
SUG;1976;49.6
SUG;1977;87.7
SUG;1978;93.2
SUG;1979;49.4
SUG;1980;27.8
SUG;1981;64.7
SUG;1982;27.4
SUG;1983;35.8
SUG;1984;66.7
SUG;1985;31.1
SUG;1986;50.4
SUG;1987;61.6
SUG;1988;36.5
SUG;1989;33.8
SUG;1990;29.2
SUG;1991;60.0
SUG;1992;49.7
SUG;1993;57.2
SUG;1994;96.0
SUG;1995;51.9
SUG;1996;45.5
SUG;1997;32.4
SUG;1998;37.7
SUG;1999;44.5
SUG;2000;66.6
SUG;2001;42.2
SUG;2002;44.3
SUG;2003;27.8
SUG;2004;39.2
SUG;2005;48.7
SUG;2006;43.5
SUG;2007;61.2
SUG;2008;40.2
SUG;2009;66.7
SUG;2010;38.9
SUG;2011;32.5
