 

stn;time;rti150yx
EGR;1975;19750823
EGR;1976;19760726
EGR;1977;19770731
EGR;1978;19780807
EGR;1979;19790921
EGR;1980;19800726
EGR;1981;19810718
EGR;1982;19820726
EGR;1983;19830803
EGR;1984;19840905
EGR;1985;19850705
EGR;1986;19860718
EGR;1987;19870926
EGR;1988;19880820
EGR;1989;19890711
EGR;1990;19900524
EGR;1991;19910617
EGR;1992;19920831
EGR;1993;19930705
EGR;1994;19940824
EGR;1995;19950531
EGR;1996;19960623
EGR;1997;19970828
EGR;1998;19980911
EGR;1999;19990512
EGR;2000;20000920
EGR;2001;20010715
EGR;2002;20020831
EGR;2003;20030722
EGR;2004;20040323
EGR;2005;20050821
EGR;2006;20060916
EGR;2007;20070807
EGR;2008;20080713
EGR;2009;20090717
EGR;2010;20100717
EGR;2011;20110710
EGR;2012;20121027
EGR;2013;20130601
EGR;2014;20140726
EGR;2015;20150614
EGR;2016;20160804
EGR;2017;20170901
EGR;2018;20180801
EGR;2019;20190728
EGR;2020;20200803
