 

stn;time;tnd00xy0
INT;1972;10
INT;1973;14
INT;1974;0
INT;1975;10
INT;1976;23
INT;1977;4
INT;1978;15
INT;1979;15
INT;1980;31
INT;1981;26
INT;1982;7
INT;1983;20
INT;1984;10
INT;1985;38
INT;1986;26
INT;1987;30
INT;1988;7
INT;1989;10
INT;1990;10
INT;1991;27
INT;1992;22
INT;1993;17
INT;1994;7
INT;1995;17
INT;1996;15
INT;1997;7
INT;1998;20
INT;1999;18
INT;2000;8
INT;2001;16
INT;2002;13
INT;2003;24
INT;2004;10
INT;2005;30
INT;2006;17
INT;2007;14
INT;2008;7
INT;2009;23
INT;2010;36
INT;2011;10
INT;2012;19
INT;2013;16
INT;2014;2
INT;2015;7
INT;2016;2
INT;2017;23
INT;2018;10
INT;2019;6
INT;2020;2
