 

stn;time;rhs150d0
ELM;18780201;0.0
ELM;18780202;0.0
ELM;18780203;0.0
ELM;18780204;0.0
ELM;18780205;0.0
ELM;18780206;0.0
ELM;18780207;0.0
ELM;18780208;0.0
ELM;18780209;0.0
ELM;18780210;0.0
ELM;18780211;0.0
ELM;18780212;10.6
ELM;18780213;0.0
ELM;18780214;0.0
ELM;18780215;0.0
ELM;18780216;0.0
ELM;18780217;0.0
ELM;18780218;0.0
ELM;18780219;1.9
ELM;18780220;0.0
ELM;18780221;0.0
ELM;18780222;0.0
ELM;18780223;0.0
ELM;18780224;0.0
ELM;18780225;3.8
ELM;18780226;2.5
ELM;18780227;0.0
ELM;18780228;2.0
ELM;18780301;1.0
ELM;18780302;0.0
ELM;18780303;0.0
ELM;18780304;0.0
ELM;18780305;0.0
ELM;18780306;7.0
ELM;18780307;11.0
ELM;18780308;14.0
ELM;18780309;1.4
ELM;18780310;0.0
ELM;18780311;4.1
ELM;18780312;19.0
ELM;18780313;14.4
ELM;18780314;8.2
ELM;18780315;0.0
ELM;18780316;0.0
ELM;18780317;3.5
ELM;18780318;10.5
ELM;18780319;15.7
ELM;18780320;1.2
ELM;18780321;0.0
ELM;18780322;0.0
ELM;18780323;0.0
ELM;18780324;0.0
ELM;18780325;0.0
ELM;18780326;0.0
ELM;18780327;0.0
ELM;18780328;0.0
ELM;18780329;0.0
ELM;18780330;15.3
ELM;18780331;0.0
ELM;18780401;6.0
ELM;18780402;11.4
ELM;18780403;0.0
ELM;18780404;0.0
ELM;18780405;5.6
ELM;18780406;0.0
ELM;18780407;0.0
ELM;18780408;0.0
ELM;18780409;0.0
ELM;18780410;0.0
ELM;18780411;6.2
ELM;18780412;5.7
ELM;18780413;0.0
ELM;18780414;0.0
ELM;18780415;0.0
ELM;18780416;4.2
ELM;18780417;1.7
ELM;18780418;4.0
ELM;18780419;3.2
ELM;18780420;19.0
ELM;18780421;4.4
ELM;18780422;0.0
ELM;18780423;0.0
ELM;18780424;4.1
ELM;18780425;11.2
ELM;18780426;11.5
ELM;18780427;0.0
ELM;18780428;0.0
ELM;18780429;3.1
ELM;18780430;0.0
ELM;18780501;8.2
ELM;18780502;1.8
ELM;18780503;1.2
ELM;18780504;0.0
ELM;18780505;0.0
ELM;18780506;0.0
ELM;18780507;0.0
ELM;18780508;4.3
ELM;18780509;0.0
ELM;18780510;0.0
ELM;18780511;0.0
ELM;18780512;0.0
ELM;18780513;6.8
ELM;18780514;0.0
ELM;18780515;3.6
ELM;18780516;0.0
ELM;18780517;0.0
ELM;18780518;0.0
ELM;18780519;0.0
ELM;18780520;1.9
ELM;18780521;0.0
ELM;18780522;0.0
ELM;18780523;0.0
ELM;18780524;11.7
ELM;18780525;35.3
ELM;18780526;0.0
ELM;18780527;0.0
ELM;18780528;20.6
ELM;18780529;4.6
ELM;18780530;0.0
ELM;18780531;0.0
ELM;18780601;0.0
ELM;18780602;15.3
ELM;18780603;7.5
ELM;18780604;10.9
ELM;18780605;7.6
