 

stn;time;rre150y0
DLZUG;1901;1488.1
DLZUG;1902;1262.4
DLZUG;1903;1411.0
DLZUG;1904;1334.8
DLZUG;1905;1114.2
DLZUG;1906;1455.8
DLZUG;1907;1324.4
DLZUG;1908;1178.8
DLZUG;1909;1250.6
DLZUG;1910;2238.3
DLZUG;1911;911.7
DLZUG;1912;1485.3
DLZUG;1913;1324.5
DLZUG;1914;1185.8
DLZUG;1915;1346.8
DLZUG;1916;1476.1
DLZUG;1917;1138.0
DLZUG;1918;1349.1
DLZUG;1919;1198.8
DLZUG;1920;1179.9
DLZUG;1921;1119.6
DLZUG;1922;1304.4
DLZUG;1923;1180.6
DLZUG;1924;1152.1
DLZUG;1925;1412.2
DLZUG;1926;1596.4
DLZUG;1927;1356.9
DLZUG;1928;1309.7
DLZUG;1929;1587.3
DLZUG;1930;1962.8
DLZUG;1931;1510.9
DLZUG;1932;1455.1
DLZUG;1933;2347.2
DLZUG;1934;1858.6
DLZUG;1935;2188.3
DLZUG;1936;2420.0
DLZUG;1937;2606.6
DLZUG;1938;1971.3
DLZUG;1939;2163.3
DLZUG;1940;1450.3
DLZUG;1941;1310.3
DLZUG;1942;1029.5
DLZUG;1943;1105.3
DLZUG;1944;1734.7
DLZUG;1945;1192.4
DLZUG;1946;998.6
DLZUG;1947;1075.5
DLZUG;1948;1117.9
DLZUG;1949;1297.1
DLZUG;1950;1636.7
DLZUG;1951;1868.7
DLZUG;1952;2391.5
DLZUG;1953;1551.6
DLZUG;1954;2485.9
DLZUG;1955;2199.7
DLZUG;1956;1933.1
DLZUG;1957;1601.4
DLZUG;1958;1964.5
DLZUG;1959;1629.4
DLZUG;1960;1875.2
DLZUG;1961;1679.8
DLZUG;1962;2067.8
DLZUG;1963;1475.0
DLZUG;1964;1914.2
DLZUG;1965;2525.6
DLZUG;1966;2457.8
DLZUG;1967;2083.6
DLZUG;1968;1952.3
DLZUG;1969;1531.2
DLZUG;1970;2593.0
DLZUG;1971;1494.4
DLZUG;1972;1529.7
DLZUG;1973;1973.1
DLZUG;1974;2355.8
DLZUG;1975;1559.9
DLZUG;1976;1972.8
DLZUG;1977;2008.4
DLZUG;1978;1952.6
DLZUG;1979;2266.7
DLZUG;1980;2502.6
DLZUG;1981;2724.4
DLZUG;1982;1918.3
DLZUG;1983;2097.0
DLZUG;1984;1924.3
DLZUG;1985;1731.2
DLZUG;1986;1784.1
DLZUG;1987;2040.4
DLZUG;1988;2557.6
DLZUG;1989;1755.2
DLZUG;1990;1666.6
DLZUG;1991;1774.6
DLZUG;1992;2003.0
DLZUG;1993;2022.8
DLZUG;1994;1895.0
DLZUG;1995;2575.6
DLZUG;1996;1871.7
DLZUG;1997;1971.3
DLZUG;1998;2178.9
DLZUG;1999;2353.2
DLZUG;2000;2233.7
DLZUG;2001;2531.7
DLZUG;2002;2226.2
DLZUG;2003;1881.0
DLZUG;2004;2093.2
DLZUG;2005;2244.9
DLZUG;2006;1918.3
DLZUG;2007;2334.3
DLZUG;2008;2062.9
DLZUG;2009;2071.1
DLZUG;2010;1949.0
DLZUG;2011;1795.7
DLZUG;2012;2156.6
DLZUG;2013;1905.4
DLZUG;2014;1969.9
DLZUG;2015;1720.1
DLZUG;2016;1932.6
DLZUG;2017;2357.5
DLZUG;2018;1747.7
DLZUG;2019;2559.2
DLZUG;2020;1928.6
