 

stn;time;rzz150yx
ULR;1982;2.9
ULR;1983;6.9
ULR;1984;5.0
ULR;1985;3.8
ULR;1986;7.0
ULR;1987;3.5
ULR;1988;3.2
ULR;1989;7.8
ULR;1990;8.0
ULR;1991;3.7
ULR;1992;9.2
ULR;1993;2.9
ULR;1994;6.4
ULR;1995;5.1
ULR;1996;8.8
ULR;1997;5.0
ULR;1998;4.1
ULR;1999;12.0
ULR;2000;6.9
ULR;2001;5.5
ULR;2002;5.2
ULR;2003;5.5
ULR;2004;2.2
ULR;2005;5.1
ULR;2006;5.0
ULR;2007;4.4
ULR;2008;17.9
ULR;2009;7.3
ULR;2010;8.2
ULR;2011;4.7
ULR;2012;6.3
ULR;2013;4.4
ULR;2014;4.1
ULR;2015;4.1
ULR;2016;5.7
ULR;2017;3.5
ULR;2018;9.4
ULR;2019;8.8
ULR;2020;2.4
