 

stn;time;hns000y0
LUG;1931;16
LUG;1932;21
LUG;1933;120
LUG;1934;0
LUG;1935;115
LUG;1936;21
LUG;1937;11
LUG;1938;61
LUG;1939;33
LUG;1940;16
LUG;1941;61
LUG;1942;10
LUG;1943;23
LUG;1944;10
LUG;1945;97
LUG;1946;75
LUG;1947;111
LUG;1948;47
LUG;1949;53
LUG;1950;41
LUG;1951;25
LUG;1952;37
LUG;1953;9
LUG;1954;26
LUG;1955;48
LUG;1956;43
LUG;1957;21
LUG;1958;6
LUG;1959;15
LUG;1960;40
LUG;1961;49
LUG;1962;16
LUG;1963;10
LUG;1964;13
LUG;1965;15
LUG;1966;12
LUG;1967;31
LUG;1968;0
LUG;1969;59
LUG;1970;82
LUG;1971;2
LUG;1972;11
LUG;1973;6
LUG;1974;6
LUG;1975;8
LUG;1976;15
LUG;1977;50
LUG;1978;110
LUG;1979;19
LUG;1980;10
LUG;1981;67
LUG;1982;4
LUG;1983;29
LUG;1984;8
LUG;1985;118
LUG;1986;104
LUG;1987;21
LUG;1988;0
LUG;1989;0
LUG;1990;22
LUG;1991;22
LUG;1992;2
LUG;1993;1
LUG;1994;0
LUG;1995;12
LUG;1996;18
LUG;1997;1
LUG;1998;0
LUG;1999;4
LUG;2000;12
LUG;2001;17
LUG;2002;10
LUG;2003;29
LUG;2004;34
LUG;2005;66
LUG;2006;72
LUG;2007;0
LUG;2008;31
LUG;2009;62
LUG;2010;19
LUG;2011;0
LUG;2012;41
LUG;2013;21
LUG;2014;9
LUG;2015;30
LUG;2016;17
LUG;2017;34
LUG;2018;11
LUG;2019;14
LUG;2020;47
