 

stn;time;rre150y0
HEK;1977;1307.9
HEK;1978;1171.0
HEK;1979;1238.5
HEK;1980;1258.9
HEK;1981;1360.5
HEK;1982;1310.5
HEK;1983;1205.2
HEK;1984;1266.7
HEK;1985;978.0
HEK;1986;1270.2
HEK;1987;1236.6
HEK;1988;1234.0
HEK;1989;936.2
HEK;1990;1256.2
HEK;1991;910.7
HEK;1992;1124.0
HEK;1993;1106.9
HEK;1994;1189.6
HEK;1995;1345.8
HEK;1996;908.1
HEK;1997;939.4
HEK;1998;1102.8
HEK;1999;1462.2
HEK;2000;1183.5
HEK;2001;1520.3
HEK;2002;1310.9
HEK;2003;810.1
HEK;2004;1133.0
HEK;2005;891.9
HEK;2006;1409.5
HEK;2007;1317.5
HEK;2008;1066.4
HEK;2009;1045.1
HEK;2010;979.4
HEK;2011;908.3
HEK;2012;1233.3
HEK;2013;1198.6
HEK;2014;1124.7
HEK;2015;853.0
HEK;2016;1376.4
HEK;2017;953.6
HEK;2018;1054.5
HEK;2019;1089.9
HEK;2020;1040.6
