 

stn;time;rre150yx
IYMMR;1924;45.9
IYMMR;1925;33.6
IYMMR;1926;53.0
IYMMR;1927;61.6
IYMMR;1928;80.1
IYMMR;1929;33.8
IYMMR;1930;29.8
IYMMR;1931;39.2
IYMMR;1932;33.0
IYMMR;1933;40.8
IYMMR;1934;31.2
IYMMR;1935;75.0
IYMMR;1936;39.1
IYMMR;1937;39.8
IYMMR;1938;24.2
IYMMR;1939;32.8
IYMMR;1940;68.0
IYMMR;1941;21.4
IYMMR;1942;49.2
IYMMR;1943;29.2
IYMMR;1944;32.6
IYMMR;1945;46.6
IYMMR;1946;35.0
IYMMR;1947;40.0
IYMMR;1948;38.6
IYMMR;1949;31.8
IYMMR;1950;56.6
IYMMR;1951;69.4
IYMMR;1952;39.4
IYMMR;1953;41.0
IYMMR;1954;89.2
IYMMR;1955;31.0
IYMMR;1956;42.4
IYMMR;1957;34.6
IYMMR;1958;53.0
IYMMR;1959;23.3
IYMMR;1960;75.2
IYMMR;1961;32.4
IYMMR;1962;20.8
IYMMR;1963;47.4
IYMMR;1964;37.9
IYMMR;1965;43.6
IYMMR;1966;44.3
IYMMR;1967;33.8
IYMMR;1968;57.8
IYMMR;1969;29.8
IYMMR;1970;38.0
IYMMR;1971;47.3
IYMMR;1972;26.0
IYMMR;1973;42.8
IYMMR;1974;28.0
IYMMR;1975;40.0
IYMMR;1976;38.4
IYMMR;1977;38.6
IYMMR;1978;43.7
IYMMR;1979;41.0
IYMMR;1980;47.1
IYMMR;1981;45.8
IYMMR;1982;33.8
IYMMR;1983;60.7
IYMMR;1984;44.2
IYMMR;1985;44.0
IYMMR;1986;76.7
IYMMR;1987;62.8
IYMMR;1988;57.8
IYMMR;1989;33.0
IYMMR;1990;43.7
IYMMR;1991;43.0
IYMMR;1992;53.6
IYMMR;1993;46.1
IYMMR;1994;45.4
IYMMR;1995;42.6
IYMMR;1996;71.4
IYMMR;1997;42.4
IYMMR;1998;44.6
IYMMR;1999;67.8
IYMMR;2000;62.0
IYMMR;2001;45.4
IYMMR;2002;58.8
IYMMR;2003;33.2
IYMMR;2004;38.8
IYMMR;2005;28.0
IYMMR;2006;22.2
IYMMR;2007;40.2
IYMMR;2008;48.2
IYMMR;2009;46.8
IYMMR;2010;30.4
IYMMR;2011;74.9
IYMMR;2012;33.2
IYMMR;2013;50.0
IYMMR;2014;45.1
IYMMR;2015;46.8
IYMMR;2016;43.8
IYMMR;2017;50.2
IYMMR;2018;73.0
IYMMR;2019;47.5
