Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94074

Filename                                Filetype  Station                              Parameter                                                   Period
order_94074_BEBIL_rhh150mx_1_legend.txt Legend    Biel / Bözingen                      Precipitation; maximum total per hour of the month          200207-201403
order_94074_ZHBID_rhh150mx_1_data.txt   Data      Birmensdorf                          Precipitation; maximum total per hour of the month          200311-202103
order_94074_ZHBID_rhh150mx_1_legend.txt Legend    Birmensdorf                          Precipitation; maximum total per hour of the month          200311-202103
order_94074_DLBUC_rhh150mx_1_data.txt   Data      Buchenbach                           Precipitation; maximum total per hour of the month          200406-201906
order_94074_DLBUC_rhh150mx_1_legend.txt Legend    Buchenbach                           Precipitation; maximum total per hour of the month          200406-201906
order_94074_DLBUC_rhh150mx_2_data.txt   Data      Buchenbach                           Precipitation; maximum total per hour of the month          201907-202103
order_94074_DLBUC_rhh150mx_2_legend.txt Legend    Buchenbach                           Precipitation; maximum total per hour of the month          201907-202103
order_94074_TICAM_rhh150mx_1_data.txt   Data      Camignolo                            Precipitation; maximum total per hour of the month          200910-201012
order_94074_TICAM_rhh150mx_1_legend.txt Legend    Camignolo                            Precipitation; maximum total per hour of the month          200910-201012
order_94074_TICAM_rhh150mx_2_data.txt   Data      Camignolo                            Precipitation; maximum total per hour of the month          201101-201109
order_94074_TICAM_rhh150mx_2_legend.txt Legend    Camignolo                            Precipitation; maximum total per hour of the month          201101-201109
order_94074_TICAM_rhh150mx_3_data.txt   Data      Camignolo                            Precipitation; maximum total per hour of the month          201111-201604
order_94074_TICAM_rhh150mx_3_legend.txt Legend    Camignolo                            Precipitation; maximum total per hour of the month          201111-201604
order_94074_TICAM_rhh150mx_4_data.txt   Data      Camignolo                            Precipitation; maximum total per hour of the month          201606-201803
order_94074_TICAM_rhh150mx_4_legend.txt Legend    Camignolo                            Precipitation; maximum total per hour of the month          201606-201803
order_94074_TICAM_rhh150mx_5_data.txt   Data      Camignolo                            Precipitation; maximum total per hour of the month          201804-202103
order_94074_TICAM_rhh150mx_5_legend.txt Legend    Camignolo                            Precipitation; maximum total per hour of the month          201804-202103
order_94074_TIBIG_rhh150mx_1_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum total per hour of the month          200402-201612
order_94074_TIBIG_rhh150mx_1_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum total per hour of the month          200402-201612
order_94074_TIBIG_rhh150mx_2_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum total per hour of the month          201701-201705
order_94074_TIBIG_rhh150mx_2_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum total per hour of the month          201701-201705
order_94074_TIBIG_rhh150mx_3_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum total per hour of the month          201706-202005
order_94074_TIBIG_rhh150mx_3_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum total per hour of the month          201706-202005
order_94074_TIBIG_rhh150mx_4_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum total per hour of the month          202006-202102
order_94074_TIBIG_rhh150mx_4_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum total per hour of the month          202006-202102
order_94074_CHZ_rhh150mx_1_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199306-199307
order_94074_CHZ_rhh150mx_1_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199306-199307
order_94074_CHZ_rhh150mx_2_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199310-199401
order_94074_CHZ_rhh150mx_2_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199310-199401
order_94074_CHZ_rhh150mx_3_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199403-199405
order_94074_CHZ_rhh150mx_3_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199403-199405
order_94074_CHZ_rhh150mx_4_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199407-199408
order_94074_CHZ_rhh150mx_4_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199407-199408
order_94074_CHZ_rhh150mx_5_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199409-199506
order_94074_CHZ_rhh150mx_5_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199409-199506
order_94074_CHZ_rhh150mx_6_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199507-199604
order_94074_CHZ_rhh150mx_6_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199507-199604
order_94074_CHZ_rhh150mx_7_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199606-199810
order_94074_CHZ_rhh150mx_7_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199606-199810
order_94074_CHZ_rhh150mx_8_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199811-199905
order_94074_CHZ_rhh150mx_8_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199811-199905
order_94074_CHZ_rhh150mx_9_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          199906-199911
order_94074_CHZ_rhh150mx_9_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          199906-199911
order_94074_CHZ_rhh150mx_10_data.txt    Data      Cham                                 Precipitation; maximum total per hour of the month          199912-200002
order_94074_CHZ_rhh150mx_10_legend.txt  Legend    Cham                                 Precipitation; maximum total per hour of the month          199912-200002
order_94074_CHZ_rhh150mx_11_data.txt    Data      Cham                                 Precipitation; maximum total per hour of the month          200006-200010
order_94074_CHZ_rhh150mx_11_legend.txt  Legend    Cham                                 Precipitation; maximum total per hour of the month          200006-200010
order_94074_CHZ_rhh150mx_12_data.txt    Data      Cham                                 Precipitation; maximum total per hour of the month          200011-200811
order_94074_CHZ_rhh150mx_12_legend.txt  Legend    Cham                                 Precipitation; maximum total per hour of the month          200011-200811
order_94074_CHZ_rhh150mx_13_data.txt    Data      Cham                                 Precipitation; maximum total per hour of the month          200812-201403
order_94074_CHZ_rhh150mx_13_legend.txt  Legend    Cham                                 Precipitation; maximum total per hour of the month          200812-201403
order_94074_CHZ_rhh150mx_14_data.txt    Data      Cham                                 Precipitation; maximum total per hour of the month          201406-201904
order_94074_CHZ_rhh150mx_14_legend.txt  Legend    Cham                                 Precipitation; maximum total per hour of the month          201406-201904
order_94074_CHZ_rhh150mx_15_data.txt    Data      Cham                                 Precipitation; maximum total per hour of the month          201905-202103
order_94074_CHZ_rhh150mx_15_legend.txt  Legend    Cham                                 Precipitation; maximum total per hour of the month          201905-202103
order_94074_TICOM_rhh150mx_1_data.txt   Data      Comano                               Precipitation; maximum total per hour of the month          200910-201012
order_94074_TICOM_rhh150mx_1_legend.txt Legend    Comano                               Precipitation; maximum total per hour of the month          200910-201012
order_94074_TICOM_rhh150mx_2_data.txt   Data      Comano                               Precipitation; maximum total per hour of the month          201101-201604
order_94074_TICOM_rhh150mx_2_legend.txt Legend    Comano                               Precipitation; maximum total per hour of the month          201101-201604
order_94074_DEM_rhh150mx_1_data.txt     Data      Delémont                             Precipitation; maximum total per hour of the month          201208-202103
order_94074_DEM_rhh150mx_1_legend.txt   Legend    Delémont                             Precipitation; maximum total per hour of the month          201208-202103
order_94074_DLELZ_rhh150mx_1_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          200407-201211
order_94074_DLELZ_rhh150mx_1_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          200407-201211
order_94074_DLELZ_rhh150mx_2_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          201212-201909
order_94074_DLELZ_rhh150mx_2_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          201212-201909
order_94074_DLELZ_rhh150mx_3_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          201910-202103
order_94074_DLELZ_rhh150mx_3_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          201910-202103
order_94074_DLFRH_rhh150mx_1_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum total per hour of the month          200301-200403
order_94074_DLFRH_rhh150mx_1_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum total per hour of the month          200301-200403
order_94074_DLFRH_rhh150mx_2_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum total per hour of the month          200404-202103
order_94074_DLFRH_rhh150mx_2_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum total per hour of the month          200404-202103
order_94074_VDFEC_rhh150mx_1_data.txt   Data      Féchy                                Precipitation; maximum total per hour of the month          201212-202103
order_94074_VDFEC_rhh150mx_1_legend.txt Legend    Féchy                                Precipitation; maximum total per hour of the month          201212-202103
order_94074_SOGER_rhh150mx_1_data.txt   Data      Gerlafingen                          Precipitation; maximum total per hour of the month          200301-201311
order_94074_SOGER_rhh150mx_1_legend.txt Legend    Gerlafingen                          Precipitation; maximum total per hour of the month          200301-201311
order_94074_SOGER_rhh150mx_2_data.txt   Data      Gerlafingen                          Precipitation; maximum total per hour of the month          201401-201402
order_94074_SOGER_rhh150mx_2_legend.txt Legend    Gerlafingen                          Precipitation; maximum total per hour of the month          201401-201402
order_94074_SOGER_rhh150mx_3_data.txt   Data      Gerlafingen                          Precipitation; maximum total per hour of the month          201404-201408
order_94074_SOGER_rhh150mx_3_legend.txt Legend    Gerlafingen                          Precipitation; maximum total per hour of the month          201404-201408
order_94074_SOGER_rhh150mx_4_data.txt   Data      Gerlafingen                          Precipitation; maximum total per hour of the month          201409-201410
order_94074_SOGER_rhh150mx_4_legend.txt Legend    Gerlafingen                          Precipitation; maximum total per hour of the month          201409-201410
order_94074_SOGER_rhh150mx_5_data.txt   Data      Gerlafingen                          Precipitation; maximum total per hour of the month          201502-201503
order_94074_SOGER_rhh150mx_5_legend.txt Legend    Gerlafingen                          Precipitation; maximum total per hour of the month          201502-201503
order_94074_SOGER_rhh150mx_6_data.txt   Data      Gerlafingen                          Precipitation; maximum total per hour of the month          201505-201508
order_94074_SOGER_rhh150mx_6_legend.txt Legend    Gerlafingen                          Precipitation; maximum total per hour of the month          201505-201508
order_94074_DLGTT_rhh150mx_1_data.txt   Data      Gottmadingen                         Precipitation; maximum total per hour of the month          202102-202103
order_94074_DLGTT_rhh150mx_1_legend.txt Legend    Gottmadingen                         Precipitation; maximum total per hour of the month          202102-202103
order_94074_GUT_rhh150mx_1_data.txt     Data      Güttingen                            Precipitation; maximum total per hour of the month          198012-200504
order_94074_GUT_rhh150mx_1_legend.txt   Legend    Güttingen                            Precipitation; maximum total per hour of the month          198012-200504
order_94074_GUT_rhh150mx_2_data.txt     Data      Güttingen                            Precipitation; maximum total per hour of the month          200505-201406
order_94074_GUT_rhh150mx_2_legend.txt   Legend    Güttingen                            Precipitation; maximum total per hour of the month          200505-201406
order_94074_GUT_rhh150mx_3_data.txt     Data      Güttingen                            Precipitation; maximum total per hour of the month          201407-201906
order_94074_GUT_rhh150mx_3_legend.txt   Legend    Güttingen                            Precipitation; maximum total per hour of the month          201407-201906
