 

stn;time;rsd700y0
TICMD;1980;4
TICMD;1981;11
TICMD;1982;3
TICMD;1983;9
TICMD;1984;7
TICMD;1985;4
TICMD;1986;7
TICMD;1987;8
TICMD;1988;8
TICMD;1989;3
TICMD;1990;6
TICMD;1991;9
TICMD;1992;6
TICMD;1993;15
TICMD;1994;9
TICMD;1995;8
TICMD;1996;7
TICMD;1997;4
TICMD;1998;8
TICMD;1999;7
TICMD;2000;10
TICMD;2001;3
TICMD;2002;8
TICMD;2003;2
TICMD;2004;9
TICMD;2005;3
TICMD;2006;5
TICMD;2007;2
TICMD;2008;7
TICMD;2009;7
TICMD;2010;6
TICMD;2011;5
TICMD;2012;7
TICMD;2013;9
TICMD;2014;12
TICMD;2015;3
TICMD;2016;6
