 

stn;time;tnd00xy0
DLMUE;1947;38
DLMUE;1948;17
DLMUE;1949;11
DLMUE;1950;28
DLMUE;1951;1
DLMUE;1952;29
DLMUE;1953;29
DLMUE;1954;26
DLMUE;1955;14
DLMUE;1956;36
DLMUE;1957;10
DLMUE;1958;10
DLMUE;1959;13
DLMUE;1960;18
DLMUE;1961;16
DLMUE;1962;19
DLMUE;1963;53
DLMUE;1964;33
DLMUE;1965;16
DLMUE;1966;18
DLMUE;1967;17
DLMUE;1968;28
DLMUE;1969;33
DLMUE;1970;22
DLMUE;1971;17
DLMUE;1972;19
DLMUE;1973;22
DLMUE;1974;2
DLMUE;1975;9
DLMUE;1976;23
DLMUE;1977;9
DLMUE;1978;23
DLMUE;1979;16
DLMUE;1980;22
DLMUE;1981;16
DLMUE;1982;13
DLMUE;1983;17
DLMUE;1984;7
DLMUE;1985;38
DLMUE;1986;28
DLMUE;1987;28
DLMUE;1988;6
DLMUE;1989;17
DLMUE;1990;12
DLMUE;1991;25
DLMUE;1992;15
DLMUE;1993;22
DLMUE;1994;5
DLMUE;1995;19
DLMUE;1996;27
DLMUE;1997;17
DLMUE;1998;19
DLMUE;1999;14
DLMUE;2000;4
