 

stn;time;rhh150yx
DOL;1981;12.9
DOL;1982;19.7
DOL;1983;15.5
DOL;1984;18.5
DOL;1985;14.8
DOL;1986;27.3
DOL;1987;13.0
DOL;1988;18.9
DOL;1989;13.7
DOL;1990;15.6
DOL;1991;22.5
DOL;1992;24.8
DOL;1993;21.7
DOL;1994;17.1
DOL;1995;14.7
DOL;1996;14.3
DOL;1997;25.7
DOL;1998;19.5
DOL;1999;21.9
DOL;2000;16.7
DOL;2001;22.5
DOL;2002;30.5
DOL;2003;19.1
DOL;2004;14.7
DOL;2005;16.4
DOL;2006;16.2
DOL;2007;33.7
DOL;2008;16.8
DOL;2009;18.7
