 

stn;time;rhh150yx
WAE;1981;12.1
WAE;1982;41.0
WAE;1983;38.6
WAE;1984;19.6
WAE;1985;11.5
WAE;1986;14.7
WAE;1987;15.8
WAE;1988;22.2
WAE;1989;31.9
WAE;1990;11.1
WAE;1991;23.9
WAE;1992;19.8
WAE;1993;19.2
WAE;1994;49.0
WAE;1995;29.2
WAE;1996;14.3
WAE;1997;16.5
WAE;1998;16.1
WAE;1999;17.5
WAE;2000;21.6
WAE;2001;9.3
WAE;2002;18.2
WAE;2003;18.6
WAE;2004;30.7
WAE;2005;20.1
WAE;2006;20.7
WAE;2007;20.6
WAE;2008;31.1
WAE;2009;40.5
WAE;2010;23.3
WAE;2011;24.5
WAE;2012;21.5
WAE;2013;28.4
WAE;2014;31.2
WAE;2015;33.4
WAE;2016;36.0
WAE;2017;17.3
WAE;2018;44.0
WAE;2019;40.6
WAE;2020;16.2
