 

stn;time;fu3010m1
SMM;199905;44.3
SMM;199906;59.4
SMM;199907;48.2
SMM;199908;33.5
SMM;199909;40.7
SMM;199910;29.5
SMM;199911;38.9
SMM;199912;46.4
SMM;200001;72.4
SMM;200002;40.7
SMM;200003;51.8
SMM;200004;37.1
SMM;200005;55.4
SMM;200006;44.3
SMM;200007;50.0
SMM;200008;63.0
SMM;200009;55.4
SMM;200010;55.4
SMM;200011;33.5
SMM;200012;51.8
SMM;200101;31.3
SMM;200102;40.7
SMM;200103;48.2
SMM;200104;46.4
SMM;200105;57.2
SMM;200106;55.4
SMM;200107;53.6
SMM;200108;35.3
SMM;200109;42.5
SMM;200110;27.7
SMM;200111;42.5
SMM;200112;40.7
SMM;200201;33.5
SMM;200202;48.2
SMM;200203;40.7
SMM;200204;42.5
SMM;200205;42.5
SMM;200206;63.0
SMM;200207;44.3
SMM;200208;38.9
SMM;200209;37.1
SMM;200210;44.3
SMM;200211;37.1
SMM;200212;35.3
SMM;200301;44.3
SMM;200302;42.5
SMM;200303;46.4
SMM;200304;50.0
SMM;200305;50.0
SMM;200306;53.6
SMM;200307;44.3
SMM;200308;50.0
SMM;200309;55.4
SMM;200310;33.5
SMM;200311;38.9
SMM;200312;40.7
SMM;200401;44.3
