 

stn;time;rhh150yx
SMA;1981;35.3
SMA;1982;27.1
SMA;1983;12.2
SMA;1984;12.6
SMA;1985;15.8
SMA;1986;26.2
SMA;1987;20.9
SMA;1988;71.2
SMA;1989;23.2
SMA;1990;45.0
SMA;1991;10.7
SMA;1992;10.7
SMA;1993;32.7
SMA;1994;18.8
SMA;1995;21.2
SMA;1996;13.9
SMA;1997;29.1
SMA;1998;9.4
SMA;1999;15.9
SMA;2000;32.2
SMA;2001;22.3
SMA;2002;17.6
SMA;2003;23.7
SMA;2004;12.7
SMA;2005;14.7
SMA;2006;13.4
SMA;2007;21.6
SMA;2008;18.8
SMA;2009;17.8
SMA;2010;11.2
SMA;2011;16.7
SMA;2012;18.5
SMA;2013;26.5
SMA;2014;37.7
SMA;2015;17.5
SMA;2016;18.9
SMA;2017;15.3
SMA;2018;21.1
SMA;2019;20.2
SMA;2020;15.7
