 

stn;time;rhh150yx
OTL;1981;32.0
OTL;1982;55.6
OTL;1983;30.7
OTL;1984;25.2
OTL;1985;37.2
OTL;1986;30.1
OTL;1987;59.0
OTL;1988;75.3
OTL;1989;24.3
OTL;1990;32.2
OTL;1991;47.8
OTL;1992;26.9
OTL;1993;34.2
OTL;1994;26.6
OTL;1995;26.5
OTL;1996;28.6
OTL;1997;91.2
OTL;1998;23.4
OTL;1999;35.6
OTL;2000;33.5
OTL;2001;30.2
OTL;2002;31.4
OTL;2003;40.0
OTL;2004;42.6
OTL;2005;21.9
OTL;2006;46.6
OTL;2007;30.8
OTL;2008;23.1
OTL;2009;45.8
OTL;2010;25.7
OTL;2011;42.2
OTL;2012;33.9
OTL;2013;31.7
OTL;2014;29.4
OTL;2015;18.1
OTL;2016;49.6
OTL;2017;35.3
OTL;2018;19.6
OTL;2019;31.3
OTL;2020;47.4
