 

stn;time;hto000y0
HLL;1964;0
HLL;1965;1
HLL;1966;0
HLL;1967;0
HLL;1968;1
HLL;1969;2
HLL;1970;2
HLL;1971;0
HLL;1972;0
HLL;1973;0
HLL;1974;0
HLL;1975;0
HLL;1976;0
HLL;1977;1
HLL;1978;1
HLL;1979;1
HLL;1980;1
HLL;1981;2
HLL;1982;1
HLL;1983;0
HLL;1984;1
HLL;1985;1
HLL;1986;2
HLL;1987;0
HLL;1988;0
HLL;1989;0
HLL;1990;0
HLL;1991;0
HLL;1992;0
HLL;1993;0
HLL;1994;0
HLL;1995;0
HLL;1996;0
HLL;1997;0
HLL;1998;0
HLL;1999;1
HLL;2000;0
HLL;2001;0
HLL;2002;0
HLL;2003;1
HLL;2004;0
HLL;2005;1
HLL;2006;1
HLL;2007;0
HLL;2008;0
HLL;2009;0
HLL;2010;2
HLL;2011;0
HLL;2012;0
HLL;2013;1
HLL;2014;0
HLL;2015;0
HLL;2016;0
HLL;2017;0
HLL;2018;0
HLL;2019;0
HLL;2020;0
