 

stn;time;rhh150yx
ALT;1981;10.6
ALT;1982;18.4
ALT;1983;8.1
ALT;1984;13.2
ALT;1985;12.4
ALT;1986;25.1
ALT;1987;16.8
ALT;1988;11.3
ALT;1989;10.1
ALT;1990;19.7
ALT;1991;13.3
ALT;1992;20.8
ALT;1993;14.5
ALT;1994;18.4
ALT;1995;18.6
ALT;1996;9.6
ALT;1997;14.2
ALT;1998;16.2
ALT;1999;13.0
ALT;2000;11.2
ALT;2001;14.1
ALT;2002;13.7
ALT;2003;14.7
ALT;2004;9.4
ALT;2005;19.0
ALT;2006;16.4
ALT;2007;40.1
ALT;2008;9.3
ALT;2009;13.2
ALT;2010;25.0
ALT;2011;12.9
ALT;2012;12.5
ALT;2013;9.0
ALT;2014;30.2
ALT;2015;7.7
ALT;2016;10.0
ALT;2017;12.7
ALT;2018;22.8
ALT;2019;13.8
ALT;2020;13.3
