 

stn;time;rs1000m0
STB;198407;0
STB;198408;0
STB;198409;0
STB;198410;0
STB;198411;0
STB;198412;0
STB;198501;0
STB;198502;0
STB;198503;0
STB;198504;0
STB;198505;0
STB;198506;0
STB;198507;0
STB;198508;0
STB;198509;0
STB;198510;0
STB;198511;0
STB;198512;0
STB;198601;0
STB;198602;0
STB;198603;0
STB;198604;0
STB;198605;0
STB;198606;0
STB;198607;0
STB;198608;0
STB;198609;0
STB;198610;0
STB;198611;0
STB;198612;0
STB;198701;0
STB;198702;0
STB;198703;0
STB;198704;0
STB;198705;0
STB;198706;0
STB;198707;0
STB;198708;0
STB;198709;0
STB;198710;0
STB;198711;0
STB;198712;0
STB;198801;0
STB;198802;0
STB;198803;0
STB;198804;0
STB;198805;0
STB;198806;0
STB;198807;0
STB;198808;0
STB;198809;0
STB;198810;0
STB;198811;0
STB;198812;0
STB;198901;0
STB;198902;0
STB;198903;0
STB;198904;0
STB;198905;0
STB;198906;0
STB;198907;0
STB;198908;0
STB;198909;0
STB;198910;0
STB;198911;0
STB;198912;0
STB;199001;0
STB;199002;0
STB;199003;0
STB;199004;0
STB;199005;0
STB;199006;0
STB;199007;0
STB;199008;0
STB;199009;0
STB;199010;0
STB;199011;0
STB;199012;0
STB;199101;0
STB;199102;0
STB;199103;0
STB;199104;0
STB;199105;0
STB;199106;0
STB;199107;0
STB;199108;0
STB;199109;0
STB;199110;0
STB;199111;0
STB;199112;0
STB;199201;0
STB;199202;0
STB;199203;0
STB;199204;0
STB;199205;0
STB;199206;0
STB;199207;0
STB;199208;0
STB;199209;0
STB;199210;0
STB;199211;0
STB;199212;0
STB;199301;0
STB;199302;0
STB;199303;0
STB;199304;0
STB;199305;0
STB;199306;0
STB;199307;0
STB;199308;0
STB;199309;0
STB;199310;0
STB;199311;0
STB;199312;0
STB;199401;0
STB;199402;0
STB;199403;0
STB;199404;0
STB;199405;0
STB;199406;0
STB;199407;0
STB;199408;0
STB;199409;0
STB;199410;0
STB;199411;0
STB;199412;0
STB;199501;0
STB;199502;0
STB;199503;0
STB;199504;0
STB;199505;0
STB;199506;0
STB;199507;0
STB;199508;0
STB;199509;0
STB;199510;0
STB;199511;0
STB;199512;0
STB;199601;0
STB;199602;0
STB;199603;0
STB;199604;0
STB;199605;0
STB;199606;0
STB;199607;0
STB;199608;0
STB;199609;0
STB;199610;0
STB;199611;0
STB;199612;0
STB;199701;0
STB;199702;0
STB;199703;0
STB;199704;0
STB;199705;0
STB;199706;0
STB;199707;0
STB;199708;0
STB;199709;0
STB;199710;0
STB;199711;0
STB;199712;0
STB;199801;0
STB;199802;0
STB;199803;0
STB;199804;0
STB;199805;0
STB;199806;0
STB;199807;0
STB;199808;0
STB;199809;0
STB;199810;0
STB;199811;0
STB;199812;0
STB;199901;0
STB;199902;0
STB;199903;0
STB;199904;0
STB;199905;1
STB;199906;0
STB;199907;0
STB;199908;0
STB;199909;0
STB;199910;0
STB;199911;0
STB;199912;0
STB;200001;0
STB;200002;0
STB;200003;0
STB;200004;0
STB;200005;0
STB;200006;0
STB;200007;0
STB;200008;0
STB;200009;0
STB;200010;0
STB;200011;0
STB;200012;0
STB;200101;0
STB;200102;0
STB;200103;0
STB;200104;0
STB;200105;0
STB;200106;0
STB;200107;0
STB;200108;0
STB;200109;0
STB;200110;0
STB;200111;0
STB;200112;0
STB;200201;0
STB;200202;0
STB;200203;0
STB;200204;0
STB;200205;0
STB;200206;0
STB;200207;0
STB;200208;0
STB;200209;0
STB;200210;0
STB;200211;0
STB;200212;0
STB;200301;0
STB;200302;0
STB;200303;0
STB;200304;0
STB;200305;0
STB;200306;0
STB;200307;0
STB;200308;0
STB;200309;0
STB;200310;0
STB;200311;0
STB;200312;0
STB;200401;0
STB;200402;0
STB;200403;0
STB;200404;0
STB;200405;0
STB;200406;0
STB;200407;0
STB;200408;0
STB;200409;0
STB;200410;0
STB;200411;0
STB;200412;0
STB;200501;0
STB;200502;0
STB;200503;0
STB;200504;0
STB;200505;0
STB;200506;0
STB;200507;0
STB;200508;1
STB;200509;0
STB;200510;0
STB;200511;0
STB;200512;0
STB;200601;0
STB;200602;0
STB;200603;0
STB;200604;0
STB;200605;0
STB;200606;0
STB;200607;0
STB;200608;0
STB;200609;0
STB;200610;0
STB;200611;0
STB;200612;0
STB;200701;0
STB;200702;0
STB;200703;0
STB;200704;0
STB;200705;0
STB;200706;0
STB;200707;0
STB;200708;0
STB;200709;0
STB;200710;0
STB;200711;0
STB;200712;0
STB;200801;0
STB;200802;0
STB;200803;0
STB;200804;0
STB;200805;0
STB;200806;0
STB;200807;0
STB;200808;0
STB;200809;0
STB;200810;0
STB;200811;0
STB;200812;0
STB;200901;0
STB;200902;0
STB;200903;0
STB;200904;0
STB;200905;0
STB;200906;0
STB;200907;0
STB;200908;0
STB;200909;0
STB;200910;0
STB;200911;0
STB;200912;0
STB;201001;0
STB;201002;0
STB;201003;0
STB;201004;0
STB;201005;0
STB;201006;0
STB;201007;0
STB;201008;0
STB;201009;0
STB;201010;0
STB;201011;0
STB;201012;0
STB;201101;0
STB;201102;0
STB;201103;0
STB;201104;0
