 

stn;time;fklnd3m0
MMRAF;201601;0
MMRAF;201602;1
MMRAF;201603;0
MMRAF;201604;0
MMRAF;201605;0
MMRAF;201606;0
MMRAF;201607;0
MMRAF;201608;0
MMRAF;201609;0
MMRAF;201610;0
MMRAF;201611;0
MMRAF;201612;0
MMRAF;201701;0
MMRAF;201702;0
MMRAF;201703;0
MMRAF;201704;0
MMRAF;201705;0
MMRAF;201706;0
MMRAF;201707;0
MMRAF;201708;1
MMRAF;201709;0
MMRAF;201710;0
MMRAF;201711;0
MMRAF;201712;0
MMRAF;201801;1
MMRAF;201802;0
MMRAF;201803;0
MMRAF;201804;0
MMRAF;201805;0
MMRAF;201806;0
MMRAF;201807;0
MMRAF;201808;0
MMRAF;201809;0
MMRAF;201810;0
MMRAF;201811;0
MMRAF;201812;0
MMRAF;201901;0
MMRAF;201902;0
MMRAF;201903;1
MMRAF;201904;0
MMRAF;201905;0
MMRAF;201906;0
MMRAF;201907;0
MMRAF;201908;0
MMRAF;201909;0
MMRAF;201910;0
MMRAF;201911;0
MMRAF;201912;0
MMRAF;202001;0
MMRAF;202002;3
MMRAF;202003;0
MMRAF;202004;0
MMRAF;202005;0
MMRAF;202006;0
MMRAF;202007;0
MMRAF;202008;0
MMRAF;202009;0
MMRAF;202010;0
MMRAF;202011;0
MMRAF;202012;0
MMRAF;202101;0
MMRAF;202102;0
MMRAF;202103;0
