 

stn;time;tre200y0
MLS;1983;3.2
MLS;1984;1.2
MLS;1985;1.9
MLS;1986;2.1
MLS;1987;2.2
MLS;1988;2.5
MLS;1989;3.6
MLS;1990;2.9
MLS;1991;2.3
MLS;1992;3.2
MLS;1993;2.5
MLS;1994;3.5
MLS;1995;2.2
MLS;1996;1.9
MLS;1997;3.6
MLS;1998;2.6
MLS;1999;2.7
MLS;2000;3.1
MLS;2001;2.6
MLS;2002;3.1
MLS;2003;3.7
MLS;2004;2.4
MLS;2005;2.0
MLS;2006;3.3
MLS;2007;3.1
MLS;2008;2.7
MLS;2009;3.2
MLS;2010;1.8
MLS;2011;4.3
MLS;2012;3.3
MLS;2013;2.6
MLS;2014;3.7
MLS;2015;4.3
MLS;2016;3.5
MLS;2017;3.5
MLS;2018;4.2
MLS;2019;4.0
MLS;2020;4.5
