 

stn;time;rti150yx
AFI;1902;19020517
AFI;1903;19030815
AFI;1904;19040523
AFI;1905;19050919
AFI;1906;19060519
AFI;1907;19070612
AFI;1908;19080720
AFI;1909;19090711
AFI;1910;19100809
AFI;1911;19110613
AFI;1912;19120801
AFI;1913;19130619
AFI;1914;19140815
AFI;1915;19150904
AFI;1916;19160609
AFI;1917;19170611
AFI;1918;19180910
AFI;1919;19190531
AFI;1920;19200530
AFI;1921;19210811
AFI;1922;19220715
AFI;1923;19231022
AFI;1924;19240429
AFI;1925;19250709
AFI;1926;19260926
AFI;1927;19270710
AFI;1928;19280930
AFI;1929;19290818
AFI;1930;19300612
AFI;1931;19310520
AFI;1932;19320623
AFI;1933;19330621
AFI;1934;19340909
AFI;1935;19351201
AFI;1936;19360926
AFI;1937;19370318
AFI;1938;19380813
AFI;1939;19390912
AFI;1940;19400529
AFI;1941;19410803
AFI;1942;19421031
AFI;1943;19430919
AFI;1944;19441107
AFI;1945;19450808
AFI;1946;19460613
AFI;1947;19470322
AFI;1948;19480619
AFI;1949;19490512
AFI;1950;19500824
AFI;1951;19510529
AFI;1952;19520606
AFI;1953;19530625
AFI;1954;19540821
AFI;1955;19550607
AFI;1956;19560810
AFI;1957;19570710
AFI;1958;19580819
AFI;1959;19590607
AFI;1960;19601006
AFI;1961;19610714
AFI;1962;19620101
AFI;1963;19630607
AFI;1964;19640829
AFI;1965;19650604
AFI;1966;19660803
AFI;1967;19670607
AFI;1968;19680921
AFI;1969;19690826
AFI;1970;19700419
AFI;1971;19710720
AFI;1972;19720629
AFI;1973;19730623
AFI;1974;19740623
AFI;1975;19750623
AFI;1976;19760726
AFI;1977;19770807
AFI;1978;19780807
AFI;1979;19790921
AFI;1980;19800607
AFI;1981;19810901
AFI;1982;19820724
AFI;1983;19830901
AFI;1984;19840401
AFI;1985;19850122
AFI;1986;19860409
AFI;1987;19870925
AFI;1988;19880803
AFI;1989;19890710
AFI;1990;19900830
AFI;1991;19910726
AFI;1992;19920403
AFI;1993;19930705
AFI;1994;19940518
AFI;1995;19950531
AFI;1996;19960621
AFI;1997;19970621
AFI;1998;19981103
AFI;1999;19990511
AFI;2000;20000920
AFI;2001;20010105
AFI;2002;20020810
AFI;2003;20031007
AFI;2004;20040521
AFI;2005;20050910
AFI;2006;20060409
AFI;2007;20070808
AFI;2008;20080913
AFI;2009;20090714
AFI;2010;20100617
AFI;2011;20110712
AFI;2012;20120831
AFI;2013;20130419
AFI;2014;20141105
AFI;2015;20151120
AFI;2016;20160512
AFI;2017;20170425
AFI;2018;20180612
AFI;2019;20190727
AFI;2020;20200830
