 

stn;time;hto000y0
BEV;1931;20
BEV;1932;12
BEV;1933;18
BEV;1934;26
BEV;1935;36
BEV;1936;27
BEV;1937;33
BEV;1938;13
BEV;1939;17
BEV;1940;21
BEV;1941;30
BEV;1942;5
BEV;1943;11
BEV;1944;18
BEV;1945;20
BEV;1946;17
BEV;1947;16
BEV;1948;22
BEV;1949;14
BEV;1950;37
BEV;1951;52
BEV;1952;17
BEV;1953;19
BEV;1954;16
BEV;1955;28
BEV;1956;9
BEV;1957;12
BEV;1958;24
BEV;1959;27
BEV;1960;43
BEV;1961;30
BEV;1962;21
BEV;1963;15
BEV;1964;10
BEV;1965;22
BEV;1966;28
BEV;1967;23
BEV;1968;30
BEV;1969;17
BEV;1970;33
BEV;1971;29
BEV;1972;20
BEV;1973;15
BEV;1974;19
BEV;1975;31
BEV;1976;14
BEV;1977;30
BEV;1978;26
BEV;1979;29
BEV;1980;31
BEV;1981;20
