 

stn;time;rzz150yx
SMA;1981;18.6
SMA;1982;15.4
SMA;1983;5.2
SMA;1984;7.1
SMA;1985;6.7
SMA;1986;9.2
SMA;1987;18.4
SMA;1988;24.3
SMA;1989;8.4
SMA;1990;13.3
SMA;1991;6.7
SMA;1992;4.7
SMA;1993;13.6
SMA;1994;16.3
SMA;1995;13.7
SMA;1996;9.1
SMA;1997;12.9
SMA;1998;7.5
SMA;1999;12.8
SMA;2000;18.0
SMA;2001;10.6
SMA;2002;14.7
SMA;2003;18.4
SMA;2004;12.6
SMA;2005;9.3
SMA;2006;6.6
SMA;2007;18.1
SMA;2008;17.9
SMA;2009;10.6
SMA;2010;5.6
SMA;2011;11.9
SMA;2012;11.2
SMA;2013;7.3
SMA;2014;12.9
SMA;2015;5.9
SMA;2016;9.9
SMA;2017;13.4
SMA;2018;16.1
SMA;2019;9.6
SMA;2020;6.8
