 

stn;time;rs1000m0
BLS;200207;0
BLS;200208;0
BLS;200209;0
BLS;200210;0
BLS;200211;0
BLS;200212;0
BLS;200301;0
BLS;200302;0
BLS;200303;0
BLS;200304;0
BLS;200305;0
BLS;200306;0
BLS;200307;0
BLS;200308;0
BLS;200309;0
BLS;200310;0
BLS;200311;0
BLS;200312;0
BLS;200401;0
BLS;200402;0
BLS;200403;0
BLS;200404;0
BLS;200405;0
BLS;200406;0
BLS;200407;0
BLS;200408;0
BLS;200409;0
BLS;200410;0
BLS;200411;0
BLS;200412;0
BLS;200501;0
BLS;200502;0
BLS;200503;0
BLS;200504;0
BLS;200505;0
BLS;200506;0
BLS;200507;0
BLS;200508;1
BLS;200509;0
BLS;200510;0
BLS;200511;0
BLS;200512;0
BLS;200601;0
BLS;200602;0
BLS;200603;0
BLS;200604;0
BLS;200605;0
BLS;200606;0
BLS;200607;0
BLS;200608;0
BLS;200609;0
BLS;200610;0
BLS;200611;0
BLS;200612;0
BLS;200701;0
BLS;200702;0
BLS;200703;0
BLS;200704;0
BLS;200705;0
BLS;200706;0
BLS;200707;0
BLS;200708;0
BLS;200709;0
BLS;200710;0
BLS;200711;0
BLS;200712;0
BLS;200801;0
BLS;200802;0
BLS;200803;0
BLS;200804;0
BLS;200805;0
BLS;200806;0
BLS;200807;0
BLS;200808;0
BLS;200809;0
BLS;200810;0
BLS;200811;0
BLS;200812;0
BLS;200901;0
BLS;200902;0
BLS;200903;0
BLS;200904;0
BLS;200905;0
BLS;200906;0
BLS;200907;0
BLS;200908;0
BLS;200909;0
BLS;200910;0
BLS;200911;0
BLS;200912;0
BLS;201001;0
BLS;201002;0
BLS;201003;0
BLS;201004;0
BLS;201005;0
BLS;201006;0
BLS;201007;0
BLS;201008;0
BLS;201009;0
BLS;201010;0
BLS;201011;0
BLS;201012;0
BLS;201101;0
BLS;201102;0
BLS;201103;0
BLS;201104;0
BLS;201105;0
BLS;201106;0
BLS;201107;0
BLS;201108;0
BLS;201109;0
BLS;201110;0
BLS;201111;0
BLS;201112;0
BLS;201201;0
BLS;201202;0
BLS;201203;0
BLS;201204;0
BLS;201205;0
BLS;201206;0
BLS;201207;0
BLS;201208;0
BLS;201209;0
BLS;201210;0
BLS;201211;0
BLS;201212;0
BLS;201301;0
BLS;201302;0
BLS;201303;0
BLS;201304;0
BLS;201305;0
BLS;201306;0
BLS;201307;0
BLS;201308;0
BLS;201309;0
BLS;201310;0
BLS;201311;0
BLS;201312;0
BLS;201401;0
BLS;201402;0
BLS;201403;0
BLS;201404;0
BLS;201405;0
BLS;201406;0
BLS;201407;0
BLS;201408;0
BLS;201409;0
BLS;201410;0
BLS;201411;0
BLS;201412;0
BLS;201501;0
BLS;201502;0
BLS;201503;0
BLS;201504;0
BLS;201505;0
BLS;201506;0
BLS;201507;0
BLS;201508;0
BLS;201509;0
BLS;201510;0
BLS;201511;0
BLS;201512;0
BLS;201601;0
BLS;201602;0
BLS;201603;0
BLS;201604;0
BLS;201605;0
BLS;201606;0
