 

stn;time;tnd00xy0
FRE;1978;53
FRE;1979;56
FRE;1980;57
FRE;1981;61
FRE;1982;31
FRE;1983;43
FRE;1984;55
FRE;1985;57
FRE;1986;49
FRE;1987;59
FRE;1988;39
FRE;1989;8
FRE;1990;29
FRE;1991;40
FRE;1992;25
FRE;1993;42
FRE;1994;28
FRE;1995;42
FRE;1996;42
FRE;1997;23
FRE;1998;45
FRE;1999;47
FRE;2000;26
FRE;2001;45
FRE;2002;18
FRE;2003;45
FRE;2004;53
FRE;2005;74
FRE;2006;42
FRE;2007;26
FRE;2008;37
FRE;2009;52
FRE;2010;67
FRE;2011;25
FRE;2012;43
FRE;2013;65
FRE;2014;19
FRE;2015;33
FRE;2016;27
FRE;2017;36
FRE;2018;33
FRE;2019;31
FRE;2020;17
