 

stn;time;rzz150yx
SHA;1982;6.2
SHA;1983;8.4
SHA;1984;30.5
SHA;1985;9.1
SHA;1986;10.2
SHA;1987;11.4
SHA;1988;4.9
SHA;1989;23.8
SHA;1990;10.6
SHA;1991;6.4
SHA;1992;18.6
SHA;1993;6.5
SHA;1994;12.1
SHA;1995;12.7
SHA;1996;11.4
SHA;1997;17.5
SHA;1998;7.3
SHA;1999;6.6
SHA;2000;5.9
SHA;2001;6.5
SHA;2002;6.3
SHA;2003;14.2
SHA;2004;9.7
SHA;2005;10.8
SHA;2006;10.5
SHA;2007;9.4
SHA;2008;16.8
SHA;2009;11.7
SHA;2010;9.0
SHA;2011;8.5
SHA;2012;10.4
SHA;2013;32.8
SHA;2014;9.3
SHA;2015;14.1
SHA;2016;20.3
SHA;2017;12.9
SHA;2018;19.2
SHA;2019;6.9
SHA;2020;8.4
