 

stn;time;fu3010m1
DLHOH;201605;70.6
DLHOH;201606;89.6
DLHOH;201607;70.6
DLHOH;201608;61.2
DLHOH;201609;69.5
DLHOH;201610;67.7
DLHOH;201611;87.8
DLHOH;201612;83.5
DLHOH;201701;102.6
DLHOH;201702;92.5
DLHOH;201703;101.2
DLHOH;201704;68.4
DLHOH;201705;67.3
DLHOH;201706;77.4
DLHOH;201707;77.0
DLHOH;201708;88.2
DLHOH;201709;91.4
DLHOH;201710;118.1
DLHOH;201711;87.1
DLHOH;201712;108.4
DLHOH;201801;133.6
DLHOH;201802;56.2
DLHOH;201803;75.2
DLHOH;201804;76.3
DLHOH;201805;54.7
DLHOH;201806;56.9
DLHOH;201807;60.1
DLHOH;201808;72.0
DLHOH;201809;97.9
DLHOH;201810;91.8
DLHOH;201811;56.5
DLHOH;201812;115.2
DLHOH;201901;103.0
DLHOH;201902;111.6
DLHOH;201903;119.9
DLHOH;201904;59.0
DLHOH;201905;91.1
DLHOH;201906;70.6
DLHOH;201907;93.2
DLHOH;201908;66.6
DLHOH;201909;95.4
DLHOH;201910;87.8
DLHOH;201911;88.2
DLHOH;201912;104.0
DLHOH;202001;94.3
DLHOH;202002;144.7
DLHOH;202003;90.4
DLHOH;202004;59.0
DLHOH;202005;70.9
DLHOH;202006;73.4
DLHOH;202007;60.1
DLHOH;202008;91.1
DLHOH;202009;86.0
DLHOH;202010;78.8
DLHOH;202011;75.2
DLHOH;202012;85.0
DLHOH;202101;104.8
DLHOH;202102;105.5
DLHOH;202103;96.8
