Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93924

Filename                                Filetype  Station                              Parameter                                                   Period
order_93924_BSBAS_tre200d0_1_data.txt   Data      Basel / St. Johann                   Air temperature 2 m above ground; daily mean                20181122-20210323
order_93924_BSBAS_tre200d0_1_legend.txt Legend    Basel / St. Johann                   Air temperature 2 m above ground; daily mean                20181122-20210323
order_93924_BLZ_tre200d0_1_data.txt     Data      Bellinzona                           Air temperature 2 m above ground; daily mean                19631231-19801230
order_93924_BLZ_tre200d0_1_legend.txt   Legend    Bellinzona                           Air temperature 2 m above ground; daily mean                19631231-19801230
order_93924_DLBER_tre200d0_1_data.txt   Data      Berus                                Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLBER_tre200d0_1_legend.txt Legend    Berus                                Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_BZN_tre200d0_1_data.txt     Data      Beznau                               Air temperature 2 m above ground; daily mean                19581231-19800330
order_93924_BZN_tre200d0_1_legend.txt   Legend    Beznau                               Air temperature 2 m above ground; daily mean                19581231-19800330
order_93924_BEZ_tre200d0_1_data.txt     Data      Beznau                               Air temperature 2 m above ground; daily mean                19870131-20210414
order_93924_BEZ_tre200d0_1_legend.txt   Legend    Beznau                               Air temperature 2 m above ground; daily mean                19870131-20210414
order_93924_BIA_tre200d0_1_data.txt     Data      Biasca                               Air temperature 2 m above ground; daily mean                20170818-20210414
order_93924_BIA_tre200d0_1_legend.txt   Legend    Biasca                               Air temperature 2 m above ground; daily mean                20170818-20210414
order_93924_TIBIC_tre200d0_1_data.txt   Data      Biasca A2                            Air temperature 2 m above ground; daily mean                20120131-20210414
order_93924_TIBIC_tre200d0_1_legend.txt Legend    Biasca A2                            Air temperature 2 m above ground; daily mean                20120131-20210414
order_93924_TIBIO_tre200d0_1_data.txt   Data      Bioggio                              Air temperature 2 m above ground; daily mean                20091012-20210414
order_93924_TIBIO_tre200d0_1_legend.txt Legend    Bioggio                              Air temperature 2 m above ground; daily mean                20091012-20210414
order_93924_BOU_tre200d0_1_data.txt     Data      Bouveret                             Air temperature 2 m above ground; daily mean                20120821-20210414
order_93924_BOU_tre200d0_1_legend.txt   Legend    Bouveret                             Air temperature 2 m above ground; daily mean                20120821-20210414
order_93924_IYBOZ_tre200d0_1_data.txt   Data      Bozen                                Air temperature 2 m above ground; daily mean                19551231-19790218
order_93924_IYBOZ_tre200d0_1_legend.txt Legend    Bozen                                Air temperature 2 m above ground; daily mean                19551231-19790218
order_93924_IYBOZ_tre200d0_2_data.txt   Data      Bozen                                Air temperature 2 m above ground; daily mean                19790921-20210414
order_93924_IYBOZ_tre200d0_2_legend.txt Legend    Bozen                                Air temperature 2 m above ground; daily mean                19790921-20210414
order_93924_IYBRZ_tre200d0_1_data.txt   Data      Branzoll                             Air temperature 2 m above ground; daily mean                19761231-20210414
order_93924_IYBRZ_tre200d0_1_legend.txt Legend    Branzoll                             Air temperature 2 m above ground; daily mean                19761231-20210414
order_93924_BUS_tre200d0_1_data.txt     Data      Buchs / Aarau                        Air temperature 2 m above ground; daily mean                19840522-20210414
order_93924_BUS_tre200d0_1_legend.txt   Legend    Buchs / Aarau                        Air temperature 2 m above ground; daily mean                19840522-20210414
order_93924_BMH_tre200d0_1_data.txt     Data      Bâle-Mulhouse (ehemalige Station)    Air temperature 2 m above ground; daily mean                19501231-19801230
order_93924_BMH_tre200d0_1_legend.txt   Legend    Bâle-Mulhouse (ehemalige Station)    Air temperature 2 m above ground; daily mean                19501231-19801230
order_93924_KABAT_tre200d0_1_data.txt   Data      Bättwil                              Air temperature 2 m above ground; daily mean                20181126-20190523
order_93924_KABAT_tre200d0_1_legend.txt Legend    Bättwil                              Air temperature 2 m above ground; daily mean                20181126-20190523
order_93924_KABAT_tre200d0_2_data.txt   Data      Bättwil                              Air temperature 2 m above ground; daily mean                20191104-20210414
order_93924_KABAT_tre200d0_2_legend.txt Legend    Bättwil                              Air temperature 2 m above ground; daily mean                20191104-20210414
order_93924_TICAN_tre200d0_1_data.txt   Data      Canobbio                             Air temperature 2 m above ground; daily mean                20110718-20200924
order_93924_TICAN_tre200d0_1_legend.txt Legend    Canobbio                             Air temperature 2 m above ground; daily mean                20110718-20200924
order_93924_TICIA_tre200d0_1_data.txt   Data      Chiasso                              Air temperature 2 m above ground; daily mean                20130407-20210414
order_93924_TICIA_tre200d0_1_legend.txt Legend    Chiasso                              Air temperature 2 m above ground; daily mean                20130407-20210414
order_93924_DLDRE_tre200d0_1_data.txt   Data      Dresden / Klotzsche                  Air temperature 2 m above ground; daily mean                19331231-19450227
order_93924_DLDRE_tre200d0_1_legend.txt Legend    Dresden / Klotzsche                  Air temperature 2 m above ground; daily mean                19331231-19450227
order_93924_DLDRE_tre200d0_2_data.txt   Data      Dresden / Klotzsche                  Air temperature 2 m above ground; daily mean                19600307-19600518
order_93924_DLDRE_tre200d0_2_legend.txt Legend    Dresden / Klotzsche                  Air temperature 2 m above ground; daily mean                19600307-19600518
order_93924_DLDRE_tre200d0_3_data.txt   Data      Dresden / Klotzsche                  Air temperature 2 m above ground; daily mean                19600930-20210414
order_93924_DLDRE_tre200d0_3_legend.txt Legend    Dresden / Klotzsche                  Air temperature 2 m above ground; daily mean                19600930-20210414
order_93924_DLEMM_tre200d0_1_data.txt   Data      Emmendingen / Mundingen              Air temperature 2 m above ground; daily mean                19751031-20210414
order_93924_DLEMM_tre200d0_1_legend.txt Legend    Emmendingen / Mundingen              Air temperature 2 m above ground; daily mean                19751031-20210414
order_93924_DLERF_tre200d0_1_data.txt   Data      Erfurt / Bindersleben                Air temperature 2 m above ground; daily mean                19501231-20210414
order_93924_DLERF_tre200d0_1_legend.txt Legend    Erfurt / Bindersleben                Air temperature 2 m above ground; daily mean                19501231-20210414
order_93924_KAETT_tre200d0_1_data.txt   Data      Ettingen                             Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_KAETT_tre200d0_1_legend.txt Legend    Ettingen                             Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_FRF_tre200d0_1_data.txt     Data      Frauenfeld                           Air temperature 2 m above ground; daily mean                19631231-19801230
order_93924_FRF_tre200d0_1_legend.txt   Legend    Frauenfeld                           Air temperature 2 m above ground; daily mean                19631231-19801230
order_93924_TGFRA_tre200d0_1_data.txt   Data      Frauenfeld                           Air temperature 2 m above ground; daily mean                20100826-20151202
order_93924_TGFRA_tre200d0_1_legend.txt Legend    Frauenfeld                           Air temperature 2 m above ground; daily mean                20100826-20151202
order_93924_TGFRA_tre200d0_2_data.txt   Data      Frauenfeld                           Air temperature 2 m above ground; daily mean                20160203-20210414
order_93924_TGFRA_tre200d0_2_legend.txt Legend    Frauenfeld                           Air temperature 2 m above ground; daily mean                20160203-20210414
order_93924_DLFRB_tre200d0_1_data.txt   Data      Freiburg                             Air temperature 2 m above ground; daily mean                18731231-19211230
order_93924_DLFRB_tre200d0_1_legend.txt Legend    Freiburg                             Air temperature 2 m above ground; daily mean                18731231-19211230
order_93924_DLFRB_tre200d0_2_data.txt   Data      Freiburg                             Air temperature 2 m above ground; daily mean                19490430-20210414
order_93924_DLFRB_tre200d0_2_legend.txt Legend    Freiburg                             Air temperature 2 m above ground; daily mean                19490430-20210414
order_93924_DLFRI_tre200d0_1_data.txt   Data      Friedrichshafen                      Air temperature 2 m above ground; daily mean                19461231-19801129
order_93924_DLFRI_tre200d0_1_legend.txt Legend    Friedrichshafen                      Air temperature 2 m above ground; daily mean                19461231-19801129
order_93924_IYGAR_tre200d0_1_data.txt   Data      Gargazon                             Air temperature 2 m above ground; daily mean                20161218-20210414
order_93924_IYGAR_tre200d0_1_legend.txt Legend    Gargazon                             Air temperature 2 m above ground; daily mean                20161218-20210414
order_93924_DLGOT_tre200d0_1_data.txt   Data      Gottfrieding                         Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLGOT_tre200d0_1_legend.txt Legend    Gottfrieding                         Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_TIGRA_tre200d0_1_data.txt   Data      Grancia                              Air temperature 2 m above ground; daily mean                20110718-20210414
order_93924_TIGRA_tre200d0_1_legend.txt Legend    Grancia                              Air temperature 2 m above ground; daily mean                20110718-20210414
order_93924_GRO_tre200d0_1_data.txt     Data      Grono                                Air temperature 2 m above ground; daily mean                19581231-20210414
order_93924_GRO_tre200d0_1_legend.txt   Legend    Grono                                Air temperature 2 m above ground; daily mean                19581231-20210414
order_93924_GRGRO_tre200d0_1_data.txt   Data      Grono                                Air temperature 2 m above ground; daily mean                20180918-20210405
order_93924_GRGRO_tre200d0_1_legend.txt Legend    Grono                                Air temperature 2 m above ground; daily mean                20180918-20210405
order_93924_GOE_tre200d0_1_data.txt     Data      Gösgen                               Air temperature 2 m above ground; daily mean                19870131-20210414
order_93924_GOE_tre200d0_1_legend.txt   Legend    Gösgen                               Air temperature 2 m above ground; daily mean                19870131-20210414
order_93924_MMIBG_tre200d0_1_data.txt   Data      Isole di Brissago                    Air temperature 2 m above ground; daily mean                20121125-20210414
order_93924_MMIBG_tre200d0_1_legend.txt Legend    Isole di Brissago                    Air temperature 2 m above ground; daily mean                20121125-20210414
order_93924_TGKRE_tre200d0_1_data.txt   Data      Kreuzlingen                          Air temperature 2 m above ground; daily mean                20100826-20151202
order_93924_TGKRE_tre200d0_1_legend.txt Legend    Kreuzlingen                          Air temperature 2 m above ground; daily mean                20100826-20151202
order_93924_TGKRE_tre200d0_2_data.txt   Data      Kreuzlingen                          Air temperature 2 m above ground; daily mean                20160203-20210414
order_93924_TGKRE_tre200d0_2_legend.txt Legend    Kreuzlingen                          Air temperature 2 m above ground; daily mean                20160203-20210414
