 

stn;time;rhh150yx
DLMUN;2001;19.2
DLMUN;2002;23.9
DLMUN;2003;24.4
DLMUN;2004;20.0
DLMUN;2005;17.2
DLMUN;2006;26.4
DLMUN;2007;32.2
DLMUN;2008;29.2
DLMUN;2009;20.4
DLMUN;2010;27.5
DLMUN;2011;30.3
DLMUN;2012;12.6
DLMUN;2013;10.2
DLMUN;2014;21.2
DLMUN;2015;13.2
DLMUN;2016;13.9
DLMUN;2017;19.1
DLMUN;2018;19.7
DLMUN;2019;9.4
DLMUN;2020;22.7
