 

stn;time;tnd00xy0
DLFEB;1949;76
DLFEB;1950;94
DLFEB;1951;87
DLFEB;1952;96
DLFEB;1953;70
DLFEB;1954;85
DLFEB;1955;77
DLFEB;1956;106
DLFEB;1957;61
DLFEB;1958;81
DLFEB;1959;57
DLFEB;1960;87
DLFEB;1961;60
DLFEB;1962;103
DLFEB;1963;81
DLFEB;1964;74
DLFEB;1965;107
DLFEB;1966;89
DLFEB;1967;85
DLFEB;1968;87
DLFEB;1969;98
DLFEB;1970;99
DLFEB;1971;81
DLFEB;1972;58
DLFEB;1973;93
DLFEB;1974;92
DLFEB;1975;83
DLFEB;1976;93
DLFEB;1977;78
DLFEB;1978;76
DLFEB;1979;102
DLFEB;1980;106
DLFEB;1981;109
DLFEB;1982;69
DLFEB;1983;72
DLFEB;1984;98
DLFEB;1985;99
DLFEB;1986;90
DLFEB;1987;89
DLFEB;1988;72
DLFEB;1989;39
DLFEB;1990;58
DLFEB;1991;70
DLFEB;1992;51
DLFEB;1993;63
DLFEB;1994;60
DLFEB;1995;71
DLFEB;1996;67
DLFEB;1997;50
DLFEB;1998;84
DLFEB;1999;82
DLFEB;2000;70
DLFEB;2001;88
DLFEB;2002;54
DLFEB;2003;69
DLFEB;2004;88
DLFEB;2005;95
DLFEB;2006;77
DLFEB;2007;61
DLFEB;2008;61
DLFEB;2009;93
DLFEB;2010;109
DLFEB;2011;47
DLFEB;2012;87
DLFEB;2013;97
DLFEB;2014;46
DLFEB;2015;55
