 

stn;time;rre150yx
POT;1937;80.6
POT;1938;150.2
POT;1939;79.0
POT;1940;126.2
POT;1941;88.0
POT;1942;56.7
POT;1943;60.4
POT;1944;92.1
POT;1945;110.8
POT;1946;80.3
POT;1947;119.2
POT;1948;120.8
POT;1949;82.0
POT;1950;77.0
POT;1951;145.0
POT;1952;95.3
POT;1953;107.0
POT;1954;107.5
POT;1955;102.0
POT;1956;112.5
POT;1957;109.0
POT;1958;75.2
POT;1959;103.5
POT;1960;103.8
POT;1961;63.4
POT;1962;75.4
POT;1963;136.9
POT;1964;77.6
POT;1965;103.4
POT;1966;137.5
POT;1967;82.5
POT;1968;109.0
POT;1969;103.2
POT;1970;118.7
POT;1971;118.2
POT;1972;100.1
POT;1973;119.3
POT;1974;68.5
POT;1975;69.7
POT;1976;115.5
POT;1977;120.3
POT;1978;140.0
POT;1979;151.3
POT;1980;99.7
POT;1981;118.0
POT;1982;148.0
POT;1983;90.2
POT;1984;81.5
POT;1985;80.1
POT;1986;90.0
POT;1987;114.0
POT;1988;87.5
POT;1989;127.0
POT;1990;123.2
POT;1991;126.0
POT;1992;93.0
POT;1993;117.0
POT;1994;135.0
POT;1995;202.0
POT;1996;72.0
POT;1997;100.0
POT;1998;219.0
POT;1999;95.0
POT;2000;141.2
POT;2001;130.5
POT;2002;184.0
POT;2003;113.5
POT;2004;99.0
POT;2005;60.0
POT;2006;78.0
POT;2007;130.0
POT;2008;147.2
POT;2009;150.1
POT;2010;128.2
POT;2011;107.8
POT;2012;96.0
POT;2013;129.5
POT;2014;131.5
POT;2015;83.5
POT;2016;105.0
POT;2017;90.0
POT;2018;99.0
POT;2019;95.0
POT;2020;172.0
