 

stn;time;hns000y0
KLO;1971;35
KLO;1972;26
KLO;1973;86
KLO;1974;36
KLO;1975;40
KLO;1976;65
KLO;1977;75
KLO;1978;72
KLO;1979;121
KLO;1980;72
KLO;1981;97
KLO;1982;46
KLO;1983;39
KLO;1984;76
KLO;1985;108
KLO;1986;132
KLO;1987;73
KLO;1988;60
KLO;1989;3
KLO;1990;64
KLO;1991;40
KLO;1992;24
KLO;1993;41
KLO;1994;9
KLO;1995;63
KLO;1996;48
KLO;1997;18
KLO;1998;39
KLO;1999;124
KLO;2000;17
KLO;2001;34
KLO;2002;3
KLO;2003;44
KLO;2004;81
KLO;2005;69
KLO;2006;73
KLO;2007;35
KLO;2008;73
KLO;2009;41
KLO;2010;112
KLO;2011;27
KLO;2012;65
KLO;2013;83
KLO;2014;34
KLO;2015;35
KLO;2016;25
KLO;2017;55
KLO;2018;25
KLO;2019;22
KLO;2020;13
