 

stn;time;hns000y0
LUZ;1883;34
LUZ;1884;107
LUZ;1885;63
LUZ;1886;108
LUZ;1887;106
LUZ;1888;84
LUZ;1889;121
LUZ;1890;49
LUZ;1891;90
LUZ;1892;113
LUZ;1893;34
LUZ;1894;38
LUZ;1895;169
LUZ;1896;35
LUZ;1897;91
LUZ;1898;62
LUZ;1899;65
LUZ;1900;96
LUZ;1901;105
LUZ;1902;105
LUZ;1903;49
LUZ;1904;85
LUZ;1905;65
LUZ;1906;143
LUZ;1907;137
LUZ;1908;82
LUZ;1909;105
LUZ;1910;98
LUZ;1911;71
LUZ;1912;38
LUZ;1913;46
LUZ;1914;38
LUZ;1915;98
LUZ;1916;99
LUZ;1917;50
LUZ;1918;27
LUZ;1919;179
LUZ;1920;54
LUZ;1921;25
LUZ;1922;127
LUZ;1923;125
LUZ;1924;40
LUZ;1925;85
LUZ;1926;51
LUZ;1927;92
LUZ;1928;36
LUZ;1929;139
LUZ;1930;42
LUZ;1931;185
LUZ;1932;69
LUZ;1933;73
LUZ;1934;30
LUZ;1935;121
LUZ;1936;23
LUZ;1937;52
LUZ;1938;103
LUZ;1939;48
LUZ;1940;132
LUZ;1941;94
LUZ;1942;152
LUZ;1943;50
LUZ;1944;158
LUZ;1945;91
LUZ;1946;36
LUZ;1947;101
LUZ;1948;15
LUZ;1949;41
LUZ;1950;76
LUZ;1951;23
LUZ;1952;172
LUZ;1953;75
LUZ;1954;79
LUZ;1955;83
LUZ;1956;81
LUZ;1957;43
LUZ;1958;139
LUZ;1959;34
LUZ;1960;74
LUZ;1961;29
LUZ;1962;151
LUZ;1963;157
LUZ;1964;122
LUZ;1965;167
LUZ;1966;115
LUZ;1967;79
LUZ;1968;130
LUZ;1969;112
LUZ;1970;192
LUZ;1971;25
LUZ;1972;10
LUZ;1973;30
LUZ;1974;6
LUZ;1975;22
LUZ;1976;54
LUZ;1977;63
LUZ;1978;83
LUZ;1979;99
LUZ;1980;82
LUZ;1981;129
LUZ;1982;88
LUZ;1983;33
LUZ;1984;81
LUZ;1985;167
LUZ;1986;136
LUZ;1987;125
LUZ;1988;77
LUZ;1989;0
LUZ;1990;40
LUZ;1991;16
LUZ;1992;17
LUZ;1993;32
LUZ;1994;16
LUZ;1995;110
LUZ;1996;83
LUZ;1997;3
