 

stn;time;rhh150yx
SBO;1982;45.5
SBO;1983;22.4
SBO;1984;55.8
SBO;1985;26.5
SBO;1986;31.6
SBO;1987;28.8
SBO;1988;42.4
SBO;1989;38.8
SBO;1990;33.4
SBO;1991;31.4
SBO;1992;59.1
SBO;1993;23.1
SBO;1994;33.9
SBO;1995;47.9
SBO;1996;29.5
SBO;1997;46.2
SBO;1998;45.5
SBO;1999;30.1
SBO;2000;38.9
SBO;2001;31.9
SBO;2002;48.0
SBO;2003;26.8
SBO;2004;23.6
SBO;2005;28.1
SBO;2006;44.2
SBO;2007;34.5
SBO;2008;30.3
SBO;2009;32.0
SBO;2010;36.2
SBO;2011;37.9
SBO;2012;38.6
SBO;2013;21.0
SBO;2014;55.9
SBO;2015;46.4
SBO;2016;37.8
SBO;2017;46.3
SBO;2018;33.6
SBO;2019;40.1
SBO;2020;22.2
