 

stn;time;rzz150yx
FRE;1981;3.5
FRE;1982;7.8
FRE;1983;9.3
FRE;1984;3.3
FRE;1985;5.3
FRE;1986;10.5
FRE;1987;9.2
FRE;1988;7.2
FRE;1989;15.7
FRE;1990;7.9
FRE;1991;16.1
FRE;1992;10.1
FRE;1993;11.0
FRE;1994;14.2
FRE;1995;10.5
FRE;1996;20.4
FRE;1997;7.1
FRE;1998;15.8
FRE;1999;6.0
FRE;2000;12.5
FRE;2001;4.5
FRE;2002;9.6
FRE;2003;10.3
FRE;2004;21.8
FRE;2005;15.9
FRE;2006;15.3
FRE;2007;11.9
FRE;2008;6.8
FRE;2009;12.9
FRE;2010;8.3
FRE;2011;7.7
FRE;2012;9.5
FRE;2013;9.1
FRE;2014;8.8
FRE;2015;31.0
FRE;2016;7.8
FRE;2017;9.6
FRE;2018;8.9
FRE;2019;8.8
FRE;2020;10.4
