 

stn;time;hns000mx
SNE;196601;16
SNE;196602;9
SNE;196603;37
SNE;196604;8
SNE;196605;3
SNE;196606;0
SNE;196607;0
SNE;196608;0
SNE;196609;0
SNE;196610;2
SNE;196611;42
SNE;196612;42
SNE;196701;13
SNE;196702;7
SNE;196703;39
SNE;196704;29
SNE;196705;5
SNE;196706;0
SNE;196707;0
SNE;196708;0
SNE;196709;0
SNE;196710;5
SNE;196711;7
SNE;196712;23
SNE;196801;74
SNE;196802;14
SNE;196803;29
SNE;196804;7
SNE;196805;5
SNE;196806;0
SNE;196807;0
SNE;196808;0
SNE;196809;0
SNE;196810;0
SNE;196811;9
SNE;196812;29
SNE;196901;11
SNE;196902;19
SNE;196903;6
SNE;196904;10
SNE;196905;0
SNE;196906;0
SNE;196907;0
SNE;196908;0
SNE;196909;0
SNE;196910;0
SNE;196911;16
SNE;196912;25
SNE;197001;8
SNE;197002;48
SNE;197003;29
SNE;197004;23
SNE;197005;2
SNE;197006;0
SNE;197007;0
SNE;197008;0
SNE;197009;0
SNE;197010;12
SNE;197011;9
SNE;197012;11
SNE;197101;9
SNE;197102;25
SNE;197103;13
SNE;197104;0
SNE;197105;0
SNE;197106;0
SNE;197107;0
SNE;197108;0
SNE;197109;0
SNE;197110;0
SNE;197111;34
SNE;197112;20
SNE;197201;11
SNE;197202;8
SNE;197203;9
SNE;197204;8
SNE;197205;0
SNE;197206;0
SNE;197207;0
SNE;197208;0
SNE;197209;0
SNE;197210;24
SNE;197211;20
SNE;197212;1
SNE;197301;36
SNE;197302;24
SNE;197303;13
SNE;197304;18
SNE;197305;0
SNE;197306;0
SNE;197307;0
SNE;197308;0
SNE;197309;0
SNE;197310;0
SNE;197311;19
SNE;197312;9
SNE;197401;19
SNE;197402;33
SNE;197403;24
SNE;197404;1
SNE;197405;0
SNE;197406;0
SNE;197407;0
SNE;197408;0
SNE;197409;0
SNE;197410;59
SNE;197411;22
SNE;197412;16
SNE;197501;5
SNE;197502;2
SNE;197503;16
SNE;197504;13
SNE;197505;0
SNE;197506;0
SNE;197507;0
SNE;197508;0
SNE;197509;0
SNE;197510;6
SNE;197511;14
SNE;197512;5
SNE;197601;13
SNE;197602;14
SNE;197603;12
SNE;197604;13
SNE;197605;0
SNE;197606;0
SNE;197607;0
SNE;197608;0
SNE;197609;0
SNE;197610;0
SNE;197611;11
SNE;197612;35
SNE;197701;28
SNE;197702;8
SNE;197703;5
SNE;197704;17
SNE;197705;0
SNE;197706;0
SNE;197707;0
SNE;197708;0
SNE;197709;0
SNE;197710;0
SNE;197711;23
SNE;197712;7
SNE;197801;36
SNE;197802;33
SNE;197803;17
SNE;197804;2
SNE;197805;0
SNE;197806;0
SNE;197807;0
SNE;197808;0
SNE;197809;0
SNE;197810;0
SNE;197811;5
SNE;197812;14
SNE;197901;25
SNE;197902;4
SNE;197903;20
SNE;197904;8
SNE;197905;18
SNE;197906;0
SNE;197907;0
SNE;197908;0
SNE;197909;0
SNE;197910;0
SNE;197911;18
SNE;197912;20
SNE;198001;10
SNE;198002;7
SNE;198003;21
SNE;198004;10
SNE;198005;0
SNE;198006;0
SNE;198007;0
SNE;198008;0
SNE;198009;0
SNE;198010;3
SNE;198011;18
SNE;198012;26
