 

stn;time;rre150yx
ERI;1972;74.7
ERI;1973;57.8
ERI;1974;44.2
ERI;1975;36.5
ERI;1976;58.7
ERI;1977;73.9
ERI;1978;71.3
ERI;1979;48.4
ERI;1980;64.7
ERI;1981;44.4
ERI;1982;52.5
ERI;1983;39.7
ERI;1984;51.6
ERI;1985;39.2
ERI;1986;67.9
ERI;1987;64.8
ERI;1988;54.5
ERI;1989;36.1
ERI;1990;54.8
ERI;1991;37.8
ERI;1992;49.7
ERI;1993;56.4
ERI;1994;52.6
ERI;1995;62.1
ERI;1996;37.9
ERI;1997;42.4
ERI;1998;47.2
ERI;1999;47.9
ERI;2000;62.2
ERI;2001;46.2
ERI;2002;47.8
ERI;2003;54.1
ERI;2004;40.2
ERI;2005;73.5
ERI;2006;53.4
ERI;2007;90.5
ERI;2008;51.2
ERI;2009;53.1
ERI;2010;65.1
ERI;2011;43.8
ERI;2012;39.0
ERI;2013;48.4
ERI;2014;53.2
ERI;2015;63.4
ERI;2016;46.5
ERI;2017;59.0
ERI;2018;30.4
ERI;2019;43.5
ERI;2020;44.2
