 

stn;time;hto000y0
WFJ;1959;87
WFJ;1960;89
WFJ;1961;99
WFJ;1962;106
WFJ;1963;88
WFJ;1964;78
WFJ;1965;127
WFJ;1966;121
WFJ;1967;118
WFJ;1968;96
WFJ;1969;67
WFJ;1970;137
WFJ;1971;80
WFJ;1972;72
WFJ;1973;99
WFJ;1974;148
WFJ;1975;131
WFJ;1976;71
WFJ;1977;102
WFJ;1978;115
WFJ;1979;109
WFJ;1980;148
WFJ;1981;122
WFJ;1982;125
WFJ;1983;113
WFJ;1984;109
WFJ;1985;95
WFJ;1986;91
WFJ;1987;103
WFJ;1988;97
WFJ;1989;75
WFJ;1990;86
WFJ;1991;80
WFJ;1992;120
WFJ;1993;95
WFJ;1994;92
WFJ;1995;110
WFJ;1996;74
WFJ;1997;102
WFJ;1998;83
WFJ;1999;132
WFJ;2000;104
WFJ;2001;95
WFJ;2002;95
WFJ;2003;105
WFJ;2004;113
WFJ;2005;66
WFJ;2006;74
WFJ;2007;69
WFJ;2008;103
WFJ;2009;96
WFJ;2010;91
WFJ;2011;65
