 

stn;time;brefard0
WIN;20050601;0
WIN;20050602;0
WIN;20050603;442
WIN;20050604;0
WIN;20050605;0
WIN;20050606;1
WIN;20050607;0
WIN;20050608;0
WIN;20050609;0
WIN;20050610;0
WIN;20050611;0
WIN;20050612;5
WIN;20050613;265
WIN;20050614;47
WIN;20050615;0
WIN;20050616;0
WIN;20050617;0
WIN;20050618;0
WIN;20050619;0
WIN;20050620;0
WIN;20050621;0
WIN;20050622;1
WIN;20050623;2
WIN;20050624;327
WIN;20050625;9
WIN;20050626;1
WIN;20050627;27
WIN;20050628;4
WIN;20050629;78
WIN;20050630;9
WIN;20050701;1
WIN;20050702;0
WIN;20050703;0
WIN;20050704;141
WIN;20050705;107
WIN;20050706;0
WIN;20050707;1
WIN;20050708;0
WIN;20050709;1
WIN;20050710;15
WIN;20050711;21
WIN;20050712;1
WIN;20050713;0
WIN;20050714;0
WIN;20050715;1
WIN;20050716;202
WIN;20050717;0
WIN;20050718;576
WIN;20050719;55
WIN;20050720;0
WIN;20050721;0
WIN;20050722;0
WIN;20050723;0
WIN;20050724;8
WIN;20050725;329
WIN;20050726;0
WIN;20050727;0
WIN;20050728;44
WIN;20050729;174
WIN;20050730;1
WIN;20050731;0
WIN;20050801;4
WIN;20050802;0
WIN;20050803;0
WIN;20050804;0
WIN;20050805;0
WIN;20050806;1
WIN;20050807;107
WIN;20050808;0
WIN;20050809;0
WIN;20050810;0
WIN;20050811;0
WIN;20050812;0
WIN;20050813;0
WIN;20050814;47
WIN;20050815;0
WIN;20050816;0
WIN;20050817;0
WIN;20050818;2
WIN;20050819;9
WIN;20050820;9
WIN;20050821;0
WIN;20050822;0
WIN;20050823;0
WIN;20050824;0
WIN;20050825;0
WIN;20050826;0
WIN;20050827;0
WIN;20050828;0
WIN;20050829;0
WIN;20050830;0
WIN;20050831;0
WIN;20050901;28
WIN;20050902;100
WIN;20050903;0
WIN;20050904;0
WIN;20050905;5
WIN;20050906;0
WIN;20050907;0
WIN;20050908;0
WIN;20050909;154
WIN;20050910;11
WIN;20050911;0
WIN;20050912;2
WIN;20050913;0
WIN;20050914;0
WIN;20050915;0
WIN;20050916;0
WIN;20050917;0
WIN;20050918;0
WIN;20050919;0
WIN;20050920;0
WIN;20050921;0
WIN;20050922;0
WIN;20050923;0
WIN;20050924;0
WIN;20050925;0
WIN;20050926;0
WIN;20050927;0
WIN;20050928;0
WIN;20050929;0
WIN;20050930;0
WIN;20051001;0
WIN;20051002;0
WIN;20051003;0
WIN;20051004;0
WIN;20051005;0
WIN;20051006;0
WIN;20051007;0
WIN;20051008;0
WIN;20051009;0
WIN;20051010;0
WIN;20051011;0
WIN;20051012;0
WIN;20051013;0
WIN;20051014;0
WIN;20051015;0
WIN;20051016;0
WIN;20051017;0
WIN;20051018;0
WIN;20051019;0
WIN;20051020;0
WIN;20051021;0
WIN;20051022;16
WIN;20051023;0
WIN;20051024;0
WIN;20051025;0
WIN;20051026;0
WIN;20051027;0
