 

stn;time;fklnd3m0
IYRIT;200307;1
IYRIT;200308;0
IYRIT;200309;0
IYRIT;200310;3
IYRIT;200311;1
IYRIT;200312;1
IYRIT;200401;0
IYRIT;200402;2
IYRIT;200403;0
IYRIT;200404;0
IYRIT;200405;0
IYRIT;200406;0
IYRIT;200407;0
IYRIT;200408;1
IYRIT;200409;0
IYRIT;200410;1
IYRIT;200411;2
IYRIT;200412;0
IYRIT;200501;0
IYRIT;200502;0
IYRIT;200503;0
IYRIT;200504;0
IYRIT;200505;0
IYRIT;200506;0
IYRIT;200507;0
IYRIT;200508;0
IYRIT;200509;1
IYRIT;200510;0
IYRIT;200511;0
IYRIT;200512;0
IYRIT;200601;0
IYRIT;200602;0
IYRIT;200603;0
IYRIT;200604;0
IYRIT;200605;0
IYRIT;200606;2
IYRIT;200607;0
IYRIT;200608;0
IYRIT;200609;0
IYRIT;200610;0
IYRIT;200611;0
IYRIT;200612;0
IYRIT;200701;0
IYRIT;200702;0
IYRIT;200703;0
IYRIT;200704;0
IYRIT;200705;0
IYRIT;200706;0
IYRIT;200707;0
IYRIT;200708;0
IYRIT;200709;2
IYRIT;200710;0
IYRIT;200711;0
IYRIT;200712;0
IYRIT;200801;2
IYRIT;200802;0
IYRIT;200803;0
IYRIT;200804;0
IYRIT;200805;0
IYRIT;200806;0
IYRIT;200807;1
IYRIT;200808;2
IYRIT;200809;0
IYRIT;200810;0
IYRIT;200811;0
IYRIT;200812;0
IYRIT;200901;0
IYRIT;200902;1
IYRIT;200903;0
IYRIT;200904;0
IYRIT;200905;0
IYRIT;200906;1
IYRIT;200907;2
IYRIT;200908;0
IYRIT;200909;0
IYRIT;200910;2
IYRIT;200911;0
IYRIT;200912;1
