 

stn;time;tnd00xy0
CDF;1959;14
CDF;1960;25
CDF;1961;10
CDF;1962;31
CDF;1963;41
CDF;1964;17
CDF;1965;23
CDF;1966;15
CDF;1967;22
CDF;1968;22
CDF;1969;36
CDF;1970;24
CDF;1971;23
CDF;1972;8
CDF;1973;31
CDF;1974;17
CDF;1975;24
CDF;1976;41
CDF;1977;34
CDF;1978;40
CDF;1979;43
CDF;1980;41
CDF;1981;40
CDF;1982;18
CDF;1983;30
CDF;1984;41
CDF;1985;47
CDF;1986;34
CDF;1987;45
CDF;1988;26
CDF;1989;0
CDF;1990;20
CDF;1991;25
CDF;1992;20
CDF;1993;29
CDF;1994;15
CDF;1995;26
CDF;1996;32
CDF;1997;12
CDF;1998;32
CDF;1999;38
CDF;2000;20
CDF;2001;29
CDF;2002;3
CDF;2003;35
CDF;2004;36
CDF;2005;54
CDF;2006;30
CDF;2007;20
CDF;2008;20
CDF;2009;32
CDF;2010;54
CDF;2011;17
CDF;2012;33
CDF;2013;37
CDF;2014;8
CDF;2015;24
CDF;2016;17
CDF;2017;24
CDF;2018;24
CDF;2019;18
CDF;2020;8
