 

stn;time;tnd00xy0
DLWOF;1961;10
DLWOF;1962;18
DLWOF;1963;41
DLWOF;1964;24
DLWOF;1965;13
DLWOF;1966;15
DLWOF;1967;19
DLWOF;1968;18
DLWOF;1969;33
DLWOF;1970;24
DLWOF;1971;23
DLWOF;1972;17
DLWOF;1973;13
DLWOF;1974;1
DLWOF;1975;10
DLWOF;1976;20
DLWOF;1977;9
DLWOF;1978;23
DLWOF;1979;14
DLWOF;1980;26
DLWOF;1981;18
DLWOF;1982;13
DLWOF;1983;17
DLWOF;1984;8
DLWOF;1985;33
DLWOF;1986;30
DLWOF;1987;25
DLWOF;1988;2
DLWOF;1989;17
DLWOF;1990;15
DLWOF;1991;29
DLWOF;1992;18
DLWOF;1993;16
DLWOF;1994;5
DLWOF;1995;20
