Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95475

Filename                                Filetype  Station                              Parameter                                                   Period
order_95475_VSANZ_rre002mx_1_data.txt   Data      Anzère                               Precipitation; maximum 2-day total of the month             201010-201210
order_95475_BOS_rre002mx_1_legend.txt   Legend    Bosco/Gurin                          Precipitation; maximum 2-day total of the month             195812-202105
order_95475_BSP_rre002mx_1_data.txt     Data      Bourg-St-Pierre                      Precipitation; maximum 2-day total of the month             190001-201412
order_95475_BSP_rre002mx_1_legend.txt   Legend    Bourg-St-Pierre                      Precipitation; maximum 2-day total of the month             190001-201412
order_95475_BSP_rre002mx_2_data.txt     Data      Bourg-St-Pierre                      Precipitation; maximum 2-day total of the month             201502-202105
order_95475_BSP_rre002mx_2_legend.txt   Legend    Bourg-St-Pierre                      Precipitation; maximum 2-day total of the month             201502-202105
order_95475_VSBSP_rre002mx_1_data.txt   Data      Bourg-St-Pierre                      Precipitation; maximum 2-day total of the month             201311-202105
order_95475_VSBSP_rre002mx_1_legend.txt Legend    Bourg-St-Pierre                      Precipitation; maximum 2-day total of the month             201311-202105
order_95475_URBUE_rre002mx_1_data.txt   Data      Bürglen / Selez                      Precipitation; maximum 2-day total of the month             201712-202103
order_95475_URBUE_rre002mx_1_legend.txt Legend    Bürglen / Selez                      Precipitation; maximum 2-day total of the month             201712-202103
order_95475_URBUE_rre002mx_2_data.txt   Data      Bürglen / Selez                      Precipitation; maximum 2-day total of the month             202104-202105
order_95475_URBUE_rre002mx_2_legend.txt Legend    Bürglen / Selez                      Precipitation; maximum 2-day total of the month             202104-202105
order_95475_CAV_rre002mx_1_data.txt     Data      Cavaglia                             Precipitation; maximum 2-day total of the month             196012-202105
order_95475_CAV_rre002mx_1_legend.txt   Legend    Cavaglia                             Precipitation; maximum 2-day total of the month             196012-202105
order_95475_WSLCLB_rre002mx_1_data.txt  Data      Celerina Bestand                     Precipitation; maximum 2-day total of the month             201712-201912
order_95475_WSLCLB_rre002mx_1_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 2-day total of the month             201712-201912
order_95475_WSLCLB_rre002mx_2_data.txt  Data      Celerina Bestand                     Precipitation; maximum 2-day total of the month             202003-202004
order_95475_WSLCLB_rre002mx_2_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 2-day total of the month             202003-202004
order_95475_WSLCLB_rre002mx_3_data.txt  Data      Celerina Bestand                     Precipitation; maximum 2-day total of the month             202006-202011
order_95475_WSLCLB_rre002mx_3_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 2-day total of the month             202006-202011
order_95475_WSLCLB_rre002mx_4_data.txt  Data      Celerina Bestand                     Precipitation; maximum 2-day total of the month             202101-202105
order_95475_WSLCLB_rre002mx_4_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 2-day total of the month             202101-202105
order_95475_WSLCLF_rre002mx_1_data.txt  Data      Celerina Freiland                    Precipitation; maximum 2-day total of the month             201712-201907
order_95475_WSLCLF_rre002mx_1_legend.txt Legend    Celerina Freiland                    Precipitation; maximum 2-day total of the month             201712-201907
order_95475_WSLCLF_rre002mx_2_data.txt  Data      Celerina Freiland                    Precipitation; maximum 2-day total of the month             202002-202010
order_95475_WSLCLF_rre002mx_2_legend.txt Legend    Celerina Freiland                    Precipitation; maximum 2-day total of the month             202002-202010
order_95475_WSLCLF_rre002mx_3_data.txt  Data      Celerina Freiland                    Precipitation; maximum 2-day total of the month             202011-202105
order_95475_WSLCLF_rre002mx_3_legend.txt Legend    Celerina Freiland                    Precipitation; maximum 2-day total of the month             202011-202105
order_95475_CHA_rre002mx_1_data.txt     Data      Chasseral                            Precipitation; maximum 2-day total of the month             198012-202105
order_95475_CHA_rre002mx_1_legend.txt   Legend    Chasseral                            Precipitation; maximum 2-day total of the month             198012-202105
order_95475_CHS_rre002mx_1_data.txt     Data      Chasseron                            Precipitation; maximum 2-day total of the month             195812-196709
order_95475_CHS_rre002mx_1_legend.txt   Legend    Chasseron                            Precipitation; maximum 2-day total of the month             195812-196709
order_95475_WSLCIF_rre002mx_1_data.txt  Data      Chironico Freiland                   Precipitation; maximum 2-day total of the month             201712-201908
order_95475_WSLCIF_rre002mx_1_legend.txt Legend    Chironico Freiland                   Precipitation; maximum 2-day total of the month             201712-201908
order_95475_WSLCIF_rre002mx_2_data.txt  Data      Chironico Freiland                   Precipitation; maximum 2-day total of the month             202002-202102
order_95475_WSLCIF_rre002mx_2_legend.txt Legend    Chironico Freiland                   Precipitation; maximum 2-day total of the month             202002-202102
order_95475_CIM_rre002mx_1_data.txt     Data      Cimetta                              Precipitation; maximum 2-day total of the month             198112-201204
order_95475_CIM_rre002mx_1_legend.txt   Legend    Cimetta                              Precipitation; maximum 2-day total of the month             198112-201204
order_95475_CIM_rre002mx_2_data.txt     Data      Cimetta                              Precipitation; maximum 2-day total of the month             201205-202105
order_95475_CIM_rre002mx_2_legend.txt   Legend    Cimetta                              Precipitation; maximum 2-day total of the month             201205-202105
order_95475_VSCLU_rre002mx_1_data.txt   Data      Clusanfe                             Precipitation; maximum 2-day total of the month             201111-201204
order_95475_VSCLU_rre002mx_1_legend.txt Legend    Clusanfe                             Precipitation; maximum 2-day total of the month             201111-201204
order_95475_VSCLU_rre002mx_2_data.txt   Data      Clusanfe                             Precipitation; maximum 2-day total of the month             201205-201512
order_95475_VSCLU_rre002mx_2_legend.txt Legend    Clusanfe                             Precipitation; maximum 2-day total of the month             201205-201512
order_95475_VSCLU_rre002mx_3_data.txt   Data      Clusanfe                             Precipitation; maximum 2-day total of the month             201602-201605
order_95475_VSCLU_rre002mx_3_legend.txt Legend    Clusanfe                             Precipitation; maximum 2-day total of the month             201602-201605
order_95475_VSCLU_rre002mx_4_data.txt   Data      Clusanfe                             Precipitation; maximum 2-day total of the month             201606-202007
order_95475_VSCLU_rre002mx_4_legend.txt Legend    Clusanfe                             Precipitation; maximum 2-day total of the month             201606-202007
order_95475_VSCLU_rre002mx_5_data.txt   Data      Clusanfe                             Precipitation; maximum 2-day total of the month             202008-202105
order_95475_VSCLU_rre002mx_5_legend.txt Legend    Clusanfe                             Precipitation; maximum 2-day total of the month             202008-202105
order_95475_DAV_rre002mx_1_data.txt     Data      Davos                                Precipitation; maximum 2-day total of the month             186709-187111
order_95475_DAV_rre002mx_1_legend.txt   Legend    Davos                                Precipitation; maximum 2-day total of the month             186709-187111
order_95475_DAV_rre002mx_2_data.txt     Data      Davos                                Precipitation; maximum 2-day total of the month             187306-187502
order_95475_DAV_rre002mx_2_legend.txt   Legend    Davos                                Precipitation; maximum 2-day total of the month             187306-187502
order_95475_DAV_rre002mx_3_data.txt     Data      Davos                                Precipitation; maximum 2-day total of the month             187512-202105
order_95475_DAV_rre002mx_3_legend.txt   Legend    Davos                                Precipitation; maximum 2-day total of the month             187512-202105
order_95475_NABDAV_rre002mx_1_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199106-199107
order_95475_NABDAV_rre002mx_1_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199106-199107
order_95475_NABDAV_rre002mx_2_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199108-199109
order_95475_NABDAV_rre002mx_2_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199108-199109
order_95475_NABDAV_rre002mx_3_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199110-199112
order_95475_NABDAV_rre002mx_3_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199110-199112
order_95475_NABDAV_rre002mx_4_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199512-199705
order_95475_NABDAV_rre002mx_4_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199512-199705
order_95475_NABDAV_rre002mx_5_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199706-200706
order_95475_NABDAV_rre002mx_5_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             199706-200706
order_95475_NABDAV_rre002mx_6_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             200707-201507
order_95475_NABDAV_rre002mx_6_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             200707-201507
order_95475_NABDAV_rre002mx_7_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             201508-201608
order_95475_NABDAV_rre002mx_7_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             201508-201608
order_95475_NABDAV_rre002mx_8_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             201609-202105
order_95475_NABDAV_rre002mx_8_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 2-day total of the month             201609-202105
order_95475_IYDEU_rre002mx_1_data.txt   Data      Deutschnofen                         Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYDEU_rre002mx_1_legend.txt Legend    Deutschnofen                         Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYDEU_rre002mx_2_data.txt   Data      Deutschnofen                         Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYDEU_rre002mx_2_legend.txt Legend    Deutschnofen                         Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYDEU_rre002mx_3_data.txt   Data      Deutschnofen                         Precipitation; maximum 2-day total of the month             202007-202105
order_95475_IYDEU_rre002mx_3_legend.txt Legend    Deutschnofen                         Precipitation; maximum 2-day total of the month             202007-202105
order_95475_DMA_rre002mx_1_data.txt     Data      Dischma                              Precipitation; maximum 2-day total of the month             197212-202105
order_95475_DMA_rre002mx_1_legend.txt   Legend    Dischma                              Precipitation; maximum 2-day total of the month             197212-202105
order_95475_VSEMO_rre002mx_1_data.txt   Data      Emosson                              Precipitation; maximum 2-day total of the month             201111-202005
order_95475_VSEMO_rre002mx_1_legend.txt Legend    Emosson                              Precipitation; maximum 2-day total of the month             201111-202005
order_95475_VSEMO_rre002mx_2_data.txt   Data      Emosson                              Precipitation; maximum 2-day total of the month             202006-202103
order_95475_VSEMO_rre002mx_2_legend.txt Legend    Emosson                              Precipitation; maximum 2-day total of the month             202006-202103
order_95475_VSEMO_rre002mx_3_data.txt   Data      Emosson                              Precipitation; maximum 2-day total of the month             202104-202105
order_95475_VSEMO_rre002mx_3_legend.txt Legend    Emosson                              Precipitation; maximum 2-day total of the month             202104-202105
order_95475_ELO_rre002mx_1_data.txt     Data      Engeloch Simplon                     Precipitation; maximum 2-day total of the month             197212-198211
order_95475_ELO_rre002mx_1_legend.txt   Legend    Engeloch Simplon                     Precipitation; maximum 2-day total of the month             197212-198211
order_95475_ESA_rre002mx_1_data.txt     Data      Engstligenalp                        Precipitation; maximum 2-day total of the month             196012-197812
order_95475_ESA_rre002mx_1_legend.txt   Legend    Engstligenalp                        Precipitation; maximum 2-day total of the month             196012-197812
order_95475_EVO_rre002mx_1_data.txt     Data      Evolène / Villa                      Precipitation; maximum 2-day total of the month             198609-201606
order_95475_EVO_rre002mx_1_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum 2-day total of the month             198609-201606
order_95475_EVO_rre002mx_2_data.txt     Data      Evolène / Villa                      Precipitation; maximum 2-day total of the month             201607-202105
order_95475_EVO_rre002mx_2_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum 2-day total of the month             201607-202105
order_95475_DLFEB_rre002mx_1_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             194012-194412
order_95475_DLFEB_rre002mx_1_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             194012-194412
order_95475_DLFEB_rre002mx_2_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             194809-194810
order_95475_DLFEB_rre002mx_2_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             194809-194810
order_95475_DLFEB_rre002mx_3_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             201605-201901
order_95475_DLFEB_rre002mx_3_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             201605-201901
order_95475_DLFEB_rre002mx_4_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             201904-202105
order_95475_DLFEB_rre002mx_4_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 2-day total of the month             201904-202105
order_95475_FIO_rre002mx_1_data.txt     Data      Fionnay                              Precipitation; maximum 2-day total of the month             199603-202105
order_95475_FIO_rre002mx_1_legend.txt   Legend    Fionnay                              Precipitation; maximum 2-day total of the month             199603-202105
order_95475_GEI_rre002mx_1_data.txt     Data      Geils                                Precipitation; maximum 2-day total of the month             197212-199612
order_95475_GEI_rre002mx_1_legend.txt   Legend    Geils                                Precipitation; maximum 2-day total of the month             197212-199612
order_95475_GRI_rre002mx_1_data.txt     Data      Grimentz                             Precipitation; maximum 2-day total of the month             190607-192808
order_95475_GRI_rre002mx_1_legend.txt   Legend    Grimentz                             Precipitation; maximum 2-day total of the month             190607-192808
order_95475_GRI_rre002mx_2_data.txt     Data      Grimentz                             Precipitation; maximum 2-day total of the month             192811-195210
order_95475_GRI_rre002mx_2_legend.txt   Legend    Grimentz                             Precipitation; maximum 2-day total of the month             192811-195210
order_95475_GRI_rre002mx_3_data.txt     Data      Grimentz                             Precipitation; maximum 2-day total of the month             195212-195304
order_95475_GRI_rre002mx_3_legend.txt   Legend    Grimentz                             Precipitation; maximum 2-day total of the month             195212-195304
order_95475_GRI_rre002mx_4_data.txt     Data      Grimentz                             Precipitation; maximum 2-day total of the month             195305-195510
order_95475_GRI_rre002mx_4_legend.txt   Legend    Grimentz                             Precipitation; maximum 2-day total of the month             195305-195510
order_95475_GRI_rre002mx_5_data.txt     Data      Grimentz                             Precipitation; maximum 2-day total of the month             195511-201705
order_95475_GRI_rre002mx_5_legend.txt   Legend    Grimentz                             Precipitation; maximum 2-day total of the month             195511-201705
order_95475_GRI_rre002mx_6_data.txt     Data      Grimentz                             Precipitation; maximum 2-day total of the month             201706-202105
order_95475_GRI_rre002mx_6_legend.txt   Legend    Grimentz                             Precipitation; maximum 2-day total of the month             201706-202105
order_95475_GRC_rre002mx_1_data.txt     Data      Grächen                              Precipitation; maximum 2-day total of the month             186312-188612
order_95475_GRC_rre002mx_1_legend.txt   Legend    Grächen                              Precipitation; maximum 2-day total of the month             186312-188612
order_95475_GRC_rre002mx_2_data.txt     Data      Grächen                              Precipitation; maximum 2-day total of the month             189104-202105
order_95475_GRC_rre002mx_2_legend.txt   Legend    Grächen                              Precipitation; maximum 2-day total of the month             189104-202105
order_95475_GOA_rre002mx_1_data.txt     Data      Göscheneralp                         Precipitation; maximum 2-day total of the month             196812-201211
order_95475_GOA_rre002mx_1_legend.txt   Legend    Göscheneralp                         Precipitation; maximum 2-day total of the month             196812-201211
order_95475_GOA_rre002mx_2_data.txt     Data      Göscheneralp                         Precipitation; maximum 2-day total of the month             201212-201309
order_95475_GOA_rre002mx_2_legend.txt   Legend    Göscheneralp                         Precipitation; maximum 2-day total of the month             201212-201309
order_95475_GOA_rre002mx_3_data.txt     Data      Göscheneralp                         Precipitation; maximum 2-day total of the month             201310-202105
order_95475_GOA_rre002mx_3_legend.txt   Legend    Göscheneralp                         Precipitation; maximum 2-day total of the month             201310-202105
order_95475_IYHIN_rre002mx_1_data.txt   Data      Hintermartell                        Precipitation; maximum 2-day total of the month             200907-201707
order_95475_IYHIN_rre002mx_1_legend.txt Legend    Hintermartell                        Precipitation; maximum 2-day total of the month             200907-201707
order_95475_IYHIN_rre002mx_2_data.txt   Data      Hintermartell                        Precipitation; maximum 2-day total of the month             201708-201910
order_95475_IYHIN_rre002mx_2_legend.txt Legend    Hintermartell                        Precipitation; maximum 2-day total of the month             201708-201910
order_95475_IYHIN_rre002mx_3_data.txt   Data      Hintermartell                        Precipitation; maximum 2-day total of the month             201911-202004
order_95475_IYHIN_rre002mx_3_legend.txt Legend    Hintermartell                        Precipitation; maximum 2-day total of the month             201911-202004
order_95475_IYHIN_rre002mx_4_data.txt   Data      Hintermartell                        Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYHIN_rre002mx_4_legend.txt Legend    Hintermartell                        Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYHIN_rre002mx_5_data.txt   Data      Hintermartell                        Precipitation; maximum 2-day total of the month             202010-202104
order_95475_IYHIN_rre002mx_5_legend.txt Legend    Hintermartell                        Precipitation; maximum 2-day total of the month             202010-202104
order_95475_HIR_rre002mx_1_data.txt     Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             190012-193305
order_95475_HIR_rre002mx_1_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             190012-193305
order_95475_HIR_rre002mx_2_data.txt     Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             193306-200811
order_95475_HIR_rre002mx_2_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             193306-200811
order_95475_HIR_rre002mx_3_data.txt     Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             200902-201002
order_95475_HIR_rre002mx_3_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             200902-201002
order_95475_HIR_rre002mx_4_data.txt     Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             201004-201106
order_95475_HIR_rre002mx_4_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             201004-201106
order_95475_MMHIR_rre002mx_1_data.txt   Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             201211-201309
order_95475_MMHIR_rre002mx_1_legend.txt Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             201211-201309
order_95475_MMHIR_rre002mx_2_data.txt   Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             201310-201401
order_95475_MMHIR_rre002mx_2_legend.txt Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             201310-201401
order_95475_MMHIR_rre002mx_3_data.txt   Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             201403-201404
order_95475_MMHIR_rre002mx_3_legend.txt Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             201403-201404
order_95475_MMHIR_rre002mx_4_data.txt   Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             201405-201511
order_95475_MMHIR_rre002mx_4_legend.txt Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             201405-201511
order_95475_MMHIR_rre002mx_5_data.txt   Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             201602-201608
order_95475_MMHIR_rre002mx_5_legend.txt Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             201602-201608
order_95475_MMHIR_rre002mx_6_data.txt   Data      Hinterrhein                          Precipitation; maximum 2-day total of the month             201609-202105
order_95475_MMHIR_rre002mx_6_legend.txt Legend    Hinterrhein                          Precipitation; maximum 2-day total of the month             201609-202105
order_95475_INF_rre002mx_1_data.txt     Data      Innerferrera                         Precipitation; maximum 2-day total of the month             196012-199310
order_95475_INF_rre002mx_1_legend.txt   Legend    Innerferrera                         Precipitation; maximum 2-day total of the month             196012-199310
order_95475_INF_rre002mx_2_data.txt     Data      Innerferrera                         Precipitation; maximum 2-day total of the month             199312-202105
order_95475_INF_rre002mx_2_legend.txt   Legend    Innerferrera                         Precipitation; maximum 2-day total of the month             199312-202105
order_95475_VSJEI_rre002mx_1_data.txt   Data      Jeizinen                             Precipitation; maximum 2-day total of the month             201010-201409
order_95475_VSJEI_rre002mx_1_legend.txt Legend    Jeizinen                             Precipitation; maximum 2-day total of the month             201010-201409
order_95475_VSJEI_rre002mx_2_data.txt   Data      Jeizinen                             Precipitation; maximum 2-day total of the month             201410-202105
order_95475_VSJEI_rre002mx_2_legend.txt Legend    Jeizinen                             Precipitation; maximum 2-day total of the month             201410-202105
order_95475_KRO_rre002mx_1_data.txt     Data      Kronberg                             Precipitation; maximum 2-day total of the month             197212-202105
order_95475_KRO_rre002mx_1_legend.txt   Legend    Kronberg                             Precipitation; maximum 2-day total of the month             197212-202105
order_95475_DOL_rre002mx_1_data.txt     Data      La Dôle                              Precipitation; maximum 2-day total of the month             197212-201011
order_95475_DOL_rre002mx_1_legend.txt   Legend    La Dôle                              Precipitation; maximum 2-day total of the month             197212-201011
order_95475_DOL_rre002mx_2_data.txt     Data      La Dôle                              Precipitation; maximum 2-day total of the month             201012-202105
order_95475_DOL_rre002mx_2_legend.txt   Legend    La Dôle                              Precipitation; maximum 2-day total of the month             201012-202105
order_95475_VSFLY_rre002mx_1_data.txt   Data      La Fouly                             Precipitation; maximum 2-day total of the month             201111-201201
order_95475_VSFLY_rre002mx_1_legend.txt Legend    La Fouly                             Precipitation; maximum 2-day total of the month             201111-201201
order_95475_VSFLY_rre002mx_2_data.txt   Data      La Fouly                             Precipitation; maximum 2-day total of the month             201203-202105
order_95475_VSFLY_rre002mx_2_legend.txt Legend    La Fouly                             Precipitation; maximum 2-day total of the month             201203-202105
order_95475_IYLAD_rre002mx_1_data.txt   Data      Ladurns                              Precipitation; maximum 2-day total of the month             200611-201611
order_95475_IYLAD_rre002mx_1_legend.txt Legend    Ladurns                              Precipitation; maximum 2-day total of the month             200611-201611
order_95475_IYLAD_rre002mx_2_data.txt   Data      Ladurns                              Precipitation; maximum 2-day total of the month             201612-201707
order_95475_IYLAD_rre002mx_2_legend.txt Legend    Ladurns                              Precipitation; maximum 2-day total of the month             201612-201707
order_95475_IYLAD_rre002mx_3_data.txt   Data      Ladurns                              Precipitation; maximum 2-day total of the month             201709-201901
order_95475_IYLAD_rre002mx_3_legend.txt Legend    Ladurns                              Precipitation; maximum 2-day total of the month             201709-201901
order_95475_VSCOL_rre002mx_1_data.txt   Data      Les Collons                          Precipitation; maximum 2-day total of the month             201311-202105
order_95475_VSCOL_rre002mx_1_legend.txt Legend    Les Collons                          Precipitation; maximum 2-day total of the month             201311-202105
