Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94915

Filename                                Filetype  Station                              Parameter                                                   Period
order_94915_TGAMR_rzz150yx_4_data.txt   Data      Amriswil                             Precipitation; maximum ten minute total of the year         2019-2020
order_94915_TGAMR_rzz150yx_4_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the year         2019-2020
order_94915_TGARE_rzz150yx_1_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the year         2010-2011
order_94915_TGARE_rzz150yx_1_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the year         2010-2011
order_94915_TGARE_rzz150yx_2_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the year         2013-2014
order_94915_TGARE_rzz150yx_2_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the year         2013-2014
order_94915_TGARE_rzz150yx_3_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the year         2015-2020
order_94915_TGARE_rzz150yx_3_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the year         2015-2020
order_94915_AGATT_rzz150yx_1_data.txt   Data      Attelwil                             Precipitation; maximum ten minute total of the year         2014-2020
order_94915_AGATT_rzz150yx_1_legend.txt Legend    Attelwil                             Precipitation; maximum ten minute total of the year         2014-2020
order_94915_IYAUE_rzz150yx_1_data.txt   Data      Auer                                 Precipitation; maximum ten minute total of the year         2002-2019
order_94915_IYAUE_rzz150yx_1_legend.txt Legend    Auer                                 Precipitation; maximum ten minute total of the year         2002-2019
order_94915_DLAUG_rzz150yx_1_data.txt   Data      Augsburg                             Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLAUG_rzz150yx_1_legend.txt Legend    Augsburg                             Precipitation; maximum ten minute total of the year         2016-2020
order_94915_VDARP_rzz150yx_1_data.txt   Data      Avenches / IENA                      Precipitation; maximum ten minute total of the year         2012-2018
order_94915_VDARP_rzz150yx_1_legend.txt Legend    Avenches / IENA                      Precipitation; maximum ten minute total of the year         2012-2018
order_94915_RAG_rzz150yx_1_data.txt     Data      Bad Ragaz                            Precipitation; maximum ten minute total of the year         2012-2015
order_94915_RAG_rzz150yx_1_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum ten minute total of the year         2012-2015
order_94915_RAG_rzz150yx_2_data.txt     Data      Bad Ragaz                            Precipitation; maximum ten minute total of the year         2016-2020
order_94915_RAG_rzz150yx_2_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLBWB_rzz150yx_1_data.txt   Data      Bad Wildbad                          Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLBWB_rzz150yx_1_legend.txt Legend    Bad Wildbad                          Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLBAB_rzz150yx_1_data.txt   Data      Baden-Baden / Geroldsau              Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLBAB_rzz150yx_1_legend.txt Legend    Baden-Baden / Geroldsau              Precipitation; maximum ten minute total of the year         2016-2020
order_94915_IYBAR_rzz150yx_1_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the year         2002-2007
order_94915_IYBAR_rzz150yx_1_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the year         2002-2007
order_94915_IYBAR_rzz150yx_2_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the year         2008-2010
order_94915_IYBAR_rzz150yx_2_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the year         2008-2010
order_94915_IYBAR_rzz150yx_3_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the year         2011-2019
order_94915_IYBAR_rzz150yx_3_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the year         2011-2019
order_94915_BAS_rzz150yx_1_data.txt     Data      Basel / Binningen                    Precipitation; maximum ten minute total of the year         1980-2020
order_94915_BAS_rzz150yx_1_legend.txt   Legend    Basel / Binningen                    Precipitation; maximum ten minute total of the year         1980-2020
order_94915_KADER_rzz150yx_1_data.txt   Data      Basel / Dreispitz                    Precipitation; maximum ten minute total of the year         2018-2020
order_94915_KADER_rzz150yx_1_legend.txt Legend    Basel / Dreispitz                    Precipitation; maximum ten minute total of the year         2018-2020
order_94915_BLZ_rzz150yx_1_data.txt     Data      Bellinzona                           Precipitation; maximum ten minute total of the year         2016-2020
order_94915_BLZ_rzz150yx_1_legend.txt   Legend    Bellinzona                           Precipitation; maximum ten minute total of the year         2016-2020
order_94915_BEP_rzz150yx_1_data.txt     Data      Belp                                 Precipitation; maximum ten minute total of the year         2017-2020
order_94915_BEP_rzz150yx_1_legend.txt   Legend    Belp                                 Precipitation; maximum ten minute total of the year         2017-2020
order_94915_DOB_rzz150yx_1_data.txt     Data      Benken / Doggen                      Precipitation; maximum ten minute total of the year         2012-2020
order_94915_DOB_rzz150yx_1_legend.txt   Legend    Benken / Doggen                      Precipitation; maximum ten minute total of the year         2012-2020
order_94915_NABBER_rzz150yx_1_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         1991-1992
order_94915_NABBER_rzz150yx_1_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         1991-1992
order_94915_NABBER_rzz150yx_2_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         2000-2014
order_94915_NABBER_rzz150yx_2_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         2000-2014
order_94915_NABBER_rzz150yx_3_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         2015-2016
order_94915_NABBER_rzz150yx_3_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         2015-2016
order_94915_NABBER_rzz150yx_4_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         2017-2020
order_94915_NABBER_rzz150yx_4_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the year         2017-2020
order_94915_BEX_rzz150yx_1_data.txt     Data      Bex                                  Precipitation; maximum ten minute total of the year         2012-2020
order_94915_BEX_rzz150yx_1_legend.txt   Legend    Bex                                  Precipitation; maximum ten minute total of the year         2012-2020
order_94915_VDAVS_rzz150yx_1_data.txt   Data      Bex / Avançon                        Precipitation; maximum ten minute total of the year         2012-2018
order_94915_VDAVS_rzz150yx_1_legend.txt Legend    Bex / Avançon                        Precipitation; maximum ten minute total of the year         2012-2018
order_94915_BEZ_rzz150yx_1_data.txt     Data      Beznau                               Precipitation; maximum ten minute total of the year         1988-2020
order_94915_BEZ_rzz150yx_1_legend.txt   Legend    Beznau                               Precipitation; maximum ten minute total of the year         1988-2020
order_94915_BIA_rzz150yx_1_data.txt     Data      Biasca                               Precipitation; maximum ten minute total of the year         2014-2020
order_94915_BIA_rzz150yx_1_legend.txt   Legend    Biasca                               Precipitation; maximum ten minute total of the year         2014-2020
order_94915_TIBIC_rzz150yx_1_data.txt   Data      Biasca A2                            Precipitation; maximum ten minute total of the year         2011-2020
order_94915_TIBIC_rzz150yx_1_legend.txt Legend    Biasca A2                            Precipitation; maximum ten minute total of the year         2011-2020
order_94915_SOBIB_rzz150yx_1_data.txt   Data      Bibern                               Precipitation; maximum ten minute total of the year         1998-2012
order_94915_SOBIB_rzz150yx_1_legend.txt Legend    Bibern                               Precipitation; maximum ten minute total of the year         1998-2012
order_94915_BEBIL_rzz150yx_1_data.txt   Data      Biel / Bözingen                      Precipitation; maximum ten minute total of the year         2002-2012
order_94915_BEBIL_rzz150yx_1_legend.txt Legend    Biel / Bözingen                      Precipitation; maximum ten minute total of the year         2002-2012
order_94915_GLBIL_rzz150yx_1_data.txt   Data      Bilten                               Precipitation; maximum ten minute total of the year         2016-2017
order_94915_GLBIL_rzz150yx_1_legend.txt Legend    Bilten                               Precipitation; maximum ten minute total of the year         2016-2017
order_94915_GLBIL_rzz150yx_2_data.txt   Data      Bilten                               Precipitation; maximum ten minute total of the year         2018-2019
order_94915_GLBIL_rzz150yx_2_legend.txt Legend    Bilten                               Precipitation; maximum ten minute total of the year         2018-2019
order_94915_TIBIO_rzz150yx_1_data.txt   Data      Bioggio                              Precipitation; maximum ten minute total of the year         2009-2018
order_94915_TIBIO_rzz150yx_1_legend.txt Legend    Bioggio                              Precipitation; maximum ten minute total of the year         2009-2018
order_94915_TIBIO_rzz150yx_2_data.txt   Data      Bioggio                              Precipitation; maximum ten minute total of the year         2019-2020
order_94915_TIBIO_rzz150yx_2_legend.txt Legend    Bioggio                              Precipitation; maximum ten minute total of the year         2019-2020
order_94915_ZHBID_rzz150yx_1_data.txt   Data      Birmensdorf                          Precipitation; maximum ten minute total of the year         2003-2020
order_94915_ZHBID_rzz150yx_1_legend.txt Legend    Birmensdorf                          Precipitation; maximum ten minute total of the year         2003-2020
order_94915_AGBRW_rzz150yx_1_data.txt   Data      Birrwil                              Precipitation; maximum ten minute total of the year         2000-2008
order_94915_AGBRW_rzz150yx_1_legend.txt Legend    Birrwil                              Precipitation; maximum ten minute total of the year         2000-2008
order_94915_AGBRW_rzz150yx_2_data.txt   Data      Birrwil                              Precipitation; maximum ten minute total of the year         2013-2020
order_94915_AGBRW_rzz150yx_2_legend.txt Legend    Birrwil                              Precipitation; maximum ten minute total of the year         2013-2020
order_94915_BIZ_rzz150yx_1_data.txt     Data      Bischofszell                         Precipitation; maximum ten minute total of the year         2010-2020
order_94915_BIZ_rzz150yx_1_legend.txt   Legend    Bischofszell                         Precipitation; maximum ten minute total of the year         2010-2020
order_94915_MMBOY_rzz150yx_1_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the year         2013-2020
order_94915_MMBOY_rzz150yx_1_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the year         2013-2020
order_94915_BOU_rzz150yx_1_data.txt     Data      Bouveret                             Precipitation; maximum ten minute total of the year         1994-1997
order_94915_BOU_rzz150yx_1_legend.txt   Legend    Bouveret                             Precipitation; maximum ten minute total of the year         1994-1997
order_94915_BOU_rzz150yx_2_data.txt     Data      Bouveret                             Precipitation; maximum ten minute total of the year         1998-2007
order_94915_BOU_rzz150yx_2_legend.txt   Legend    Bouveret                             Precipitation; maximum ten minute total of the year         1998-2007
order_94915_IYBOZ_rzz150yx_1_data.txt   Data      Bozen                                Precipitation; maximum ten minute total of the year         2000-2001
order_94915_IYBOZ_rzz150yx_1_legend.txt Legend    Bozen                                Precipitation; maximum ten minute total of the year         2000-2001
order_94915_IYBOZ_rzz150yx_2_data.txt   Data      Bozen                                Precipitation; maximum ten minute total of the year         2002-2019
order_94915_IYBOZ_rzz150yx_2_legend.txt Legend    Bozen                                Precipitation; maximum ten minute total of the year         2002-2019
order_94915_IYBRZ_rzz150yx_1_data.txt   Data      Branzoll                             Precipitation; maximum ten minute total of the year         2008-2019
order_94915_IYBRZ_rzz150yx_1_legend.txt Legend    Branzoll                             Precipitation; maximum ten minute total of the year         2008-2019
order_94915_DLBUC_rzz150yx_1_data.txt   Data      Buchenbach                           Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLBUC_rzz150yx_1_legend.txt Legend    Buchenbach                           Precipitation; maximum ten minute total of the year         2016-2020
order_94915_BUS_rzz150yx_1_data.txt     Data      Buchs / Aarau                        Precipitation; maximum ten minute total of the year         1984-2020
order_94915_BUS_rzz150yx_1_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum ten minute total of the year         1984-2020
order_94915_BEBUD_rzz150yx_1_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum ten minute total of the year         2014-2016
order_94915_BEBUD_rzz150yx_1_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum ten minute total of the year         2014-2016
order_94915_BEBUD_rzz150yx_2_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum ten minute total of the year         2019-2020
order_94915_BEBUD_rzz150yx_2_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum ten minute total of the year         2019-2020
order_94915_BEBUE_rzz150yx_1_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum ten minute total of the year         2013-2015
order_94915_BEBUE_rzz150yx_1_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum ten minute total of the year         2013-2015
order_94915_BEBUE_rzz150yx_2_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum ten minute total of the year         2016-2020
order_94915_BEBUE_rzz150yx_2_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum ten minute total of the year         2016-2020
order_94915_BEBUV_rzz150yx_1_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum ten minute total of the year         2013-2020
order_94915_BEBUV_rzz150yx_1_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum ten minute total of the year         2013-2020
order_94915_KABAT_rzz150yx_1_data.txt   Data      Bättwil                              Precipitation; maximum ten minute total of the year         2019-2020
order_94915_KABAT_rzz150yx_1_legend.txt Legend    Bättwil                              Precipitation; maximum ten minute total of the year         2019-2020
order_94915_UBB_rzz150yx_1_data.txt     Data      Bözberg                              Precipitation; maximum ten minute total of the year         2014-2020
order_94915_UBB_rzz150yx_1_legend.txt   Legend    Bözberg                              Precipitation; maximum ten minute total of the year         2014-2020
order_94915_TICAM_rzz150yx_1_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the year         2009-2020
order_94915_TICAM_rzz150yx_1_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the year         2009-2020
order_94915_TICAN_rzz150yx_1_data.txt   Data      Canobbio                             Precipitation; maximum ten minute total of the year         2007-2020
order_94915_TICAN_rzz150yx_1_legend.txt Legend    Canobbio                             Precipitation; maximum ten minute total of the year         2007-2020
order_94915_TIBIG_rzz150yx_1_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum ten minute total of the year         2004-2020
order_94915_TIBIG_rzz150yx_1_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum ten minute total of the year         2004-2020
order_94915_CEV_rzz150yx_1_data.txt     Data      Cevio                                Precipitation; maximum ten minute total of the year         2013-2020
order_94915_CEV_rzz150yx_1_legend.txt   Legend    Cevio                                Precipitation; maximum ten minute total of the year         2013-2020
order_94915_CHZ_rzz150yx_1_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the year         1996-2013
order_94915_CHZ_rzz150yx_1_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the year         1996-2013
