Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94065

Filename                                Filetype  Station                              Parameter                                                   Period
order_94065_TGBOH_rzz150mx_9_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        201809-201811
order_94065_TGBOH_rzz150mx_10_data.txt  Data      Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        201812-201904
order_94065_TGBOH_rzz150mx_10_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        201812-201904
order_94065_TGBOH_rzz150mx_11_data.txt  Data      Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        201905-202012
order_94065_TGBOH_rzz150mx_11_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        201905-202012
order_94065_TGBOH_rzz150mx_12_data.txt  Data      Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        202101-202103
order_94065_TGBOH_rzz150mx_12_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        202101-202103
order_94065_BRI_rzz150mx_1_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        201310-201311
order_94065_BRI_rzz150mx_1_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        201310-201311
order_94065_BRI_rzz150mx_2_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        201312-201412
order_94065_BRI_rzz150mx_2_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        201312-201412
order_94065_BRI_rzz150mx_3_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        201502-201509
order_94065_BRI_rzz150mx_3_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        201502-201509
order_94065_BRI_rzz150mx_4_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        201510-201601
order_94065_BRI_rzz150mx_4_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        201510-201601
order_94065_BRI_rzz150mx_5_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        201603-201711
order_94065_BRI_rzz150mx_5_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        201603-201711
order_94065_BRI_rzz150mx_6_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        201712-201810
order_94065_BRI_rzz150mx_6_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        201712-201810
order_94065_BRI_rzz150mx_7_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        201811-202103
order_94065_BRI_rzz150mx_7_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        201811-202103
order_94065_COY_rzz150mx_1_data.txt     Data      Courtelary                           Precipitation; maximum ten minute total of the month        201503-201708
order_94065_COY_rzz150mx_1_legend.txt   Legend    Courtelary                           Precipitation; maximum ten minute total of the month        201503-201708
order_94065_COY_rzz150mx_2_data.txt     Data      Courtelary                           Precipitation; maximum ten minute total of the month        201709-202103
order_94065_COY_rzz150mx_2_legend.txt   Legend    Courtelary                           Precipitation; maximum ten minute total of the month        201709-202103
order_94065_DLDEG_rzz150mx_1_data.txt   Data      Deggenhausertal                      Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLDEG_rzz150mx_1_legend.txt Legend    Deggenhausertal                      Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLDEG_rzz150mx_2_data.txt   Data      Deggenhausertal                      Precipitation; maximum ten minute total of the month        201609-201610
order_94065_DLDEG_rzz150mx_2_legend.txt Legend    Deggenhausertal                      Precipitation; maximum ten minute total of the month        201609-201610
order_94065_DLDEG_rzz150mx_3_data.txt   Data      Deggenhausertal                      Precipitation; maximum ten minute total of the month        201611-201904
order_94065_DLDEG_rzz150mx_3_legend.txt Legend    Deggenhausertal                      Precipitation; maximum ten minute total of the month        201611-201904
order_94065_DLDEG_rzz150mx_4_data.txt   Data      Deggenhausertal                      Precipitation; maximum ten minute total of the month        201905-202004
order_94065_DLDEG_rzz150mx_4_legend.txt Legend    Deggenhausertal                      Precipitation; maximum ten minute total of the month        201905-202004
order_94065_DLDEG_rzz150mx_5_data.txt   Data      Deggenhausertal                      Precipitation; maximum ten minute total of the month        202005-202103
order_94065_DLDEG_rzz150mx_5_legend.txt Legend    Deggenhausertal                      Precipitation; maximum ten minute total of the month        202005-202103
