 

stn;time;rsd300y0
SBE;1968;20
SBE;1969;17
SBE;1970;15
SBE;1971;12
SBE;1972;8
SBE;1973;16
SBE;1974;16
SBE;1975;17
SBE;1976;20
SBE;1977;24
SBE;1978;18
SBE;1979;23
SBE;1980;11
SBE;1981;21
SBE;1982;20
SBE;1983;15
SBE;1984;14
SBE;1985;15
SBE;1986;16
SBE;1987;23
SBE;1988;20
SBE;1989;14
SBE;1990;13
SBE;1991;14
SBE;1992;14
SBE;1993;19
SBE;1994;15
SBE;1995;11
SBE;1996;14
SBE;1997;17
SBE;1998;21
SBE;1999;28
SBE;2000;25
SBE;2001;18
SBE;2002;24
SBE;2003;9
SBE;2004;9
SBE;2005;8
SBE;2006;12
SBE;2007;15
SBE;2008;21
SBE;2009;13
SBE;2010;15
SBE;2011;10
SBE;2012;14
SBE;2013;15
SBE;2014;19
SBE;2015;13
SBE;2016;14
SBE;2017;13
SBE;2018;8
SBE;2019;19
SBE;2020;13
