 

stn;time;rhh150yx
SAM;1981;9.9
SAM;1982;9.6
SAM;1983;10.2
SAM;1984;6.0
SAM;1985;9.7
SAM;1986;7.4
SAM;1987;6.8
SAM;1988;9.4
SAM;1989;8.1
SAM;1990;8.1
SAM;1991;6.3
SAM;1992;9.4
SAM;1993;10.5
SAM;1994;9.3
SAM;1995;11.2
SAM;1996;8.2
SAM;1997;8.7
SAM;1998;10.5
SAM;1999;8.3
SAM;2000;28.2
SAM;2001;9.6
SAM;2002;20.9
SAM;2003;10.0
SAM;2004;10.1
SAM;2005;14.2
SAM;2006;8.5
SAM;2007;7.9
SAM;2008;10.0
SAM;2009;7.9
SAM;2010;7.9
SAM;2011;7.8
SAM;2012;6.5
SAM;2013;7.8
SAM;2014;16.1
SAM;2015;7.9
SAM;2016;9.3
SAM;2017;8.0
SAM;2018;9.9
SAM;2019;7.2
SAM;2020;8.8
