 

stn;time;tnd00xy0
LSN;1931;19
LSN;1932;10
LSN;1933;28
LSN;1934;11
LSN;1935;22
LSN;1936;3
LSN;1937;6
LSN;1938;17
LSN;1939;6
LSN;1940;35
LSN;1941;22
LSN;1942;32
LSN;1943;1
LSN;1944;19
LSN;1945;26
LSN;1946;21
LSN;1947;19
LSN;1948;11
LSN;1949;8
LSN;1950;16
LSN;1951;0
LSN;1952;11
LSN;1953;17
LSN;1954;20
LSN;1955;3
LSN;1956;18
LSN;1957;11
LSN;1958;7
LSN;1959;1
LSN;1960;13
LSN;1961;11
LSN;1962;20
LSN;1963;43
LSN;1964;25
LSN;1965;12
LSN;1966;12
LSN;1967;19
LSN;1968;18
LSN;1969;30
LSN;1970;19
LSN;1971;19
LSN;1972;9
LSN;1973;14
LSN;1974;0
LSN;1975;8
LSN;1976;13
LSN;1977;4
LSN;1978;9
LSN;1979;9
LSN;1980;20
