 

stn;time;fklnd3m0
EGH;201508;0
EGH;201509;0
EGH;201510;0
EGH;201511;0
EGH;201512;0
EGH;201601;3
EGH;201602;5
EGH;201603;1
EGH;201604;0
EGH;201605;0
EGH;201606;0
EGH;201607;0
EGH;201608;0
EGH;201609;1
EGH;201610;0
EGH;201611;0
EGH;201612;2
EGH;201701;5
EGH;201702;1
EGH;201703;0
EGH;201704;0
EGH;201705;0
EGH;201706;0
EGH;201707;0
EGH;201708;0
EGH;201709;1
EGH;201710;1
EGH;201711;2
EGH;201712;3
EGH;201801;8
EGH;201802;0
EGH;201803;0
EGH;201804;0
EGH;201805;0
EGH;201806;0
EGH;201807;0
EGH;201808;0
EGH;201809;1
EGH;201810;2
EGH;201811;0
EGH;201812;6
EGH;201901;9
EGH;201902;1
EGH;201903;5
EGH;201904;0
EGH;201905;2
EGH;201906;0
EGH;201907;1
EGH;201908;0
EGH;201909;0
EGH;201910;0
EGH;201911;0
EGH;201912;7
EGH;202001;3
EGH;202002;10
EGH;202003;2
EGH;202004;0
EGH;202005;1
EGH;202006;0
EGH;202007;1
EGH;202008;0
EGH;202009;1
EGH;202010;1
EGH;202011;0
EGH;202012;0
EGH;202101;3
EGH;202102;1
EGH;202103;2
