Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94090

Filename                                Filetype  Station                              Parameter                                                   Period
order_94090_NABBER_rre150m0_4_data.txt  Data      Bern-Bollwerk                        Precipitation; monthly total                                199305-199307
order_94090_NABBER_rre150m0_4_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                199305-199307
order_94090_NABBER_rre150m0_5_data.txt  Data      Bern-Bollwerk                        Precipitation; monthly total                                199310-199312
order_94090_NABBER_rre150m0_5_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                199310-199312
order_94090_NABBER_rre150m0_6_data.txt  Data      Bern-Bollwerk                        Precipitation; monthly total                                199503-199504
order_94090_NABBER_rre150m0_6_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                199503-199504
order_94090_NABBER_rre150m0_7_data.txt  Data      Bern-Bollwerk                        Precipitation; monthly total                                199505-199603
order_94090_NABBER_rre150m0_7_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                199505-199603
order_94090_NABBER_rre150m0_8_data.txt  Data      Bern-Bollwerk                        Precipitation; monthly total                                199605-199609
order_94090_NABBER_rre150m0_8_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                199605-199609
order_94090_NABBER_rre150m0_9_data.txt  Data      Bern-Bollwerk                        Precipitation; monthly total                                199610-199612
order_94090_NABBER_rre150m0_9_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                199610-199612
order_94090_NABBER_rre150m0_10_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                199701-199706
order_94090_NABBER_rre150m0_10_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                199701-199706
order_94090_NABBER_rre150m0_11_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                200012-200104
order_94090_NABBER_rre150m0_11_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                200012-200104
order_94090_NABBER_rre150m0_12_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                200105-200106
order_94090_NABBER_rre150m0_12_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                200105-200106
order_94090_NABBER_rre150m0_13_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                200107-200406
order_94090_NABBER_rre150m0_13_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                200107-200406
order_94090_NABBER_rre150m0_14_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                200407-200907
order_94090_NABBER_rre150m0_14_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                200407-200907
order_94090_NABBER_rre150m0_15_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                200908-201706
order_94090_NABBER_rre150m0_15_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                200908-201706
order_94090_NABBER_rre150m0_16_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                201707-201710
order_94090_NABBER_rre150m0_16_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                201707-201710
order_94090_NABBER_rre150m0_17_data.txt Data      Bern-Bollwerk                        Precipitation; monthly total                                201711-202103
order_94090_NABBER_rre150m0_17_legend.txt Legend    Bern-Bollwerk                        Precipitation; monthly total                                201711-202103
order_94090_MMBOY_rre150m0_1_data.txt   Data      Boudry                               Precipitation; monthly total                                201211-201309
order_94090_MMBOY_rre150m0_1_legend.txt Legend    Boudry                               Precipitation; monthly total                                201211-201309
order_94090_MMBOY_rre150m0_2_data.txt   Data      Boudry                               Precipitation; monthly total                                201310-201311
order_94090_MMBOY_rre150m0_2_legend.txt Legend    Boudry                               Precipitation; monthly total                                201310-201311
order_94090_MMBOY_rre150m0_3_data.txt   Data      Boudry                               Precipitation; monthly total                                201312-201404
order_94090_MMBOY_rre150m0_3_legend.txt Legend    Boudry                               Precipitation; monthly total                                201312-201404
order_94090_MMBOY_rre150m0_4_data.txt   Data      Boudry                               Precipitation; monthly total                                201405-201410
order_94090_MMBOY_rre150m0_4_legend.txt Legend    Boudry                               Precipitation; monthly total                                201405-201410
order_94090_MMBOY_rre150m0_5_data.txt   Data      Boudry                               Precipitation; monthly total                                201411-201504
order_94090_MMBOY_rre150m0_5_legend.txt Legend    Boudry                               Precipitation; monthly total                                201411-201504
order_94090_MMBOY_rre150m0_6_data.txt   Data      Boudry                               Precipitation; monthly total                                201505-201511
order_94090_MMBOY_rre150m0_6_legend.txt Legend    Boudry                               Precipitation; monthly total                                201505-201511
