 

stn;time;tre200y0
DOL;1973;2.8
DOL;1974;2.3
DOL;1975;2.9
DOL;1976;2.8
DOL;1977;2.5
DOL;1978;2.5
DOL;1979;2.8
DOL;1980;2.1
DOL;1981;2.9
DOL;1982;3.9
DOL;1983;4.3
DOL;1984;2.6
DOL;1985;3.1
DOL;1986;3.2
DOL;1987;3.4
DOL;1988;3.7
DOL;1989;4.9
DOL;1990;4.1
DOL;1991;3.7
DOL;1992;4.3
DOL;1993;3.7
DOL;1994;4.7
DOL;1995;3.7
DOL;1996;3.3
DOL;1997;5.0
DOL;1998;3.9
DOL;1999;3.8
DOL;2000;4.3
DOL;2001;3.8
DOL;2002;4.4
DOL;2003;5.1
DOL;2004;3.8
DOL;2005;3.5
DOL;2006;4.9
DOL;2007;4.4
DOL;2008;3.7
DOL;2009;4.2
DOL;2010;2.8
DOL;2011;5.4
DOL;2012;4.2
DOL;2013;3.6
DOL;2014;4.8
DOL;2015;5.2
DOL;2016;4.5
DOL;2017;4.7
DOL;2018;5.4
DOL;2019;5.0
DOL;2020;5.5
