 

stn;time;rzz150yx
SBO;1982;20.9
SBO;1983;11.1
SBO;1984;19.3
SBO;1985;10.9
SBO;1986;9.8
SBO;1987;21.3
SBO;1988;18.5
SBO;1989;19.3
SBO;1990;16.7
SBO;1991;10.8
SBO;1992;23.6
SBO;1993;13.1
SBO;1994;20.6
SBO;1995;17.1
SBO;1996;16.1
SBO;1997;23.8
SBO;1998;23.9
SBO;1999;15.5
SBO;2000;22.0
SBO;2001;14.9
SBO;2002;13.8
SBO;2003;11.7
SBO;2004;18.6
SBO;2005;18.3
SBO;2006;20.5
SBO;2007;11.1
SBO;2008;15.8
SBO;2009;17.6
SBO;2010;16.5
SBO;2011;14.9
SBO;2012;14.5
SBO;2013;11.1
SBO;2014;22.0
SBO;2015;16.5
SBO;2016;17.2
SBO;2017;18.8
SBO;2018;19.5
SBO;2019;13.4
SBO;2020;12.0
