 

stn;time;hns000y0
BAS;1931;86
BAS;1932;41
BAS;1933;22
BAS;1934;19
BAS;1935;105
BAS;1936;3
BAS;1937;18
BAS;1938;59
BAS;1939;25
BAS;1940;52
BAS;1941;56
BAS;1942;69
BAS;1943;10
BAS;1944;34
BAS;1945;79
BAS;1946;11
BAS;1947;70
BAS;1948;7
BAS;1949;20
BAS;1950;29
BAS;1951;2
BAS;1952;77
BAS;1953;27
BAS;1954;34
BAS;1955;28
BAS;1956;25
BAS;1957;13
BAS;1958;37
BAS;1959;17
BAS;1960;33
BAS;1961;4
BAS;1962;74
BAS;1963;71
BAS;1964;39
BAS;1965;70
BAS;1966;43
BAS;1967;18
BAS;1968;78
BAS;1969;73
BAS;1970;70
BAS;1971;32
BAS;1972;21
BAS;1973;29
BAS;1974;1
BAS;1975;40
BAS;1976;18
BAS;1977;36
BAS;1978;30
BAS;1979;29
BAS;1980;39
BAS;1981;70
BAS;1982;22
BAS;1983;20
BAS;1984;36
BAS;1985;78
BAS;1986;111
BAS;1987;53
BAS;1988;30
BAS;1989;1
BAS;1990;24
BAS;1991;13
BAS;1992;10
BAS;1993;18
BAS;1994;1
BAS;1995;50
BAS;1996;35
BAS;1997;24
BAS;1998;18
BAS;1999;73
BAS;2000;7
BAS;2001;18
BAS;2002;1
BAS;2003;36
BAS;2004;39
BAS;2005;44
BAS;2006;77
BAS;2007;25
BAS;2008;41
BAS;2009;25
BAS;2010;107
BAS;2011;9
BAS;2012;47
BAS;2013;57
BAS;2014;17
BAS;2015;9
BAS;2016;9
BAS;2017;31
BAS;2018;24
BAS;2019;9
BAS;2020;0
